clade_name	ML1375	AT2302	JE2361	MV1301	JS1364	JA1369	JL1316	JH2373	EH1307	AM2314	AK2371	HP2337	AN2355	KK1350	ML2319	JV1357	HT2321	MS1370	JP1303	ET1331	KK2350	KL1367	JA2369	JH1373	MK2305	AK1304	AK1371	JV2357	LT2311	EH2307	AK2351	AP1348	LK1306	JS2364	AK1351	AT1302	JP2303	TS2358	JK1312	JE1361	AE2332	NK1335	PK2324	KK1376	MO2363	PK2313	MM1317	TS1358	MV2301	SH2365	VK1336	SK2377	TL2338	JL2316	AN1355	MS1330	AH1343	KL2367	PK1313	PP2368	SK1377	TJ2356	RK2372	HT1321	MK1353	HK2340	AE1332	AM2310	AP2348	EK1349	AS2315	EP1341	EP2341	HN1327	IM2354	KK2376	LK2306	AM1310	SS1323	HP1337	IM1354	KH1326	KM2329	ET2331	KH2326	LT1311	ML1319	HL1333	RS1345	KM1329	AS1315	AH2343	HK1340	AM1314	EK2349	HL2333	JM2360	JM1360	JK2312	MM2328	RS2366	TL1338	TK1342	PH1308	VK2336	TK2342	MM1328	SV1318	PK1324	MK1305	PH2359	SN2320	TJ1356	MR1334	MR2322	SO2346	SO1346	PH2339	MR1322	PH2308	RS2345	PP1368	SV2318	MO1363	SS2323	PH1339	MM2317	SN1320	RA2309	RA1309	MS2370	NK2335	MS2330	RK1372	ML2375	PH1359	SH1365	HN2327	MK2353	RS1366	PT1325	PT2325	MR2334
k__Bacteria	99.96433	98.93323	96.81837	99.96536	100	99.92763	99.84918	98.60561	99.78945	99.85317	97.05444	100	100	100	98.24265	99.94315	98.90443	99.95004	100	100	100	99.84108	99.99888	99.7064	100	99.98769	98.39156	99.41523	100	99.92985	100	100	99.99644	100	100	98.15173	100	99.4608	100	96.93528	99.98956	99.97465	99.93384	100	99.18395	100	99.34277	99.42839	99.94036	100	98.46485	99.90684	99.93817	99.96899	100	100	99.98433	99.97273	100	100	99.8174	99.86825	98.79299	98.7003	97.75027	100	99.95663	99.50095	100	99.98142	99.97916	99.92672	99.9713	100	99.99303	100	99.95066	99.50118	100	100	99.95274	100	100	100	100	100	99.29227	100	100	100	99.96514	100	100	99.92534	99.99048	100	97.22824	96.50723	100	99.96149	99.98653	99.97121	97.09613	99.97981	99.02335	96.76589	99.96859	99.95438	99.98121	100	99.0064	99.9824	99.10719	98.86041	99.97008	100	100	98.11399	99.99774	98.09009	100	100	99.98337	97.7846	100	97.74705	99.84273	99.95338	100	100	99.97645	100	100	99.70906	99.98166	97.86089	100	100	96.87558	99.98578	97.81486	98.34475	98.82255
k__Archaea	0.03567	1.06677	3.18163	0.03464	0	0.07237	0.15082	1.39439	0.21055	0.14683	2.94556	0	0	0	1.75735	0.05544	1.09557	0.04996	0	0	0	0.15892	0.00112	0.2936	0	0.01231	1.60844	0.58477	0	0.07015	0	0	0.00356	0	0	1.84827	0	0.5392	0	3.06472	0.01044	0.02535	0.06616	0	0.81605	0	0.65723	0.57161	0.05964	0	1.53515	0.09316	0.06183	0.03101	0	0	0.01567	0.02727	0	0	0.1826	0.13175	1.20701	1.2997	2.24973	0	0.04337	0.49905	0	0.01858	0.02084	0.07328	0.0287	0	0.00697	0	0.04934	0.49882	0	0	0.04726	0	0	0	0	0	0.70773	0	0	0	0.03486	0	0	0.07466	0.00952	0	2.77176	3.49277	0	0.03851	0.01347	0.02879	2.90387	0.02019	0.97665	3.23411	0.03141	0.04562	0.01879	0	0.9936	0.0176	0.89281	1.13959	0.02992	0	0	1.88601	0.00226	1.90991	0	0	0.01663	2.2154	0	2.25295	0.15727	0.04662	0	0	0.01495	0	0	0.29094	0.01834	2.13911	0	0	3.12442	0.01422	2.18514	1.65525	1.17745
k__Bacteria|p__Firmicutes	80.14569	82.845	55.97894	77.66432	74.60727	77.8675	62.02465	47.95278	44.1043	82.38274	68.09427	53.42854	60.97887	68.06695	62.63462	73.01061	75.39682	78.04344	84.55694	73.88745	64.3489	80.95906	78.43836	63.86685	55.2074	80.44461	71.83394	70.35109	76.26122	36.57488	68.17203	70.84982	68.07236	66.38477	69.22243	69.63609	79.15739	66.04107	57.9237	50.45296	70.5403	79.02288	61.1274	68.29053	69.70443	70.67631	58.45036	49.56546	69.15864	73.69058	71.48809	67.22456	74.77648	78.12769	40.31956	55.67805	77.85427	81.80968	63.40421	71.72376	72.11911	45.86881	84.33021	63.98311	52.12193	65.91956	50.65285	69.07046	72.74617	73.55697	63.25794	57.04988	72.85698	60.50706	43.52194	58.82707	63.15785	67.7049	72.72342	52.46263	61.5443	65.27559	77.82326	63.22841	62.05644	69.29757	61.91765	73.91648	86.0129	70.85936	75.36779	82.43412	63.92227	79.76653	88.02092	73.63581	52.96255	54.23929	37.84001	78.53399	86.87323	82.67285	75.39553	70.74193	55.27017	72.75304	78.8736	60.024	65.63352	57.51345	59.48041	79.25409	77.11334	70.18387	78.17339	80.78511	74.97597	79.26131	82.8167	74.29656	82.41464	62.81179	70.19445	61.21565	64.67343	74.93753	67.02621	81.64387	74.13208	76.55251	60.64669	79.03811	52.89573	86.94108	66.17069	62.46706	66.01034	55.24166	70.16137	72.70213	54.50078	54.47589	73.82196
k__Bacteria|p__Bacteroidetes	10.83423	11.31315	11.40659	14.76952	8.98069	9.07918	28.73176	39.84708	49.78448	12.05864	12.71444	41.97967	29.57274	18.41676	23.87341	18.57245	11.64359	4.38007	10.90526	9.11151	21.83222	8.20873	7.72146	20.47999	30.48071	13.97077	10.23242	23.60584	17.72661	57.09295	27.1854	6.798	26.14005	16.62637	24.06961	19.12128	10.41423	26.76871	36.54854	13.93138	12.78356	13.19643	21.64083	6.69522	17.02627	21.40255	18.51273	42.73699	25.32172	13.37488	17.11053	18.51561	10.33988	12.26862	48.77733	40.46749	12.0336	7.89084	26.51013	18.34135	15.51125	44.77764	8.38736	22.55775	35.71928	9.29682	21.76616	12.24169	16.90184	21.11942	25.87877	30.03679	13.93646	14.91468	45.57615	11.23306	27.55499	23.76681	15.20015	42.10734	32.65828	12.25133	5.11874	24.11119	12.74658	23.59453	28.19869	14.39978	4.0792	6.63014	13.57127	6.40476	25.88973	12.43484	6.04342	14.39619	13.98562	12.99965	56.09093	10.73669	9.28368	5.40441	12.78289	21.01961	34.58197	12.07464	11.05142	26.07284	1.12775	28.47433	28.83078	15.67076	5.68937	14.33556	14.97748	10.88979	6.02418	12.07229	12.11039	9.01052	1.41734	28.04836	12.49292	16.8917	25.28578	13.68607	23.88112	14.39676	21.47769	16.60374	20.72053	10.68385	42.02373	8.44461	23.3572	17.44092	20.40794	14.34551	16.52873	22.15156	33.37977	34.21161	10.38568
k__Bacteria|p__Actinobacteria	8.69803	3.55902	24.34986	6.32309	14.60184	7.76744	7.20627	3.50844	0.76025	4.6835	6.74175	3.93336	3.15614	8.95447	7.20176	5.89452	7.7428	16.22328	2.95546	15.66593	5.90119	9.6613	12.88605	11.97116	7.56214	5.35309	5.80535	2.7882	5.15017	0.55474	3.96869	21.82828	1.20749	13.07596	4.94557	5.54878	4.26908	4.07947	4.34976	27.6397	15.73455	6.02837	11.85797	20.93864	10.59043	6.28278	20.08155	3.60055	4.62099	12.58163	5.1977	11.92246	12.67125	8.56951	5.81218	3.31746	4.43388	9.67661	9.22668	8.96082	9.70841	6.51379	4.02289	7.36436	8.66348	17.56732	25.99563	14.87506	9.65409	3.06853	9.60537	7.05854	7.5747	24.19823	9.89973	25.85749	2.48119	4.95607	10.42178	5.01902	5.07187	18.89652	16.82607	9.81245	23.51013	4.83624	4.89081	9.55825	4.38071	22.38978	10.80327	5.76993	5.56923	6.71418	4.41364	10.68364	22.43488	20.35192	4.38435	10.51258	3.47518	10.34633	6.82552	5.8774	3.48852	6.50793	9.84924	7.1453	23.67843	10.35307	7.32891	4.75315	13.96735	11.09022	6.28143	7.73396	18.51874	5.48722	4.48754	10.83867	14.65679	6.61155	14.78016	17.95148	6.94491	6.70977	6.6073	3.11518	3.69505	6.47903	16.20107	8.62783	4.29107	3.0322	9.54978	16.64716	13.2588	29.86655	9.12206	4.86232	4.55108	6.33239	13.38209
k__Bacteria|p__Proteobacteria	0.1565	0.70992	3.94146	0.21477	0.19963	0.42031	0.63773	0.83004	3.68196	0.54842	5.6014	0.45592	1.11241	1.31933	3.07268	0.47134	1.15257	0.49086	0.7846	0.10949	1.43712	0.88059	0.39644	1.98678	0.35248	0.18837	3.69671	1.07773	0.78235	5.18729	0.66106	0.43943	1.20826	0.1	1.76239	1.31853	0.58902	0.94723	1.178	3.91622	0.93115	0.4549	0.83844	4.02617	0.84868	1.53358	0.58241	2.63314	0.47079	0.3529	1.55088	1.68155	0.43747	0.88012	1.9279	0.35341	2.29613	0.53499	0.67997	0.93948	1.60393	2.08752	0.65195	2.51764	0.8778	1.41548	0.31317	0.63012	0.4758	0.60055	1.23708	1.65699	1.6234	0.38003	0.95395	2.08378	2.94141	0.53139	0.3333	0.3824	0.54891	0.1528	0.19037	1.06387	0.21424	2.2434	3.47354	0.54827	5.52719	0.07609	0.22281	1.18451	1.57437	0.51895	0.29354	0.56794	3.28953	4.76985	1.68471	0.14136	0.06084	0.39925	1.7132	1.2684	4.30702	4.80074	0.1486	5.33219	1.13614	1.85668	1.38057	0.26304	0.29331	1.31777	0.06461	0.57442	0.40168	1.03036	0.03198	0.8728	1.50218	2.5259	1.23795	1.43087	0.48231	1.82998	0.98983	0.65866	0.1116	0.16769	2.09767	0.86017	0.55333	0.28026	0.87923	0.46537	0.32292	0.52682	0.52386	0.12771	2.62234	1.35636	0.57747
k__Bacteria|p__Bacteria_unclassified	0.07934	0.22803	0.00387	0	0	0.02963	0	0	0.0477	0	0.03633	0	0	0	0.79956	0.03097	1.64747	0.09884	0.6882	0	0	0.02096	0.03048	0	0.21929	0.00415	0.03093	0.02027	0	0.01921	0	0	0	0	0	0.2989	0.49097	0.76074	0	0.00167	0	0.66366	0.63374	0.04335	0.00885	0	0.69021	0.28668	0	0	2.67444	0.25336	0.6466	0	0	0	0	0.04275	0	0.02819	0.84898	0.37952	0.66037	1.04972	0.18414	0.2197	0	1.87547	0.00882	0	0	1.21685	2.54912	0	0.04126	0.09934	0	0.93907	0	0	0.12443	1.81378	0	0	1.36191	0	0.15284	0.69188	0	0	0	0	0.21371	0	0	0.54633	0.02441	0.01368	0	0	0	0.50494	0.04692	0.05195	0.24857	0.05339	0	0.51223	2.01531	0.436	0	0	1.12212	0.02489	0.47287	0	0	0.05183	0.54955	0.14089	0	0.00222	0.7324	0.00601	0	0.04664	1.08678	0	0	0	0.09023	0.60671	0	0.84296	0.01028	0.0028	0	0	0.50994	0.00053	0.00854	0.0033	0.04568
k__Bacteria|p__Verrucomicrobia	0.04179	0.19249	0.88444	0.72926	1.61058	4.71512	1.20513	5.79941	1.40011	0	3.79861	0	5.08924	3.23997	0.53127	0.00405	1.01073	0.4797	0.10954	0	6.4705	0.10626	0.42614	0.19984	6.15021	0.0267	6.68892	0.00026	0.07965	0.5005	0	0.08447	2.78975	3.8129	0	1.50603	5.07931	0.32662	0	0.77315	0	0.60665	3.52994	0.00298	0.20723	0	0.9458	0.07921	0	0	0.38321	0	1.05369	0.09316	3.00368	0.088	2.3954	0.01089	0	0.00641	0	0.11361	0.45746	0.86801	0.05603	5.42765	1.22882	0.8034	0.21328	0	0	2.75451	1.15028	0	0	1.88967	2.48872	1.56199	1.32134	0	0	1.60998	0.00934	0	0.1107	0.02826	0.56581	0.87691	0	0.0035	0	3.46065	2.79691	0	0	0.15601	3.5821	3.32953	0	0.03541	0.2936	0.59186	0.24131	0.99946	0.04779	0.079	0.04374	0.83819	6.23408	1.35222	1.4287	0.03668	0.92169	1.51687	0	0.01545	0.07944	0.00851	0	2.86654	0	0.00018	0.54099	0.20627	2.6107	0.24299	0.09632	0.0688	0.00083	0.16145	0	0.18333	0.01466	0.13117	0.01435	0.68702	0	0	0.02961	0.14153	2.29741	1.75705	0.3552
k__Archaea|p__Thaumarchaeota	0.03567	0	0	0.03464	0	0.07237	0.15082	0	0.01583	0.14683	0	0	0	0	0.08204	0	0.02656	0.04996	0	0	0	0.05695	0.00112	0	0	0.01231	0	0	0	0.02161	0	0	0.00356	0	0	0	0	0.08299	0	0	0.01044	0.02535	0.06616	0	0.03188	0	0.04387	0.04052	0.05964	0	0.1595	0.09316	0.06183	0.03101	0	0	0.01567	0.01968	0	0	0.1826	0.01873	0	0.07034	0.06287	0	0.04337	0.06159	0	0.01858	0.02084	0.07328	0.0287	0	0.00697	0	0.04934	0.11558	0	0	0.04726	0	0	0	0	0	0.05665	0	0	0	0.03486	0	0	0.07466	0.00952	0	0	0	0	0.03851	0.01347	0.02879	0.05555	0.01545	0.06835	0.0441	0.03141	0.04562	0.01879	0	0.02033	0.0176	0.01321	0.02788	0.02992	0	0	0	0.00226	0.01997	0	0	0.01663	0.04701	0	0	0.07323	0.04662	0	0	0.01495	0	0	0	0.01834	0.02288	0	0	0.01568	0.01422	0	0	0.03128
k__Bacteria|p__Candidatus_Melainabacteria	0.00875	0	0.0403	0	0	0.04528	0	0.11243	0	0.17949	0.05807	0	0	0	0	1.66366	0.00172	0.14057	0	0	0	0.00356	0.09873	0.01462	0.02777	0	0.0655	0.80654	0	0	0	0	0.49901	0	0	0	0	0.28987	0	0.0483	0	0	0.03275	0	0.79061	0	0	0.03346	0	0	0.01748	0.09438	0	0.02763	0	0.04949	0.96266	0	0	0	0.01494	0.12736	0.04564	0.01652	0	0	0	0.00322	0	0	0	0.06439	0.16883	0	0	0	1.26649	0.03338	0	0	0	0	0	0.00762	0	0	0	0	0	0	0	0.74512	0	0.49016	0	0	0	0	0	0	0	0	0.00469	0.02105	0.62542	0.04528	0	0	0.09572	0.00485	0.07689	0	0	0.01173	0	0	0	0	0	0.0342	0	0	0	0.02587	0	0.02359	0	0.03008	0	0	0.00947	0	0.14127	0	0.00013	0.00703	0	0	0	0	0.06145	0.00779	0.09359
