clade_name	AE1332	AE2332	AH1343	AH2343	AK1351	AK1371	AK2351	AK2371	AM1310	AM1314	AM2310	AM2314	AN1355	AN2355	AP1348	AP2348	AS1315	AS2315	AT1302	AT2302	EH1307	EH2307	EK1349	EK2349	EP1341	EP2341	ET1331	ET2331	HK1340	HL1333	HL2333	HN1327	HN2327	HP1337	HP2337	HT1321	HT2321	IM1354	IM2354	JA1369	JA2369	JE1361	JE2361	JH1373	JH2373	JK1312	JK2312	JL1316	JL2316	JM1360	JM2360	JP1303	JP2303	JS1364	JS2364	JV1357	JV2357	KH1326	KH2326	KK1350	KK1376	KK2350	KK2376	KL1367	KL2367	KM1329	KM2329	LK1306	LK2306	LT1311	LT2311	MK1305	MK1353	MK2305	MK2353	ML1319	ML1375	ML2319	ML2375	MM1317	MM1328	MM2317	MM2328	MO1363	MO2363	MR1322	MR1334	MR2322	MR2334	MS1330	MS1370	MS2330	MS2370	MV1301	MV2301	NK1335	NK2335	PH1308	PH1339	PH1359	PH2308	PH2339	PH2359	PK1313	PK1324	PK2313	PK2324	PP1368	PT1325	PT2325	RA1309	RA2309	RK1372	RK2372	RS1345	RS1366	RS2345	RS2366	SH1365	SH2365	SK1377	SK2377	SN1320	SN2320	SO1346	SO2346	SS1323	SS2323	SV1318	SV2318	TJ1356	TJ2356	TK1342	TK2342	TL1338	TL2338	TS1358	TS2358	VK1336	VK2336
k__Bacteria	99.95663	99.98956	99.98433	100	100	98.39156	100	97.05444	99.50118	99.92534	99.50095	99.85317	100	100	100	100	99.96514	99.97916	98.15173	98.93323	99.78945	99.92985	99.98142	99.99048	99.92672	99.9713	100	100	100	100	100	100	100	100	100	98.7003	98.90443	99.95274	99.99303	99.92763	99.99888	96.93528	96.81837	99.7064	98.60561	100	100	99.84918	99.96899	96.50723	97.22824	100	100	100	100	99.94315	99.41523	100	100	100	100	100	100	99.84108	99.97273	100	100	99.99644	99.95066	100	100	100	97.75027	100	96.87558	99.29227	99.96433	98.24265	99.98166	99.34277	99.96859	99.84273	99.96149	97.7846	99.18395	99.99774	98.86041	99.97008	98.82255	100	99.95004	100	99.97645	99.96536	99.94036	99.97465	100	99.97981	97.74705	97.86089	98.09009	98.11399	99.0064	100	99.98121	100	99.93384	100	97.81486	98.34475	100	100	99.70906	98.79299	100	99.98578	100	99.98653	100	100	99.8174	99.90684	99.95338	99.9824	100	100	100	100	99.95438	99.98337	99.10719	99.86825	97.09613	96.76589	99.97121	99.93817	99.42839	99.4608	98.46485	99.02335
k__Archaea	0.04337	0.01044	0.01567	0	0	1.60844	0	2.94556	0.49882	0.07466	0.49905	0.14683	0	0	0	0	0.03486	0.02084	1.84827	1.06677	0.21055	0.07015	0.01858	0.00952	0.07328	0.0287	0	0	0	0	0	0	0	0	0	1.2997	1.09557	0.04726	0.00697	0.07237	0.00112	3.06472	3.18163	0.2936	1.39439	0	0	0.15082	0.03101	3.49277	2.77176	0	0	0	0	0.05544	0.58477	0	0	0	0	0	0	0.15892	0.02727	0	0	0.00356	0.04934	0	0	0	2.24973	0	3.12442	0.70773	0.03567	1.75735	0.01834	0.65723	0.03141	0.15727	0.03851	2.2154	0.81605	0.00226	1.13959	0.02992	1.17745	0	0.04996	0	0.01495	0.03464	0.05964	0.02535	0	0.02019	2.25295	2.13911	1.90991	1.88601	0.9936	0	0.01879	0	0.06616	0	2.18514	1.65525	0	0	0.29094	1.20701	0	0.01422	0	0.01347	0	0	0.1826	0.09316	0.04662	0.0176	0	0	0	0	0.04562	0.01663	0.89281	0.13175	2.90387	3.23411	0.02879	0.06183	0.57161	0.5392	1.53515	0.97665
k__Bacteria|p__Firmicutes	50.65285	70.5403	77.85427	82.43412	69.22243	71.83394	68.17203	68.09427	67.7049	79.76653	69.07046	82.38274	40.31956	60.97887	70.84982	72.74617	75.36779	63.25794	69.63609	82.845	44.1043	36.57488	73.55697	88.02092	57.04988	72.85698	73.88745	63.22841	63.92227	73.91648	73.63581	60.50706	55.24166	52.46263	53.42854	63.98311	75.39682	61.5443	43.52194	77.8675	78.43836	50.45296	55.97894	63.86685	47.95278	57.9237	37.84001	62.02465	78.12769	54.23929	52.96255	84.55694	79.15739	74.60727	66.38477	73.01061	70.35109	65.27559	62.05644	68.06695	68.29053	64.3489	58.82707	80.95906	81.80968	70.85936	77.82326	68.07236	63.15785	69.29757	76.26122	57.51345	52.12193	55.2074	70.16137	61.91765	80.14569	62.63462	66.17069	58.45036	78.8736	67.02621	78.53399	61.21565	69.70443	82.8167	70.18387	78.17339	73.82196	55.67805	78.04344	52.89573	60.64669	77.66432	69.15864	79.02288	79.03811	70.74193	74.93753	62.46706	74.29656	79.26131	59.48041	63.40421	65.63352	70.67631	61.1274	62.81179	54.50078	54.47589	76.55251	74.13208	86.94108	84.33021	86.0129	72.70213	82.41464	86.87323	66.01034	73.69058	72.11911	67.22456	81.64387	79.25409	74.97597	80.78511	72.72342	64.67343	60.024	70.19445	77.11334	45.86881	75.39553	72.75304	82.67285	74.77648	49.56546	66.04107	71.48809	55.27017
k__Bacteria|p__Bacteroidetes	21.76616	12.78356	12.0336	6.40476	24.06961	10.23242	27.1854	12.71444	23.76681	12.43484	12.24169	12.05864	48.77733	29.57274	6.798	16.90184	13.57127	25.87877	19.12128	11.31315	49.78448	57.09295	21.11942	6.04342	30.03679	13.93646	9.11151	24.11119	25.88973	14.39978	14.39619	14.91468	14.34551	42.10734	41.97967	22.55775	11.64359	32.65828	45.57615	9.07918	7.72146	13.93138	11.40659	20.47999	39.84708	36.54854	56.09093	28.73176	12.26862	12.99965	13.98562	10.90526	10.41423	8.98069	16.62637	18.57245	23.60584	12.25133	12.74658	18.41676	6.69522	21.83222	11.23306	8.20873	7.89084	6.63014	5.11874	26.14005	27.55499	23.59453	17.72661	28.47433	35.71928	30.48071	16.52873	28.19869	10.83423	23.87341	23.3572	18.51273	11.05142	23.88112	10.73669	16.8917	17.02627	12.11039	14.33556	14.97748	10.38568	40.46749	4.38007	42.02373	20.72053	14.76952	25.32172	13.19643	10.68385	21.01961	13.68607	17.44092	9.01052	12.07229	28.83078	26.51013	1.12775	21.40255	21.64083	28.04836	33.37977	34.21161	16.60374	21.47769	8.44461	8.38736	4.0792	22.15156	1.41734	9.28368	20.40794	13.37488	15.51125	18.51561	14.39676	15.67076	6.02418	10.88979	15.20015	25.28578	26.07284	12.49292	5.68937	44.77764	12.78289	12.07464	5.40441	10.33988	42.73699	26.76871	17.11053	34.58197
k__Bacteria|p__Actinobacteria	25.99563	15.73455	4.43388	5.76993	4.94557	5.80535	3.96869	6.74175	4.95607	6.71418	14.87506	4.6835	5.81218	3.15614	21.82828	9.65409	10.80327	9.60537	5.54878	3.55902	0.76025	0.55474	3.06853	4.41364	7.05854	7.5747	15.66593	9.81245	5.56923	9.55825	10.68364	24.19823	29.86655	5.01902	3.93336	7.36436	7.7428	5.07187	9.89973	7.76744	12.88605	27.6397	24.34986	11.97116	3.50844	4.34976	4.38435	7.20627	8.56951	20.35192	22.43488	2.95546	4.26908	14.60184	13.07596	5.89452	2.7882	18.89652	23.51013	8.95447	20.93864	5.90119	25.85749	9.6613	9.67661	22.38978	16.82607	1.20749	2.48119	4.83624	5.15017	10.35307	8.66348	7.56214	9.12206	4.89081	8.69803	7.20176	9.54978	20.08155	9.84924	6.6073	10.51258	17.95148	10.59043	4.48754	11.09022	6.28143	13.38209	3.31746	16.22328	4.29107	16.20107	6.32309	4.62099	6.02837	8.62783	5.8774	6.70977	16.64716	10.83867	5.48722	7.32891	9.22668	23.67843	6.28278	11.85797	6.61155	4.55108	6.33239	6.47903	3.69505	3.0322	4.02289	4.38071	4.86232	14.65679	3.47518	13.2588	12.58163	9.70841	11.92246	3.11518	4.75315	18.51874	7.73396	10.42178	6.94491	7.1453	14.78016	13.96735	6.51379	6.82552	6.50793	10.34633	12.67125	3.60055	4.07947	5.1977	3.48852
k__Bacteria|p__Proteobacteria	0.31317	0.93115	2.29613	1.18451	1.76239	3.69671	0.66106	5.6014	0.53139	0.51895	0.63012	0.54842	1.9279	1.11241	0.43943	0.4758	0.22281	1.23708	1.31853	0.70992	3.68196	5.18729	0.60055	0.29354	1.65699	1.6234	0.10949	1.06387	1.57437	0.54827	0.56794	0.38003	0.52682	0.3824	0.45592	2.51764	1.15257	0.54891	0.95395	0.42031	0.39644	3.91622	3.94146	1.98678	0.83004	1.178	1.68471	0.63773	0.88012	4.76985	3.28953	0.7846	0.58902	0.19963	0.1	0.47134	1.07773	0.1528	0.21424	1.31933	4.02617	1.43712	2.08378	0.88059	0.53499	0.07609	0.19037	1.20826	2.94141	2.2434	0.78235	1.85668	0.8778	0.35248	0.52386	3.47354	0.1565	3.07268	0.87923	0.58241	0.1486	0.98983	0.14136	1.43087	0.84868	0.03198	1.31777	0.06461	0.57747	0.35341	0.49086	0.55333	2.09767	0.21477	0.47079	0.4549	0.86017	1.2684	1.82998	0.46537	0.8728	1.03036	1.38057	0.67997	1.13614	1.53358	0.83844	2.5259	2.62234	1.35636	0.16769	0.1116	0.28026	0.65195	5.52719	0.12771	1.50218	0.06084	0.32292	0.3529	1.60393	1.68155	0.65866	0.26304	0.40168	0.57442	0.3333	0.48231	5.33219	1.23795	0.29331	2.08752	1.7132	4.80074	0.39925	0.43747	2.63314	0.94723	1.55088	4.30702
k__Bacteria|p__Bacteria_unclassified	0	0	0	0	0	0.03093	0	0.03633	0.93907	0	1.87547	0	0	0	0	0.00882	0	0	0.2989	0.22803	0.0477	0.01921	0	0	1.21685	2.54912	0	0	0.21371	0.69188	0.54633	0	0	0	0	1.04972	1.64747	0.12443	0.04126	0.02963	0.03048	0.00167	0.00387	0	0	0	0	0	0	0.01368	0.02441	0.6882	0.49097	0	0	0.03097	0.02027	1.81378	1.36191	0	0.04335	0	0.09934	0.02096	0.04275	0	0	0	0	0	0	0.436	0.18414	0.21929	0.50994	0.15284	0.07934	0.79956	0.01028	0.69021	0	1.08678	0	0.00601	0.00885	0.54955	0.02489	0.47287	0.04568	0	0.09884	0	0.09023	0	0	0.66366	0.60671	0.05195	0.04664	0.0028	0.14089	0.05183	0	0	2.01531	0	0.63374	0.00222	0.00854	0.0033	0	0	0.84296	0.66037	0	0.00053	0	0	0	0	0.84898	0.25336	0	0	0	0	0	0	0.51223	0.7324	1.12212	0.37952	0.04692	0.05339	0.50494	0.6466	0.28668	0.76074	2.67444	0.24857
k__Bacteria|p__Verrucomicrobia	1.22882	0	2.3954	3.46065	0	6.68892	0	3.79861	1.56199	0	0.8034	0	3.00368	5.08924	0.08447	0.21328	0	0	1.50603	0.19249	1.40011	0.5005	0	0	2.75451	1.15028	0	0	2.79691	0.87691	0.15601	0	0	0	0	0.86801	1.01073	0	0	4.71512	0.42614	0.77315	0.88444	0.19984	5.79941	0	0	1.20513	0.09316	3.32953	3.5821	0.10954	5.07931	1.61058	3.8129	0.00405	0.00026	1.60998	0.1107	3.23997	0.00298	6.4705	1.88967	0.10626	0.01089	0.0035	0.00934	2.78975	2.48872	0.02826	0.07965	1.35222	0.05603	6.15021	0.02961	0.56581	0.04179	0.53127	0.01435	0.9458	0.04374	0.09632	0.03541	0.20627	0.20723	0	1.51687	0	0.3552	0.088	0.4797	0.01466	0	0.72926	0	0.60665	0.18333	0.99946	0.24299	0.68702	2.86654	0.00851	1.4287	0	6.23408	0	3.52994	0.00018	2.29741	1.75705	0.16145	0.00083	0.13117	0.45746	0	0.14153	0	0.2936	0	0	0	0	0.0688	0.03668	0.07944	0.01545	1.32134	2.6107	0.83819	0.54099	0.92169	0.11361	0.24131	0.079	0.59186	1.05369	0.07921	0.32662	0.38321	0.04779
k__Archaea|p__Thaumarchaeota	0.04337	0.01044	0.01567	0	0	0	0	0	0.11558	0.07466	0.06159	0.14683	0	0	0	0	0.03486	0.02084	0	0	0.01583	0.02161	0.01858	0.00952	0.07328	0.0287	0	0	0	0	0	0	0	0	0	0.07034	0.02656	0.04726	0.00697	0.07237	0.00112	0	0	0	0	0	0	0.15082	0.03101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05695	0.01968	0	0	0.00356	0.04934	0	0	0	0.06287	0	0.01568	0.05665	0.03567	0.08204	0.01834	0.04387	0.03141	0.07323	0.03851	0.04701	0.03188	0.00226	0.02788	0.02992	0.03128	0	0.04996	0	0.01495	0.03464	0.05964	0.02535	0	0.01545	0	0.02288	0.01997	0	0.02033	0	0.01879	0	0.06616	0	0	0	0	0	0	0	0	0.01422	0	0.01347	0	0	0.1826	0.09316	0.04662	0.0176	0	0	0	0	0.04562	0.01663	0.01321	0.01873	0.05555	0.0441	0.02879	0.06183	0.04052	0.08299	0.1595	0.06835
k__Bacteria|p__Candidatus_Melainabacteria	0	0	0.96266	0.74512	0	0.0655	0	0.05807	0.03338	0.49016	0.00322	0.17949	0	0	0	0	0	0	0	0	0	0	0	0	0.06439	0.16883	0	0.00762	0	0	0	0	0	0	0	0.01652	0.00172	0	0	0.04528	0.09873	0.0483	0.0403	0.01462	0.11243	0	0	0	0.02763	0	0	0	0	0	0	1.66366	0.80654	0	0	0	0	0	0	0.00356	0	0	0	0.49901	1.26649	0	0	0.00485	0	0.02777	0	0	0.00875	0	0.00013	0	0	0	0	0.02587	0.79061	0	0.01173	0	0.09359	0.04949	0.14057	0.14127	0.00947	0	0	0	0	0.02105	0.02359	0.00703	0.0342	0	0.07689	0	0.09572	0	0.03275	0	0.06145	0.00779	0	0	0	0.04564	0	0	0	0	0	0	0.01494	0.09438	0.03008	0	0	0	0	0	0	0	0	0.12736	0.00469	0.04528	0	0	0.03346	0.28987	0.01748	0.62542
