"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"K02422"	"diet"	"oat"	"dietoat"	1.82277889798346	0.477862561902688	0.000724299277725882	0.930304299875551	0.00144807394600805	0.956864294791204	NA	"abundance"	69	60
"K05934"	"diet"	"oat"	"dietoat"	1.43407430559726	0.372084480715944	0.000733100315110757	0.930304299875551	0.000733100315110757	0.824004754184491	NA	"abundance"	69	69
"K06206"	"diet"	"oat"	"dietoat"	1.0733194959315	0.26165532625161	0.000511506823309804	0.930304299875551	0.000511506823309804	0.824004754184491	NA	"abundance"	69	69
"K09749"	"diet"	"oat"	"dietoat"	1.67728489725325	0.426872576291299	0.000515208805847767	0.930304299875551	0.00103015217158191	0.926312832686454	NA	"abundance"	69	67
"UNGROUPED"	"diet"	"oat"	"dietoat"	0.0256868539954654	0.017805366920227	0.00024896739392577	0.930304299875551	0.00024896739392577	0.824004754184491	NA	"abundance"	69	69
"K07217"	"diet"	"oat"	"dietoat"	-2.02719748145376	0.562034815968616	0.000309889537752805	0.930304299875551	0.000619683043980002	0.824004754184491	NA	"prevalence"	69	28
"K00001"	"diet"	"oat"	"dietoat"	-0.156632623562778	0.438585496653452	0.53827424629804	0.966978008976346	0.786809328368357	0.973063332709317	NA	"abundance"	69	37
"K00002"	"diet"	"oat"	"dietoat"	-0.0489256532623733	0.332568924516737	0.621719116515242	0.966978008976346	0.711689768901273	0.957057327742299	NA	"abundance"	69	68
"K00003"	"diet"	"oat"	"dietoat"	0.188444463429492	0.164833902217821	0.662827939501609	0.966978008976346	0.662827939501609	0.957057327742299	NA	"abundance"	69	69
"K00004"	"diet"	"oat"	"dietoat"	-0.552951174091147	0.74359914562976	0.398260786883101	0.966978008976346	0.542307187051358	0.957057327742299	NA	"abundance"	69	9
"K00005"	"diet"	"oat"	"dietoat"	-0.120765076609362	0.220947028345613	0.289141105152081	0.966978008976346	0.289141105152081	0.957057327742299	NA	"abundance"	69	69
"K00008"	"diet"	"oat"	"dietoat"	-0.572877006312212	0.446307789158955	0.128519267249792	0.966978008976346	0.24052133244516	0.957057327742299	NA	"abundance"	69	58
"K00009"	"diet"	"oat"	"dietoat"	-0.102806235102581	0.283650238603238	0.44370732472383	0.966978008976346	0.44370732472383	0.957057327742299	NA	"abundance"	69	69
"K00012"	"diet"	"oat"	"dietoat"	-0.10651402715993	0.213078057937661	0.301028168131065	0.966978008976346	0.301028168131065	0.957057327742299	NA	"abundance"	69	69
"K00013"	"diet"	"oat"	"dietoat"	0.0295754571524192	0.195029107454205	0.659924564252107	0.966978008976346	0.659924564252107	0.957057327742299	NA	"abundance"	69	69
"K00014"	"diet"	"oat"	"dietoat"	0.0212122888632962	0.148946263630006	0.528468688120778	0.966978008976346	0.528468688120778	0.957057327742299	NA	"abundance"	69	69
"K00016"	"diet"	"oat"	"dietoat"	-0.0528182983817021	0.313827509974605	0.592521846583353	0.966978008976346	0.592521846583353	0.957057327742299	NA	"abundance"	69	69
"K00018"	"diet"	"oat"	"dietoat"	-0.268071605311825	0.258728134196209	0.143048699032498	0.966978008976346	0.143048699032498	0.957057327742299	NA	"abundance"	69	69
"K00020"	"diet"	"oat"	"dietoat"	-0.243271195254099	0.337870948774767	0.292781981112778	0.966978008976346	0.499842673761233	0.957057327742299	NA	"abundance"	69	55
"K00027"	"diet"	"oat"	"dietoat"	-0.313363398765585	0.363880905221911	0.242638461661885	0.966978008976346	0.426403500246123	0.957057327742299	NA	"abundance"	69	65
"K00030"	"diet"	"oat"	"dietoat"	0.314189296746405	0.318413403017955	0.536246523474933	0.966978008976346	0.784932713010914	0.973063332709317	NA	"abundance"	69	62
"K00031"	"diet"	"oat"	"dietoat"	-0.116775052471015	0.20733375995064	0.26667221512543	0.966978008976346	0.26667221512543	0.957057327742299	NA	"abundance"	69	69
"K00033"	"diet"	"oat"	"dietoat"	0.323853527288805	0.37960761294081	0.586404283098672	0.966978008976346	0.828938582960877	0.980711955978497	NA	"abundance"	69	58
"K00036"	"diet"	"oat"	"dietoat"	0.293741857586395	0.309285596473358	0.567807642185103	0.966978008976346	0.567807642185103	0.957057327742299	NA	"abundance"	69	69
"K00040"	"diet"	"oat"	"dietoat"	0.0240023090045668	0.239149313738532	0.70198156795599	0.966978008976346	0.70198156795599	0.957057327742299	NA	"abundance"	69	69
"K00045"	"diet"	"oat"	"dietoat"	-0.422362713775771	0.461871551245026	0.248490904054881	0.966978008976346	0.43523407871175	0.957057327742299	NA	"abundance"	69	61
"K00048"	"diet"	"oat"	"dietoat"	-0.695546916486392	0.485709305308716	0.0999206947547084	0.966978008976346	0.189857244269153	0.957057327742299	NA	"abundance"	69	64
"K00052"	"diet"	"oat"	"dietoat"	0.00339911731243295	0.148774643894822	0.453975435944114	0.966978008976346	0.453975435944114	0.957057327742299	NA	"abundance"	69	69
"K00053"	"diet"	"oat"	"dietoat"	-0.147178178996433	0.154360409820155	0.0941454136354354	0.966978008976346	0.0941454136354354	0.957057327742299	NA	"abundance"	69	69
