"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"UNGROUPED"	"diet"	"oat"	"dietoat"	0.0250627707524248	0.017214053995043	3.54716256367738e-12	2.65682476019435e-08	3.54716256367738e-12	1.58132507088737e-08	"abundance"	69	69
"UNMAPPED"	"diet"	"oat"	"dietoat"	-0.0896605845938569	0.0596919109608107	2.55544905658489e-06	0.00957015671691042	2.55544905658489e-06	0.00569609594712772	"abundance"	69	69
"K19405"	"diet"	"oat"	"dietoat"	-0.836176932471863	0.211270808428498	5.35056728656613e-06	0.0133585829921268	1.0701105944562e-05	0.0159018434336191	"abundance"	69	58
"K00847"	"diet"	"oat"	"dietoat"	-0.490995520667172	0.162881435789995	3.95124915191225e-05	0.0739871403695569	3.95124915191225e-05	0.044036671798062	"abundance"	69	69
"K03106"	"diet"	"oat"	"dietoat"	-0.309874326854892	0.128331466298383	8.84608087438066e-05	0.12690897702237	8.84608087438066e-05	0.0755354098218594	"abundance"	69	69
"K11928"	"diet"	"oat"	"dietoat"	-0.581234404650818	0.195606864791629	0.000101662731927132	0.12690897702237	0.000101662731927132	0.0755354098218594	"abundance"	69	69
"K00053"	"diet"	"oat"	"dietoat"	-0.365353200509399	0.145820587875382	0.000133230203987367	0.142556318266482	0.000133230203987367	0.0848486070536687	"abundance"	69	69
"K02874"	"diet"	"oat"	"dietoat"	-0.0442778631069891	0.0665560581425972	0.000160020301012587	0.146637415836199	0.000160020301012587	0.0891713127392639	"abundance"	69	69
"K19411"	"diet"	"oat"	"dietoat"	-0.787289774242311	0.251063411384909	0.000176199832112922	0.146637415836199	0.000352368617845007	0.111339945353213	"abundance"	69	54
"K00611"	"diet"	"oat"	"dietoat"	-0.744757819653882	0.248116220693841	0.000210504960918567	0.157668215728007	0.000210504960918567	0.104270123974997	"abundance"	69	69
"K00620"	"diet"	"oat"	"dietoat"	-0.579786345353401	0.21537976509592	0.000374629694997353	0.187065094368678	0.000374629694997353	0.111339945353213	"abundance"	69	69
"K00931"	"diet"	"oat"	"dietoat"	-0.374540865233373	0.157403377472811	0.000294301250268303	0.187065094368678	0.000294301250268303	0.111339945353213	"abundance"	69	69
"K01693"	"diet"	"oat"	"dietoat"	-0.562463314747514	0.208593865299969	0.000327593327369202	0.187065094368678	0.000327593327369202	0.111339945353213	"abundance"	69	69
"K01897"	"diet"	"oat"	"dietoat"	-0.324281511443833	0.146833681613274	0.000370281199901124	0.187065094368678	0.000370281199901124	0.111339945353213	"abundance"	69	69
"K02028"	"diet"	"oat"	"dietoat"	-0.48352606309537	0.189557623542846	0.000370962176237777	0.187065094368678	0.000370962176237777	0.111339945353213	"abundance"	69	69
"K01950"	"diet"	"oat"	"dietoat"	-0.262303466958919	0.133577348636317	0.000503159051147062	0.203096006279091	0.000503159051147062	0.120881441387475	"abundance"	69	69
"K02600"	"diet"	"oat"	"dietoat"	-0.546993014841891	0.212183125177757	0.000515196811655905	0.203096006279091	0.000515196811655905	0.120881441387475	"abundance"	69	69
"K02836"	"diet"	"oat"	"dietoat"	-0.248539051572473	0.128443442354027	0.00044696809038558	0.203096006279091	0.00044696809038558	0.120881441387475	"abundance"	69	69
"K03665"	"diet"	"oat"	"dietoat"	-0.316193644934137	0.147398477844946	0.000463811676424952	0.203096006279091	0.000463811676424952	0.120881441387475	"abundance"	69	69
"K01704"	"diet"	"oat"	"dietoat"	-0.298411204911275	0.144528218108699	0.000549190982124692	0.205672022805697	0.000549190982124692	0.122414669915594	"abundance"	69	69
"K00215"	"diet"	"oat"	"dietoat"	-0.376160561604442	0.169437043064661	0.000689812593343442	0.214808499153592	0.000689812593343442	0.13370367570109	"abundance"	69	69
"K00943"	"diet"	"oat"	"dietoat"	-0.638899902161963	0.248501429254088	0.000866322378491713	0.214808499153592	0.000866322378491713	0.144294680220349	"abundance"	69	69
"K01575"	"diet"	"oat"	"dietoat"	-2.48735830848557	0.682354816989857	0.000800224211622069	0.214808499153592	0.00159980806445527	0.144294680220349	"abundance"	69	21
"K01586"	"diet"	"oat"	"dietoat"	-0.20788146184287	0.124608747533598	0.000881120180716621	0.214808499153592	0.000881120180716621	0.144294680220349	"abundance"	69	69
"K02039"	"diet"	"oat"	"dietoat"	-0.316867880068162	0.156034545616333	0.000878411663876921	0.214808499153592	0.000878411663876921	0.144294680220349	"abundance"	69	69
"K02314"	"diet"	"oat"	"dietoat"	-0.472412873779388	0.19534952166507	0.000645074095064424	0.214808499153592	0.000645074095064424	0.131641426117318	"abundance"	69	69
"K02343"	"diet"	"oat"	"dietoat"	-0.378481415877023	0.171355792762563	0.000744145036614796	0.214808499153592	0.000744145036614796	0.138224940551198	"abundance"	69	69
"K02435"	"diet"	"oat"	"dietoat"	-0.406482170931148	0.177112611642456	0.000649643646159936	0.214808499153592	0.000649643646159936	0.131641426117318	"abundance"	69	69
"K05566"	"diet"	"oat"	"dietoat"	-0.743598043295478	0.2695964546488	0.000750149890778373	0.214808499153592	0.00149973705669811	0.144294680220349	"abundance"	69	49
"K11735"	"diet"	"oat"	"dietoat"	3.75291733088918	0.245534896030925	0.00073932575084501	0.214808499153592	0.00147810489912416	0.144294680220349	"abundance"	69	5
"K21430"	"diet"	"oat"	"dietoat"	3.84772495978091	0.655249388037323	0.000889060543893372	0.214808499153592	0.00177733065913604	0.144294680220349	"abundance"	69	9
"K00549"	"diet"	"oat"	"dietoat"	-0.4717642274578	0.212807196337082	0.00161598305152866	0.221372706007172	0.00161598305152866	0.144294680220349	"abundance"	69	69
