"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"K12251"	"duration"	"Week 6"	"durationWeek 6"	-7.96988918549204	0.667599003690197	7.4880530151024e-33	5.28132379155172e-29	1.49761060302047e-32	6.67035762585319e-29	NA	"prevalence"	68	63
"K06884"	"duration"	"Week 6"	"durationWeek 6"	-7.96984926283244	0.733225021218676	1.60937030036077e-27	2.85267468474059e-24	1.60937030036077e-27	1.80147639952284e-24	NA	"prevalence"	68	5
"K11689"	"duration"	"Week 6"	"durationWeek 6"	-7.9698490775382	0.733242434318394	1.61393430672492e-27	2.85267468474059e-24	1.61393430672492e-27	1.80147639952284e-24	NA	"prevalence"	68	5
"K16079"	"duration"	"Week 6"	"durationWeek 6"	-7.96984905342253	0.733257349501412	1.61785038125087e-27	2.85267468474059e-24	1.61785038125087e-27	1.80147639952284e-24	NA	"prevalence"	68	5
"K17234"	"duration"	"Week 6"	"durationWeek 6"	-8.00396653068271	0.746733492926075	8.32190914000585e-27	1.17388850328922e-23	1.66438182800118e-26	1.48263133238345e-23	NA	"prevalence"	68	63
"K09789"	"duration"	"Week 6"	"durationWeek 6"	8.00395126455363	0.761774491155314	8.0219251173237e-26	9.42977297541401e-23	1.60438502346475e-25	1.19098848241866e-22	NA	"prevalence"	68	63
"K19165"	"duration"	"Week 6"	"durationWeek 6"	-8.03209761750736	0.776815748394317	4.65644719397439e-25	4.6917031513002e-22	9.31289438794879e-25	5.92566165770341e-22	NA	"prevalence"	68	63
"K00194"	"duration"	"Week 6"	"durationWeek 6"	-8.50495151174937	0.828565614243141	1.01669368624217e-24	8.96342571133251e-22	2.03338737248434e-24	1.00630081744947e-21	NA	"prevalence"	68	62
"K21638"	"duration"	"Week 6"	"durationWeek 6"	8.00397841632952	0.784758629207972	1.99733549809978e-24	1.56524525201086e-21	1.99733549809978e-24	1.00630081744947e-21	NA	"prevalence"	68	5
"K17235"	"duration"	"Week 6"	"durationWeek 6"	-8.0313800114852	0.843426781087676	1.69354635973198e-21	1.19445824751897e-18	3.38709271946398e-21	1.50861109724926e-18	NA	"prevalence"	68	63
"K03411"	"duration"	"Week 6"	"durationWeek 6"	-8.17949907380077	1.4887105298131	3.92148530898724e-08	2.51438508038972e-05	7.842970464194e-08	3.17569004068364e-05	NA	"prevalence"	68	56
"K15585"	"duration"	"Week 6"	"durationWeek 6"	-7.42093482164013	1.3925969619927	9.88387295153199e-08	5.36238122516578e-05	1.97677449261545e-07	6.77273353085325e-05	NA	"prevalence"	68	64
"K21573"	"duration"	"Week 6"	"durationWeek 6"	-7.42093482163969	1.39244881884168	9.85307113773532e-08	5.36238122516578e-05	1.97061413046405e-07	6.77273353085325e-05	NA	"prevalence"	68	64
