"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"X5.1.99.1"	"time"	"time"	"time"	-10.6024841401075	0.999690924840133	2.80170373175165e-26	2.49939989909565e-22	5.60340746350332e-26	3.55760339857826e-22	NA	"prevalence"	138	131
"X5.1.99.1"	"diet"	"2"	"diet2"	-20.3110927364188	3.82959480505235	1.13467255621127e-07	0.000506120693698038	2.26934498367436e-07	0.000720403565067427	NA	"prevalence"	138	131
"X5.1.99.1"	"diet"	"2:time"	"diet2:time"	10.6025012314229	2.13999267291253	7.25326316476266e-07	0.00215687868976159	1.45065210685427e-06	0.00307006340880591	NA	"prevalence"	138	131
"X4.2.2.2"	"diet"	"2:time"	"diet2:time"	-2.36028766045258	0.483151886529379	2.94030541611659e-06	0.00655761615429402	5.88060218683723e-06	0.0093339858210574	NA	"abundance"	138	136
"X2.3.1.28"	"diet"	"2:time"	"diet2:time"	-0.777756745588288	0.167383147254387	1.62971820368711e-05	0.0213741944626125	1.62971820368711e-05	0.0177471382973113	NA	"abundance"	138	138
"X2.3.3.14"	"diet"	"2"	"diet2"	6.92199488304798	1.34999211610271	1.25784670500695e-05	0.0213741944626125	2.51567758823057e-05	0.0228171957252512	NA	"abundance"	138	41
"X1.1.1.135"	"time"	"time"	"time"	10.0794033710377	2.34185031323142	1.67715907676592e-05	0.0213741944626125	1.67715907676592e-05	0.0177471382973113	NA	"prevalence"	138	6
"X3.6.3.5"	"diet"	"2"	"diet2"	-2.36873273056825	0.551953823523073	3.37628479375729e-05	0.0376497958063859	3.37628479375729e-05	0.0267950401944563	NA	"abundance"	138	138
"X3.1.1.83"	"time"	"time"	"time"	-0.862294277091104	0.205886795041854	5.06553392913389e-05	0.0502106979797816	5.06553392913389e-05	0.0357345276845234	NA	"abundance"	138	138
"X4.2.2.2"	"diet"	"2"	"diet2"	3.16465444861549	0.767294539100931	6.53522067980024e-05	0.058300703684498	0.000130700142685071	0.0592725147076799	NA	"abundance"	138	136
"X1.2.1.62"	"time"	"time"	"time"	-1.85695056501543	0.39726314192413	7.96501925560529e-05	0.0599486109993901	7.96501925560529e-05	0.0465435466348202	NA	"abundance"	138	49
"X4.2.1.17"	"diet"	"2:time"	"diet2:time"	-0.885088157368264	0.210746478108208	8.06393153225739e-05	0.0599486109993901	8.06393153225739e-05	0.0465435466348202	NA	"abundance"	138	138
"X3.1.1.72"	"diet"	"2:time"	"diet2:time"	-2.35521516283972	0.583235086984952	9.11773194538014e-05	0.0625686820651817	9.11773194538014e-05	0.0482404001010154	NA	"abundance"	138	135
"X2.1.1.184"	"diet"	"2:time"	"diet2:time"	-1.91269676601226	0.469704833114414	0.000126446325322303	0.070057698731406	0.000252876661971419	0.0910815434687027	NA	"abundance"	138	134
"X2.3.3.14"	"diet"	"2:time"	"diet2:time"	-3.63906122631415	0.836695260996596	0.000133503068987098	0.070057698731406	0.000266988314904767	0.0910815434687027	NA	"abundance"	138	41
"X3.6.3.5"	"diet"	"2:time"	"diet2:time"	1.3800022450107	0.349086249114307	0.000124252853325813	0.070057698731406	0.000124252853325813	0.0592725147076799	NA	"abundance"	138	138
"X4.2.1.104"	"diet"	"2:time"	"diet2:time"	2.34498759715903	0.585143829940987	0.000110853432226889	0.070057698731406	0.000221694575970341	0.0910815434687027	NA	"abundance"	138	116
"X2.1.1.184"	"diet"	"2"	"diet2"	3.10374430066002	0.788695935859268	0.000157816355687426	0.0703939854543763	0.00031560780537273	0.0910815434687027	NA	"abundance"	138	134
