"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"X1.1.1.205"	"diet"	"oat"	"dietoat"	-0.0946349484558704	0.0430591278870567	0.000762482977660017	0.131105176583095	0.000762482977660017	0.0894270777547088	NA	"abundance"	69	69
"X1.1.1.267"	"diet"	"oat"	"dietoat"	-0.0530032649994505	0.0291533662079708	0.000617412317504673	0.131105176583095	0.000617412317504673	0.0894270777547088	NA	"abundance"	69	69
"X1.3.1.98"	"diet"	"oat"	"dietoat"	-0.091245282584482	0.0452378506287655	0.00149641670404765	0.131105176583095	0.00149641670404765	0.0894270777547088	NA	"abundance"	69	69
"X2.1.1.182"	"diet"	"oat"	"dietoat"	-0.0767149290746314	0.0372710325843496	0.000724307650156297	0.131105176583095	0.000724307650156297	0.0894270777547088	NA	"abundance"	69	69
"X2.1.1.228"	"diet"	"oat"	"dietoat"	-0.105730984356653	0.0443807892554614	0.000476126405140609	0.131105176583095	0.000476126405140609	0.0894270777547088	NA	"abundance"	69	69
"X2.1.1.33"	"diet"	"oat"	"dietoat"	-0.0655816087754684	0.0355347969601144	0.00112947570645527	0.131105176583095	0.00112947570645527	0.0894270777547088	NA	"abundance"	69	69
"X2.1.2.9"	"diet"	"oat"	"dietoat"	-0.0748662712451284	0.0343712377588441	0.000380080336433108	0.131105176583095	0.000380080336433108	0.0894270777547088	NA	"abundance"	69	69
"X2.3.1.234"	"diet"	"oat"	"dietoat"	-0.0919272257448737	0.0448676284175614	0.00132267516589168	0.131105176583095	0.00132267516589168	0.0894270777547088	NA	"abundance"	69	69
"X2.4.2.29"	"diet"	"oat"	"dietoat"	-0.0990697599771597	0.0383520483916186	0.000166305623431118	0.131105176583095	0.000166305623431118	0.0894270777547088	NA	"abundance"	69	69
"X2.7.2.11"	"diet"	"oat"	"dietoat"	-0.0688175797420016	0.0374951304988359	0.00135684200116837	0.131105176583095	0.00135684200116837	0.0894270777547088	NA	"abundance"	69	69
"X2.7.2.3"	"diet"	"oat"	"dietoat"	-0.0750775862054727	0.0398383458020502	0.00144165259926499	0.131105176583095	0.00144165259926499	0.0894270777547088	NA	"abundance"	69	69
"X2.7.4.22"	"diet"	"oat"	"dietoat"	-0.0706882492541357	0.0317363300218977	0.00026153827003661	0.131105176583095	0.00026153827003661	0.0894270777547088	NA	"abundance"	69	69
"X2.7.4.3"	"diet"	"oat"	"dietoat"	-0.0836375549425178	0.0404556173328487	0.00088037630299842	0.131105176583095	0.00088037630299842	0.0894270777547088	NA	"abundance"	69	69
"X2.7.4.9"	"diet"	"oat"	"dietoat"	-0.326438489978417	0.116259302723045	0.00125564307821113	0.131105176583095	0.00125564307821113	0.0894270777547088	NA	"abundance"	69	69
"X2.7.7.3"	"diet"	"oat"	"dietoat"	-0.0703959240876535	0.0341620734460844	0.000518732105589947	0.131105176583095	0.000518732105589947	0.0894270777547088	NA	"abundance"	69	69
"X2.7.7.72"	"diet"	"oat"	"dietoat"	-0.0672690461625959	0.0355308542775982	0.000990177564374362	0.131105176583095	0.000990177564374362	0.0894270777547088	NA	"abundance"	69	69
"X2.7.8.13"	"diet"	"oat"	"dietoat"	-0.0916483085090472	0.0377619737063175	0.000251803984348764	0.131105176583095	0.000251803984348764	0.0894270777547088	NA	"abundance"	69	69
"X2.7.9.1"	"diet"	"oat"	"dietoat"	-0.0742062172610772	0.0395930524111582	0.00145916634064969	0.131105176583095	0.00145916634064969	0.0894270777547088	NA	"abundance"	69	69
"X3.1.1.29"	"diet"	"oat"	"dietoat"	-0.0759730329789641	0.0370583095544183	0.000702524898421153	0.131105176583095	0.000702524898421153	0.0894270777547088	NA	"abundance"	69	69
"X3.1.26.3"	"diet"	"oat"	"dietoat"	-0.0849677494743944	0.0355360973695534	0.00023204341448857	0.131105176583095	0.00023204341448857	0.0894270777547088	NA	"abundance"	69	69
"X3.1.26.4"	"diet"	"oat"	"dietoat"	-0.117780829764681	0.0446330447063995	0.000225229576124253	0.131105176583095	0.000225229576124253	0.0894270777547088	NA	"abundance"	69	69
"X3.5.4.33"	"diet"	"oat"	"dietoat"	-0.075103955077205	0.0351247842485672	0.000450787033687838	0.131105176583095	0.000450787033687838	0.0894270777547088	NA	"abundance"	69	69
"X3.6.5.n1"	"diet"	"oat"	"dietoat"	-0.0688688659010466	0.0352476004682838	0.000785097223199971	0.131105176583095	0.000785097223199971	0.0894270777547088	NA	"abundance"	69	69
"X4.2.1.11"	"diet"	"oat"	"dietoat"	-0.0742873177704817	0.0385277040078951	0.00117140400354643	0.131105176583095	0.00117140400354643	0.0894270777547088	NA	"abundance"	69	69
"X4.6.1.12"	"diet"	"oat"	"dietoat"	-0.0594068071320138	0.0347367978068617	0.00150695605267925	0.131105176583095	0.00150695605267925	0.0894270777547088	NA	"abundance"	69	69
"X5.4.99.25"	"diet"	"oat"	"dietoat"	-0.0868160394669896	0.0388745078592884	0.000492972039115136	0.131105176583095	0.000492972039115136	0.0894270777547088	NA	"abundance"	69	69
"X5.99.1.3"	"diet"	"oat"	"dietoat"	-0.0797206507173678	0.0402955121368265	0.00118872333232312	0.131105176583095	0.00118872333232312	0.0894270777547088	NA	"abundance"	69	69
"X6.1.1.1"	"diet"	"oat"	"dietoat"	-0.0669833827737151	0.0343919689452451	0.000748393420521909	0.131105176583095	0.000748393420521909	0.0894270777547088	NA	"abundance"	69	69
"X6.1.1.16"	"diet"	"oat"	"dietoat"	-0.0785179839195133	0.0390282639629111	0.000924752245372806	0.131105176583095	0.000924752245372806	0.0894270777547088	NA	"abundance"	69	69
