"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY.6531..mannitol.cycle"	"duration"	"Week 6"	"durationWeek 6"	9.01050793215009	1.46069110770885	6.88708030383403e-10	4.49726343840362e-07	1.37741606029248e-09	6.23969475312495e-07	NA	"prevalence"	68	60
"PWY.5690..TCA.cycle.II..plants.and.fungi."	"duration"	"Week 6"	"durationWeek 6"	7.9843443469629	1.50580213486157	1.14298764721412e-07	3.73185466815412e-05	2.28597516378617e-07	5.17773374597568e-05	NA	"prevalence"	68	60
"ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast"	"duration"	"Week 6"	"durationWeek 6"	0.0734494822074657	0.364306419326311	0.886310650449441	1	0.935169551213098	1	NA	"abundance"	68	35
"ANAEROFRUCAT.PWY..homolactic.fermentation"	"duration"	"Week 6"	"durationWeek 6"	0.0232132758343536	0.0667589381915642	0.969660754171903	1	0.969660754171903	1	NA	"abundance"	68	68
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose."	"duration"	"Week 6"	"durationWeek 6"	0.0141352721439695	0.0263175606408741	0.862160055755366	1	0.862160055755366	1	NA	"abundance"	68	68
"ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-0.177156599676783	0.161538077639616	0.235830535180116	1	0.416045029036891	1	NA	"abundance"	68	67
"ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	0.0571046165179643	0.192247845840276	0.851074419954019	1	0.851074419954019	1	NA	"abundance"	68	68
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."	"duration"	"Week 6"	"durationWeek 6"	-0.0195339914765665	0.0392472403300209	0.396987993939366	1	0.396987993939366	1	NA	"abundance"	68	68
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."	"duration"	"Week 6"	"durationWeek 6"	-0.0209745969165002	0.0412596660812467	0.39618952089052	1	0.39618952089052	1	NA	"abundance"	68	68
"ARO.PWY..chorismate.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	-0.00283706705987604	0.0304706657326837	0.55897752496022	1	0.55897752496022	1	NA	"abundance"	68	68
"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	0.0137215469060801	0.0348286602042693	0.875847181884975	1	0.875847181884975	1	NA	"abundance"	68	68
"AST.PWY..L.arginine.degradation.II..AST.pathway."	"duration"	"Week 6"	"durationWeek 6"	-0.372517632621181	0.920682014745688	0.680730393834731	1	0.898066918579074	1	NA	"abundance"	68	17
"BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	0.0684155504325173	0.127498771877187	0.714109890837805	1	0.714109890837805	1	NA	"abundance"	68	68
"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	0.0110590822153105	0.0247858857010404	0.791618105499147	1	0.791618105499147	1	NA	"abundance"	68	68
