"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass"	"duration"	"Week 6"	"durationWeek 6"	-9.25863763201099	0.214168182192792	0	0	0	0	NA	"prevalence"	70	9
"PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle."	"duration"	"Week 6"	"durationWeek 6"	-8.5655484281568	0.994541872319172	7.1448838000425e-18	1.53376838907579e-15	1.4289767600085e-17	2.17204467521293e-15	NA	"prevalence"	70	64
"PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle."	"duration"	"Week 6"	"durationWeek 6"	-8.5655484281568	0.994541872319172	7.1448838000425e-18	1.53376838907579e-15	1.4289767600085e-17	2.17204467521293e-15	NA	"prevalence"	70	64
"PWY.7209..superpathway.of.pyrimidine.ribonucleosides.degradation"	"duration"	"Week 6"	"durationWeek 6"	-7.18858356111578	1.42195664019494	4.29451704726383e-07	6.91417244609477e-05	8.58903225024001e-07	9.79149676527361e-05	NA	"prevalence"	70	61
"PWY.6906..chitin.derivatives.degradation"	"duration"	"Week 6"	"durationWeek 6"	6.84638914785959	1.79665535392368	0.000138612985903373	0.0178533525843544	0.000277206758246885	0.0252812563521159	NA	"prevalence"	70	64
"FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli."	"duration"	"Week 6"	"durationWeek 6"	-1.02760996832582	0.240269558197335	0.000208286758587881	0.0223561120884326	0.000416530133801959	0.0271339630019562	NA	"abundance"	70	65
"PWY.622..starch.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-0.828338903261863	0.204490166373203	0.00042409682405579	0.0303464838546587	0.000848013789995406	0.0351540262034459	NA	"abundance"	70	66
"PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type"	"duration"	"Week 6"	"durationWeek 6"	-0.733262899313248	0.181898751166467	0.000414990070705318	0.0303464838546587	0.000414990070705318	0.0271339630019562	NA	"abundance"	70	70
"DARABCATK12.PWY..D.arabinose.degradation.I"	"duration"	"Week 6"	"durationWeek 6"	-8.72192803354223	2.46150742106073	0.000395111033006635	0.0303464838546587	0.000790065953284867	0.0351540262034459	NA	"prevalence"	70	11
"PWY0.1061..superpathway.of.L.alanine.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-0.955371470252637	0.242874051205332	0.000495812436347485	0.031930320900778	0.000495812436347485	0.0282613088718066	NA	"abundance"	70	70
