"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass"	"duration"	"Week 6"	"durationWeek 6"	-9.25863763201099	0.214168182192792	0	0	0	0	"prevalence"	70	9
"PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle."	"duration"	"Week 6"	"durationWeek 6"	-8.5655484281568	0.994541872319172	7.1448838000425e-18	1.53376838907579e-15	1.4289767600085e-17	2.17204467521293e-15	"prevalence"	70	64
"PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle."	"duration"	"Week 6"	"durationWeek 6"	-8.5655484281568	0.994541872319172	7.1448838000425e-18	1.53376838907579e-15	1.4289767600085e-17	2.17204467521293e-15	"prevalence"	70	64
"PWY.7209..superpathway.of.pyrimidine.ribonucleosides.degradation"	"duration"	"Week 6"	"durationWeek 6"	-7.18858356111578	1.42195664019494	4.29451704726383e-07	6.91417244609477e-05	8.58903225024001e-07	9.79149676527361e-05	"prevalence"	70	61
"PWY.6906..chitin.derivatives.degradation"	"duration"	"Week 6"	"durationWeek 6"	6.84638914785959	1.79665535392368	0.000138612985903373	0.0178533525843544	0.000277206758246885	0.0252812563521159	"prevalence"	70	64
"FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli."	"duration"	"Week 6"	"durationWeek 6"	-1.02760996832582	0.240269558197335	0.000208087261338385	0.0223346993836533	0.000416131222368439	0.0271079767714297	"abundance"	70	65
"PWY.622..starch.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-0.828338903261863	0.204490166373203	0.000422575067184876	0.03023759369634	0.000844971564682346	0.0350279121359227	"abundance"	70	66
"PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type"	"duration"	"Week 6"	"durationWeek 6"	-0.733262899313248	0.181898751166467	0.000414611419216552	0.03023759369634	0.000414611419216552	0.0271079767714297	"abundance"	70	70
"DARABCATK12.PWY..D.arabinose.degradation.I"	"duration"	"Week 6"	"durationWeek 6"	-8.72192803354223	2.46150742106073	0.000395111033006635	0.03023759369634	0.000790065953284867	0.0350279121359227	"prevalence"	70	11
"PWY0.1061..superpathway.of.L.alanine.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-0.955371470252637	0.242874051205332	0.000494744226413344	0.0318615281810194	0.000494744226413344	0.0282004209055606	"abundance"	70	70
"DAPLYSINESYN.PWY..L.lysine.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	-0.431947647014344	0.107153899686795	0.000579231499361152	0.0339113714171438	0.000579231499361152	0.029347729300965	"abundance"	70	70
"PWY.5855..ubiquinol.7.biosynthesis..early.decarboxylation."	"duration"	"Week 6"	"durationWeek 6"	-8.56305134692427	2.58143862853218	0.000909367176645428	0.0488027051466379	0.0018179074046289	0.0690804813758981	"prevalence"	70	10
"PWY.6471..peptidoglycan.biosynthesis.IV..Enterococcus.faecium."	"duration"	"Week 6"	"durationWeek 6"	8.34578175904137	2.65591949436159	0.00167607664260129	0.0830302582950176	0.0033493440522907	0.110496929899849	"prevalence"	70	9
"PWY.8131..5..deoxyadenosine.degradation.II"	"duration"	"Week 6"	"durationWeek 6"	0.272154577723879	0.0881982473698694	0.00339244960218835	0.142720550182231	0.00339244960218835	0.110496929899849	"abundance"	70	70
"KDO.NAGLIPASYN.PWY..superpathway.of..Kdo.2.lipid.A.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-8.04797248782723	2.75996460978947	0.00354585217844051	0.142720550182231	0.00707913128920967	0.189887286345859	"prevalence"	70	8
"PWY.7031..protein.N.glycosylation..bacterial."	"duration"	"Week 6"	"durationWeek 6"	8.04787843305243	2.75859341638095	0.00352980038950607	0.142720550182231	0.00704714128822238	0.189887286345859	"prevalence"	70	8
"PWY.7356..thiamine.diphosphate.salvage.IV..yeast."	"duration"	"Week 6"	"durationWeek 6"	-0.375062745093927	0.11803483146555	0.00517856843724059	0.196176357269585	0.00517856843724059	0.157428480492114	"abundance"	70	70
"PWY.5855..ubiquinol.7.biosynthesis..early.decarboxylation."	"duration"	"Week 6"	"durationWeek 6"	0.387393931929927	0.0033139429053755	0.0375290106298082	0.690533795588471	0.0018179074046289	0.0690804813758981	"abundance"	70	10
"PWY.6471..peptidoglycan.biosynthesis.IV..Enterococcus.faecium."	"duration"	"Week 6"	"durationWeek 6"	1.96819323193069	0.270756871807018	0.0831283447678814	0.720701007624302	0.0033493440522907	0.110496929899849	"abundance"	70	9
"PWY.6906..chitin.derivatives.degradation"	"duration"	"Week 6"	"durationWeek 6"	0.262944594433072	0.182670350450856	0.140536310322744	0.800932600423424	0.000277206758246885	0.0252812563521159	"abundance"	70	64
"PWY.7031..protein.N.glycosylation..bacterial."	"duration"	"Week 6"	"durationWeek 6"	0.374402701703602	0.0958263822925493	0.156797631920673	0.819562841146869	0.00704714128822238	0.189887286345859	"abundance"	70	8
"PWY.7209..superpathway.of.pyrimidine.ribonucleosides.degradation"	"duration"	"Week 6"	"durationWeek 6"	-0.388872649074645	0.286023651510844	0.203938202868576	0.837268560417717	8.58903225024001e-07	9.79149676527361e-05	"abundance"	70	61
"FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli."	"duration"	"Week 6"	"durationWeek 6"	-4.40549322803792	4.55856729228139	0.333833772188204	0.847856684702181	0.000416131222368439	0.0271079767714297	"prevalence"	70	65
"DARABCATK12.PWY..D.arabinose.degradation.I"	"duration"	"Week 6"	"durationWeek 6"	-0.0623477214912391	0.0819990778563942	0.679093635449208	1	0.000790065953284867	0.0350279121359227	"abundance"	70	11
