"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose."	"diet"	"oat"	"dietoat"	0.0619222360958704	0.0646064603134019	0.865621071341208	1	0.898650444221482	1	NA	"abundance"	69	64
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."	"diet"	"oat"	"dietoat"	-0.019385296678922	0.0324971711989421	0.978870287934932	1	0.698927575718367	1	NA	"abundance"	69	68
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."	"diet"	"oat"	"dietoat"	-0.016353250924736	0.0317763363845987	0.984737424078304	1	0.698927575718367	1	NA	"abundance"	69	68
"ARO.PWY..chorismate.biosynthesis.I"	"diet"	"oat"	"dietoat"	-0.00847193012124816	0.0352428276544263	1	1	1	1	NA	"abundance"	69	69
"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis"	"diet"	"oat"	"dietoat"	-4.25544341280928	2.78788059496022	0.14478603489414	1	0.268609073887913	1	NA	"abundance"	69	26
"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis"	"diet"	"oat"	"dietoat"	-0.74418181007501	0.726830992506615	0.380631993925345	1	0.380631993925345	1	NA	"abundance"	69	69
"CALVIN.PWY..Calvin.Benson.Bassham.cycle"	"diet"	"oat"	"dietoat"	0.638139852744411	0.96531610595783	0.53936386727687	1	0.787814353229879	1	NA	"abundance"	69	67
"COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic."	"diet"	"oat"	"dietoat"	-0.00847193012124816	0.0352428276544263	1	1	1	1	NA	"abundance"	69	69
"COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals."	"diet"	"oat"	"dietoat"	-0.00847193012124816	0.0352428276544263	1	1	1	1	NA	"abundance"	69	69
"COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I"	"diet"	"oat"	"dietoat"	3.67330038909245	2.28677406104925	0.119548688421432	1	0.224805487939579	1	NA	"abundance"	69	50
"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis"	"diet"	"oat"	"dietoat"	-0.00847389987000347	0.0352423475388243	0.999996187634565	1	0.999996187634565	1	NA	"abundance"	69	69
"DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis"	"diet"	"oat"	"dietoat"	-0.00847193012124816	0.0352428276544263	1	1	1	1	NA	"abundance"	69	69
"GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation"	"diet"	"oat"	"dietoat"	0.74261148279635	8.21933559070793	0.933026734234446	1	0.358321770235644	1	NA	"abundance"	69	5
"GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation"	"diet"	"oat"	"dietoat"	-0.0205537218723454	0.0351001733626932	0.976689722909945	1	0.629094693394126	1	NA	"abundance"	69	39
"GLUTORN.PWY..L.ornithine.biosynthesis.I"	"diet"	"oat"	"dietoat"	-0.0112333326199005	0.0310610381445412	0.994651455833565	1	0.698927575718367	1	NA	"abundance"	69	68
"GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose."	"diet"	"oat"	"dietoat"	-0.00847193012124816	0.0352428276544263	1	1	1	1	NA	"abundance"	69	69
"HISDEG.PWY..L.histidine.degradation.I"	"diet"	"oat"	"dietoat"	2.45766613651063	6.03571911206017	0.693027868294937	1	0.90576811035645	1	NA	"abundance"	69	11
"HISTSYN.PWY..L.histidine.biosynthesis"	"diet"	"oat"	"dietoat"	-0.00619407820796975	0.0356874584733627	0.99559190060879	1	0.711689768901273	1	NA	"abundance"	69	68
