"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose."	"diet"	"oat"	"dietoat"	0.869421518159433	0.540928398311524	0.202591071957835	1	0.364139001478646	1	NA	"abundance"	69	66
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."	"diet"	"oat"	"dietoat"	-0.025023159871436	0.0285147808283097	0.982014847277871	1	0.698927575718367	1	NA	"abundance"	69	68
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."	"diet"	"oat"	"dietoat"	-0.591738705048686	0.559145275127168	0.414229003496557	1	0.414229003496557	1	NA	"abundance"	69	69
"ARO.PWY..chorismate.biosynthesis.I"	"diet"	"oat"	"dietoat"	-0.0154052600914084	0.029642585687926	1	1	1	1	NA	"abundance"	69	69
"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis"	"diet"	"oat"	"dietoat"	-0.378932047546654	3.26372823391677	0.912724469218071	1	0.991204805373866	1	NA	"abundance"	69	34
"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis"	"diet"	"oat"	"dietoat"	-0.624554535895598	0.612094037089183	0.416099173072237	1	0.659059824313074	1	NA	"abundance"	69	68
"CALVIN.PWY..Calvin.Benson.Bassham.cycle"	"diet"	"oat"	"dietoat"	-0.577542832558945	0.560934091911821	0.426763454547674	1	0.671399862957884	1	NA	"abundance"	69	67
"COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic."	"diet"	"oat"	"dietoat"	-0.0154052600914084	0.029642585687926	1	1	1	1	NA	"abundance"	69	69
"COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals."	"diet"	"oat"	"dietoat"	-0.0154052600914084	0.029642585687926	1	1	1	1	NA	"abundance"	69	69
"COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I"	"diet"	"oat"	"dietoat"	0.270788283850192	2.00413067659774	0.889418811835607	1	0.131949618786462	1	NA	"abundance"	69	52
"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis"	"diet"	"oat"	"dietoat"	-0.0154052600914084	0.029642585687926	1	1	1	1	NA	"abundance"	69	69
"DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis"	"diet"	"oat"	"dietoat"	-0.0154052600914084	0.029642585687926	1	1	1	1	NA	"abundance"	69	69
"GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation"	"diet"	"oat"	"dietoat"	-10.7567935483836	8.99989268532994	0.318886573752826	1	0.536084500585835	1	NA	"abundance"	69	5
"GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation"	"diet"	"oat"	"dietoat"	1.62556912150285	1.38288813777061	0.264181370077319	1	0.338135153684784	1	NA	"abundance"	69	37
"GLUTORN.PWY..L.ornithine.biosynthesis.I"	"diet"	"oat"	"dietoat"	-0.0250205798178984	0.0285136253077213	0.982019343434295	1	0.698927575718367	1	NA	"abundance"	69	68
"GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose."	"diet"	"oat"	"dietoat"	-0.0154052600914084	0.029642585687926	1	1	1	1	NA	"abundance"	69	69
"HISDEG.PWY..L.histidine.degradation.I"	"diet"	"oat"	"dietoat"	-1.33408699022335	9.39676344002871	0.89397478803113	1	0.891985859135339	1	NA	"abundance"	69	7
"HISTSYN.PWY..L.histidine.biosynthesis"	"diet"	"oat"	"dietoat"	-0.00871984745233889	0.0299300118761749	0.987499951875257	1	0.987499951875257	1	NA	"abundance"	69	69
"HSERMETANA.PWY..L.methionine.biosynthesis.III"	"diet"	"oat"	"dietoat"	-1.60823497572646	1.40897446541613	0.283226287100413	1	0.48623544449614	1	NA	"abundance"	69	62
"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine."	"diet"	"oat"	"dietoat"	-0.624554535895598	0.612094037089183	0.416129250062397	1	0.659094947367301	1	NA	"abundance"	69	68
"LACTOSECAT.PWY..lactose.and.galactose.degradation.I"	"diet"	"oat"	"dietoat"	-2.95324167166722	3.56273406461803	0.458810484271452	1	0.253008912493835	1	NA	"abundance"	69	6
"NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I"	"diet"	"oat"	"dietoat"	-0.0154052600914084	0.029642585687926	1	1	1	1	NA	"abundance"	69	69
"NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I"	"diet"	"oat"	"dietoat"	-0.599586564299825	0.608404071409948	0.433532385599977	1	0.679114441835947	1	NA	"abundance"	69	67
"OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli."	"diet"	"oat"	"dietoat"	1.11615339792194	2.83676333359906	0.696026250688219	1	0.0825279513341389	1	NA	"abundance"	69	31
"P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I"	"diet"	"oat"	"dietoat"	-0.321589033556146	0.280332064111782	0.549178664637161	1	0.796760123581666	1	NA	"abundance"	69	60
"PANTO.PWY..phosphopantothenate.biosynthesis.I"	"diet"	"oat"	"dietoat"	0.351132412391882	0.366691132864868	0.515304950348225	1	0.515304950348225	1	NA	"abundance"	69	69
"PANTOSYN.PWY..superpathway.of.coenzyme.A.biosynthesis.I..bacteria."	"diet"	"oat"	"dietoat"	0.29742217125153	0.333216369798605	0.56365995635316	1	0.56365995635316	1	NA	"abundance"	69	69
"PENTOSE.P.PWY..pentose.phosphate.pathway"	"diet"	"oat"	"dietoat"	11.1700300575131	12.9946590117945	0.452865850211263	1	0.700644222134956	1	NA	"abundance"	69	5
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."	"diet"	"oat"	"dietoat"	-0.0154052600914084	0.029642585687926	1	1	1	1	NA	"abundance"	69	69
"PWY.1042..glycolysis.IV"	"diet"	"oat"	"dietoat"	-0.0154052600914084	0.029642585687926	1	1	1	1	NA	"abundance"	69	69
"PWY.2942..L.lysine.biosynthesis.III"	"diet"	"oat"	"dietoat"	2.70536176141998	1.39766139474791	0.0669890124539444	1	0.129490497118334	1	NA	"abundance"	69	67
"PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I"	"diet"	"oat"	"dietoat"	1.3126924387227	2.14347059545166	0.546023246465704	1	0.43960647142332	1	NA	"abundance"	69	51
"PWY.3841..folate.transformations.II..plants."	"diet"	"oat"	"dietoat"	-0.0154052600914084	0.029642585687926	1	1	1	1	NA	"abundance"	69	69
"PWY.5097..L.lysine.biosynthesis.VI"	"diet"	"oat"	"dietoat"	-0.0154052600914084	0.029642585687926	1	1	1	1	NA	"abundance"	69	69
"PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II"	"diet"	"oat"	"dietoat"	-0.321589033556146	0.280332064111782	0.549225061407412	1	0.796801954736849	1	NA	"abundance"	69	60
"PWY.5103..L.isoleucine.biosynthesis.III"	"diet"	"oat"	"dietoat"	-0.64449457496337	0.632012425350737	0.411316592616344	1	0.653451845871168	1	NA	"abundance"	69	68
"PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline."	"diet"	"oat"	"dietoat"	8.40192056213969	8.27147996286295	0.3486814865296	1	0.575784194010708	1	NA	"abundance"	69	8
