"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose."	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-12.1174199748974	0.339538496916668	6.08803255182832e-279	3.31188970819461e-276	1.21760651036566e-278	4.34685524200541e-276	NA	"prevalence"	138	130
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose."	"diet"	"oat"	"dietoat"	12.080139328539	0.341265512593099	1.82853013428955e-274	4.97360196526759e-272	3.65706026857884e-274	6.52785257941323e-272	NA	"prevalence"	138	130
"PYRIDNUCSYN.PWY..NAD.de.novo.biosynthesis.I..from.aspartate."	"diet"	"oat"	"dietoat"	7.68744212185371	1.85779708298267	3.50446804528008e-05	0.00635476872210788	7.00881327759736e-05	0.00834048780034086	NA	"prevalence"	138	130
"PYRIDNUCSYN.PWY..NAD.de.novo.biosynthesis.I..from.aspartate."	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-7.79349851501199	2.30543709833555	0.000723576835045072	0.0984064495661299	0.00144663010665393	0.129111737018863	NA	"prevalence"	138	130
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose."	"diet"	"oat"	"dietoat"	0.869421518159428	0.388094677580424	0.15565020323738	1	3.65706026857884e-274	6.52785257941323e-272	NA	"abundance"	138	130
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose."	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-0.807499282063552	0.552991070050617	0.292343156988145	1	1.21760651036566e-278	4.34685524200541e-276	NA	"abundance"	138	130
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose."	"duration"	"Week 6"	"durationWeek 6"	0.804342929988092	0.393931015267233	0.153135566694992	1	0.282820631602987	1	NA	"abundance"	138	130
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."	"diet"	"oat"	"dietoat"	-0.0234700536636891	0.0305877785874353	0.986729182150716	1	0.722738992516399	1	NA	"abundance"	138	136
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	0.00606443882092606	0.0369464282844473	0.998715590215683	1	0.999998350291506	1	NA	"abundance"	138	136
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."	"duration"	"Week 6"	"durationWeek 6"	-0.00505215407264846	0.025682635348876	0.995266754651581	1	0.999977596388472	1	NA	"abundance"	138	136
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."	"diet"	"oat"	"dietoat"	-0.591738705048676	0.39748025985114	0.358403500105705	1	0.58835393132339	1	NA	"abundance"	138	137
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	0.575385454123942	0.564277948320386	0.466383203358773	1	0.715253114342355	1	NA	"abundance"	138	137
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."	"duration"	"Week 6"	"durationWeek 6"	-0.00807075572211531	0.394589455959423	0.992338612660228	1	0.99994130314403	1	NA	"abundance"	138	137
"ARO.PWY..chorismate.biosynthesis.I"	"diet"	"oat"	"dietoat"	-0.0154052600914169	0.0325633212963245	1	1	1	1	NA	"abundance"	138	138
"ARO.PWY..chorismate.biosynthesis.I"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	0.00693332997015851	0.0362626954392135	1	1	1	1	NA	"abundance"	138	138
"ARO.PWY..chorismate.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	-0.00266405343228208	0.0254551110262022	1	1	1	1	NA	"abundance"	138	138
"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis"	"diet"	"oat"	"dietoat"	-0.389545165514452	2.93565085950956	0.900352860592889	1	0.99007044760798	1	NA	"abundance"	138	60
"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-3.60903695972476	4.28250308756734	0.410827566950141	1	0.65287584413411	1	NA	"abundance"	138	60
"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	5.36139530860771	3.08931204961628	0.0992989782967346	1	0.188737669502694	1	NA	"abundance"	138	60
"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis"	"diet"	"oat"	"dietoat"	-0.624554535895592	0.675207863010689	0.464105850541519	1	0.712817460576172	1	NA	"abundance"	138	137
"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-0.119627274179418	0.951471690891335	0.907870069993201	1	0.991512075996942	1	NA	"abundance"	138	137
"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-0.00506957327281417	0.670367600869966	0.997546120770121	1	0.996953732221362	1	NA	"abundance"	138	137
"CALVIN.PWY..Calvin.Benson.Bassham.cycle"	"diet"	"oat"	"dietoat"	0.279116062299748	1.0391918168751	0.797853596992657	1	0.959136831751193	1	NA	"abundance"	138	134
"CALVIN.PWY..Calvin.Benson.Bassham.cycle"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-0.190235550282368	0.336575380138562	0.756460305193646	1	0.940688417053628	1	NA	"abundance"	138	134
"CALVIN.PWY..Calvin.Benson.Bassham.cycle"	"duration"	"Week 6"	"durationWeek 6"	-0.114063567757284	0.236159721909546	0.81127063710415	1	0.964381227580927	1	NA	"abundance"	138	134
"COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic."	"diet"	"oat"	"dietoat"	-0.0154052600914169	0.0325633212963245	1	1	1	1	NA	"abundance"	138	138
