"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	NA	"prevalence"	70	5
"PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	NA	"prevalence"	70	5
"PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	NA	"prevalence"	70	5
"PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	NA	"prevalence"	70	5
"PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	NA	"prevalence"	70	5
"PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	NA	"prevalence"	70	5
"PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	NA	"prevalence"	70	5
"PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	NA	"prevalence"	70	5
"PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	NA	"prevalence"	70	5
"PWY.5941..glycogen.degradation.II"	"duration"	"Week 6"	"durationWeek 6"	-6.06092639270782	2.66344589252363	0.0228702105618551	0.343053158427826	0.0452173745925665	0.474782433221949	NA	"prevalence"	70	67
"PWY.6317..D.galactose.degradation.I..Leloir.pathway."	"duration"	"Week 6"	"durationWeek 6"	-6.06092639270782	2.66344589252363	0.0228702105618551	0.343053158427826	0.0452173745925665	0.474782433221949	NA	"prevalence"	70	67
"PWY.7237..myo...chiro..and.scyllo.inositol.degradation"	"duration"	"Week 6"	"durationWeek 6"	6.06108148702793	2.62249451017224	0.0208223961617238	0.343053158427826	0.0412112201415319	0.474782433221949	NA	"prevalence"	70	67
"PWY.702..L.methionine.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	-4.26273843612236	2.064085067804	0.0389045408516111	0.538678257945385	0.0762955184043476	0.739479639919062	NA	"prevalence"	70	13
"PWY.2942..L.lysine.biosynthesis.III"	"duration"	"Week 6"	"durationWeek 6"	2.64613784827501	1.35098259914568	0.0648022607587309	0.833171924040826	0.125405188518019	1	NA	"abundance"	70	68
"PWY.7328..superpathway.of.UDP.glucose.derived.O.antigen.building.blocks.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-5.47352171250606	2.29942199676792	0.0774893832026382	0.929872598431659	0.148974161896151	1	NA	"abundance"	70	18
"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	5.16131835693404	2.50533536459211	0.0889023582244675	0.959520717699007	0.169901087151063	1	NA	"abundance"	70	29
"OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli."	"duration"	"Week 6"	"durationWeek 6"	-1.30063896197488	0.795747701343928	0.102156715750025	0.959520717699007	0.193877436927219	1	NA	"prevalence"	70	35
"PWY.6703..preQ0.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	3.28732628266382	2.03725752239791	0.106613413077667	0.959520717699007	0.201860406307265	1	NA	"prevalence"	70	56
"RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants."	"duration"	"Week 6"	"durationWeek 6"	-3.28711682753549	2.02971126280459	0.105339786078239	0.959520717699007	0.19958310162547	1	NA	"prevalence"	70	56
"UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	-1.30063896197488	0.795747701343928	0.102156715750025	0.959520717699007	0.193877436927219	1	NA	"prevalence"	70	35
