"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	"prevalence"	70	5
"PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	"prevalence"	70	5
"PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	"prevalence"	70	5
"PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	"prevalence"	70	5
"PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	"prevalence"	70	5
"PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	"prevalence"	70	5
"PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	"prevalence"	70	5
"PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	"prevalence"	70	5
"PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	8.02888240629982	0.656056212346768	1.94530085528e-34	3.89060171056001e-33	1.94530085528e-34	2.72342119739201e-33	"prevalence"	70	5
"PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	12.7804545055481	7.27127965992097	0.0847892755207779	NA	1.94530085528e-34	2.72342119739201e-33	"abundance"	70	5
"PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	12.335603300002	6.98011434745907	0.0837218539125252	NA	1.94530085528e-34	2.72342119739201e-33	"abundance"	70	5
"PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation"	"duration"	"Week 6"	"durationWeek 6"	13.2306509834172	7.63303196758251	0.088521194344449	NA	1.94530085528e-34	2.72342119739201e-33	"abundance"	70	5
"PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage"	"duration"	"Week 6"	"durationWeek 6"	12.9568001323781	7.35066456945857	0.0837981601416856	NA	1.94530085528e-34	2.72342119739201e-33	"abundance"	70	5
"PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	13.2549115984583	7.54954195697596	0.0846841408471887	NA	1.94530085528e-34	2.72342119739201e-33	"abundance"	70	5
"PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	13.2549115984583	7.54954195697596	0.0846841408471887	NA	1.94530085528e-34	2.72342119739201e-33	"abundance"	70	5
"PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	12.5344336015792	7.02268030203336	0.0807068746843994	NA	1.94530085528e-34	2.72342119739201e-33	"abundance"	70	5
"PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	11.6818243649666	6.6815158650738	0.0876659101126813	NA	1.94530085528e-34	2.72342119739201e-33	"abundance"	70	5
"PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	11.8394800620141	6.77264293630996	0.0874758517173547	NA	1.94530085528e-34	2.72342119739201e-33	"abundance"	70	5
