feature	Bifidobacterium_adolescentis	Bifidobacterium_angulatum	Bifidobacterium_animalis	Bifidobacterium_bifidum	Bifidobacterium_catenulatum	Bifidobacterium_dentium	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bifidobacterium_pullorum
AE1332	0.829626413633653	NA	NA	NA	NA	NA	0.169885026206493	NA	0.000488560159854373
AK1371	NA	NA	NA	NA	NA	NA	1	NA	NA
AM1310	0.389930914256198	NA	0.0880089962121212	NA	NA	NA	0.52206008953168	NA	NA
AP1348	0.486492350090162	NA	0.00259299185410902	NA	0.268285232791544	NA	0.242629425264185	NA	NA
AT1302	0.277678030022924	NA	NA	NA	NA	NA	0.325735413739555	0.396586556237521	NA
EH1307	0.922772277227723	NA	NA	NA	NA	NA	0.0772277227722772	NA	NA
EP1341	0.56853014466976	NA	0.0408896794019495	0.0737472373623084	0.00541873222446266	NA	0.311414206341519	NA	NA
HP1337	0.272838601232267	NA	NA	NA	0.180412659442624	NA	0.302591411808689	0.244157327516419	NA
JE1361	0.597561214060348	0.125652579656046	NA	0.00232680087099498	NA	NA	0.274459405412612	NA	NA
JH1373	NA	NA	NA	NA	NA	NA	0.408728320667175	0.591271679332825	NA
JL1316	0.173883272243928	NA	0.016064499671057	NA	NA	NA	0.810052228085015	NA	NA
JM1360	0.60729943882227	0.0406186440911205	NA	0.0711517766958494	NA	NA	0.28093014039076	NA	NA
JP1303	0.398870409222571	NA	0.08009495531728	0.430485883745073	0.0383886634385731	NA	0.0521600882765029	NA	NA
JS1364	0.359354082007416	NA	0.00237116420608311	0.277045404155715	NA	NA	0.361229349630786	NA	NA
JV1357	0.295292318150918	NA	0.312355540448674	NA	NA	NA	0.392352141400408	NA	NA
KH1326	0.6352396856791	NA	0.0265947947264886	NA	NA	NA	0.286563261345886	0.0516022582485246	NA
KK1376	NA	NA	NA	NA	NA	NA	0.464262655776057	0.535737344223943	NA
KL1367	0.0228877009669038	NA	0.0568485318658052	NA	NA	NA	0.201647736685374	0.718616030481917	NA
LK1306	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK1353	0.89199472988523	NA	NA	NA	NA	NA	0.10800527011477	NA	NA
ML1319	0.228954754976438	NA	0.00672108773465867	NA	NA	NA	0.764324157288904	NA	NA
ML1375	0.941000463966822	NA	0.00195371062989019	NA	NA	NA	0.0570458254032882	NA	NA
MM1317	0.725680276354753	NA	0.0191500983110233	0.107868718096109	NA	NA	0.147300907238115	NA	NA
MM1328	0.608275255313276	NA	0.0134686378691692	NA	NA	NA	0.378256106817555	NA	NA
MR1334	0.580294107106593	NA	NA	NA	NA	NA	0.344892945172478	0.0748129477209288	NA
MS1330	0.477290152244467	NA	0.194239959416848	NA	NA	NA	0.328469888338685	NA	NA
MV1301	NA	NA	0.0376600357093094	NA	0.444451285308309	NA	0.517888678982382	NA	NA
PH1308	0.931919925937199	NA	NA	NA	NA	NA	0.0680800740628012	NA	NA
PK1324	0.453053143664037	NA	NA	0.340383070572806	NA	0.0054722476976196	0.088142228151042	0.112949309914495	NA
RA1309	0.84183377954772	NA	NA	NA	NA	NA	0.15816622045228	NA	NA
RS1345	NA	NA	NA	NA	NA	0.0108172882942496	0.98918271170575	NA	NA
SO1346	NA	0.217698637761989	0.00971892785178045	0.271004936510919	0.166912090166995	NA	0.22291581987042	0.111749587837896	NA
TJ1356	0.621626781938513	NA	NA	NA	NA	NA	0.378373218061487	NA	NA
TK1342	NA	NA	NA	NA	NA	NA	0.459245024240878	0.540754975759122	NA
TL1338	0.830304295037183	NA	0.00318950144179693	NA	NA	NA	0.16650620352102	NA	NA
AE2332	0.871509253972535	NA	NA	NA	NA	NA	0.128490746027465	NA	NA
