feature	Bifidobacterium_adolescentis	Bifidobacterium_angulatum	Bifidobacterium_animalis	Bifidobacterium_bifidum	Bifidobacterium_catenulatum	Bifidobacterium_dentium	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum
AE1332	-0.269466267501346	NA	NA	NA	NA	NA	-2.5573693969835	NA
AK1371	NA	NA	NA	NA	NA	NA	0	NA
AM1310	-1.35870955678147	NA	-3.50620518730603	NA	NA	NA	-0.937712223187836	NA
AP1348	-1.03951097554132	NA	-8.59116661069416	NA	-1.8981604482827	NA	-2.04317356871412	NA
AT1302	-1.84851505972139	NA	NA	NA	NA	NA	-1.61822751777242	-1.33429232195548
EH1307	-0.115953432984877	NA	NA	NA	NA	NA	-3.69473735877691	NA
EP1341	-0.814691249001857	NA	-4.61211943840545	-3.76126718405152	-7.52782892891753	NA	-1.68309333495672	NA
HP1337	-1.87388032344801	NA	NA	NA	-2.47062751974028	NA	-1.72455705352188	-2.03411701888632
JE1361	-0.7428415848103	-2.99248780473699	NA	-8.74743653533721	NA	NA	-1.86533531520459	NA
JH1373	NA	NA	NA	NA	NA	NA	-1.2907858841431	-0.758106918181527
JL1316	-2.52380894436768	NA	-5.95998014101179	NA	NA	NA	-0.303913166186241	NA
JM1360	-0.719520058827488	-4.62171410857655	NA	-3.81295640774836	NA	NA	-1.83171667847012	NA
JP1303	-1.32600799590786	NA	-3.64214481066052	-1.2159621645472	-4.7031758584023	NA	-4.2609098785653	NA
JS1364	-1.47652202074295	NA	-8.72018870994895	-1.85180566019292	NA	NA	-1.46901297934825	NA
JV1357	-1.7597842687566	NA	-1.67873897475843	NA	NA	NA	-1.34977902064712	NA
KH1326	-0.654627049308326	NA	-5.23271228830183	NA	NA	NA	-1.80307443319917	-4.27642198667158
KK1376	NA	NA	NA	NA	NA	NA	-1.1069868563982	-0.900402230510066
KL1367	-5.44928363602158	NA	-4.1367330983049	NA	NA	NA	-2.310090882008	-0.476706976359407
LK1306	NA	NA	NA	NA	NA	NA	NA	NA
MK1353	-0.164892908498402	NA	NA	NA	NA	NA	-3.21082638450841	NA
