"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Ruminococcaceae"	"duration"	"Week 6"	"durationWeek 6"	-1.72545286341003	0.250639495612714	7.75023180673205e-09	3.05359133185243e-06	7.75023180673205e-09	1.65079937483393e-06	NA	"abundance"	138	120
"Bifidobacteriaceae"	"duration"	"Week 6"	"durationWeek 6"	-1.03703002928581	0.299833017747076	0.000442694836196241	0.0750516322044294	0.000885193693674488	0.0811240100883169	NA	"abundance"	138	128
"FGB12107"	"diet"	"oat"	"dietoat"	-15.9789681133525	4.63856182508022	0.000571459128460122	0.0750516322044294	0.00114259169138474	0.0811240100883169	NA	"prevalence"	138	70
"Ruminococcaceae"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	1.10459429934274	0.360517320147309	0.00156321218084671	0.153976399813401	0.00156321218084671	0.0832410486300872	NA	"abundance"	138	120
"FGB12107"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-1.70506034741336	0.468352262694541	0.00364144964467927	0.272296813703408	0.00364144964467927	0.147206145479254	NA	"abundance"	138	70
"FGB12107"	"duration"	"Week 6"	"durationWeek 6"	1.18175014615374	0.296211979481652	0.00414665198533109	0.272296813703408	0.00414665198533109	0.147206145479254	NA	"abundance"	138	70
"Bifidobacteriaceae"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	1.10123460190923	0.440544782527469	0.00744669230331642	0.419142395358096	0.0148379313803726	0.359913549387836	NA	"abundance"	138	128
"FGB10477"	"duration"	"Week 6"	"durationWeek 6"	-1.56620648147345	0.616988731116483	0.0102112967900579	0.432500126217628	0.0203183229979812	0.432780279857	NA	"abundance"	138	59
"FGB12107"	"diet"	"oat"	"dietoat"	1.44891441996751	0.46998807862383	0.00949650035665409	0.432500126217628	0.00114259169138474	0.0811240100883169	NA	"abundance"	138	70
"FGB76763"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-1.6932914827651	0.554015785257218	0.0131838322743926	0.432500126217628	0.0131838322743926	0.359913549387836	NA	"abundance"	138	56
"FGB76763"	"duration"	"Week 6"	"durationWeek 6"	1.21594932789843	0.377498125543324	0.0152076147628663	0.432500126217628	0.0152076147628663	0.359913549387836	NA	"abundance"	138	56
"Firmicutes_unclassified"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-1.28804645226361	0.415687271039367	0.0141145788903238	0.432500126217628	0.0280299364433965	0.497531371870287	NA	"abundance"	138	122
"FGB72924"	"duration"	"Week 6"	"durationWeek 6"	2.16803429940003	0.894555593613546	0.0153680247894589	0.432500126217628	0.0304998733929883	0.499728694823578	NA	"prevalence"	138	56
"FGB9119"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	7.83872997264911	3.18529964208048	0.0138585825237185	0.432500126217628	0.0275251047378703	0.497531371870287	NA	"prevalence"	138	20
"FGB4881"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-1.80677302502823	0.665880083060296	0.021166404169919	0.555970882863205	0.0418847916743536	0.637247187616951	NA	"abundance"	138	87
"FGB72924"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-2.72912864197679	1.20382845875727	0.0233877126411047	0.575922423787203	0.0462284401796265	0.656443850550696	NA	"prevalence"	138	56
"FGB4806"	"duration"	"Week 6"	"durationWeek 6"	-4.40005287831139	1.44757897313594	0.0258207951791895	0.598434900035333	0.0509748768946934	0.678603048660606	NA	"abundance"	138	18
