feature	Acidaminococcaceae	Aeromonadaceae	Akkermansiaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Clostridia_unclassified	Clostridiaceae	Clostridiales_unclassified	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales_Family_XIII_Incertae_Sedis	Eubacteriales_unclassified	FGB10477	FGB12107	FGB1227	FGB1249	FGB1292	FGB13104	FGB1354	FGB1473	FGB14936	FGB1670	FGB2982	FGB2992	FGB3048	FGB3068	FGB3069	FGB31455	FGB3529	FGB38642	FGB4405	FGB4806	FGB4881	FGB72924	FGB75721	FGB76185	FGB76352	FGB76465	FGB76763	FGB76783	Firmicutes_unclassified	Lachnospiraceae	Lactobacillaceae	Methanobacteriaceae	Odoribacteraceae	Oscillospiraceae	Peptostreptococcaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	Sanguibacteraceae	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Turicibacteraceae	Veillonellaceae	Other
AE1332	NA	3.01000060200012e-05	0.0122882024576405	NA	0.109433221886644	0.0118010023602005	0.191174038234808	0.00180750036150007	0.0099684019936804	0.00100540020108004	NA	0.0592833118566624	0.00075470015094003	0.00383880076776015	NA	2.05000041000008e-05	0.0165424033084807	1.80000036000007e-06	0.0023982004796401	0.00356220071244014	NA	0.0024652004930401	6.40000128000026e-05	NA	0.000646900129380026	7.18000143600029e-05	NA	NA	NA	NA	NA	NA	NA	0.000914600182920036	8.20000164000033e-05	NA	NA	4.00000080000016e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.391518478303696	0.000112900022580004	NA	0.00404490080898016	0.0387759077551816	0.00184540036908007	0.0427429085485817	NA	0.0349058069811614	NA	0.00295030059006012	NA	4.01000080200016e-05	0.00205390041078008	0.00227520045504009	0.0147336029467206	NA	0.0190727038145408	0.0167696033539207
AE2332	NA	NA	NA	NA	0.0717887712844915	0.00569779772088091	0.0856442657422937	0.00141189943524023	0.0309000876399649	0.000728099708760116	NA	0.0505742797702881	0.00343709862516055	0.00705819717672113	NA	5.88999764400094e-05	0.0193659922536031	NA	0.00146659941336023	0.0319195872321651	NA	0.0108250956699617	NA	NA	0.00043939982424007	4.59999816000074e-06	NA	NA	NA	NA	NA	NA	NA	0.00167139933144027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.441367023453191	0.000891799643280142	NA	0.00166169933532027	0.0807979676808129	0.00142749942900023	0.0182070927171629	NA	0.0197382921046831	NA	0.00205269917892033	NA	1.43999942400023e-05	0.0480355807857677	0.00482979806808077	0.0107419957032017	0.000984199606320157	0.0279238888304445	0.0183339926664029
AH1343	NA	NA	0.023954	NA	0.0798905	NA	NA	0.0227185	0.0551663	0.0022397	NA	0.0324254	NA	0.0027805	NA	NA	0.0054578	0.0050759	0.0010327	0.0129362	NA	0.0091313	0.0003099	1.05e-05	0.0005284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0008272	NA	NA	NA	7.34e-05	NA	NA	NA	0.0022405	0.5075546	2.81e-05	NA	0.0019383	0.0799753	NA	0.0059331	NA	0.025498	0.0447545	NA	0.0037649	NA	0.0016341	0.0045469	0.0070761	NA	0.0300315	0.0304659
AH2343	NA	NA	0.0346065173032587	NA	0.0388074194037097	NA	NA	0.0142805071402536	0.04004392002196	0.00170440085220043	NA	0.0420018210009105	NA	0.00468950234475117	NA	NA	0.0134453067226534	0.00496950248475124	0.00226440113220057	0.0133207066603533	NA	0.0106876053438027	0.000851700425850213	3.70000185000093e-05	0.000537000268500134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00109680054840027	NA	NA	NA	0.00031830015915008	NA	NA	NA	0.00524270262135131	0.537929168964585	NA	NA	0.00048140024070012	0.0744516372258186	NA	0.00192280096140048	NA	0.0215833107916554	0.0375101187550594	NA	0.0111769055884528	NA	0.00183320091660046	0.00409240204620102	0.00125280062640031	NA	0.0605101302550651	0.0183510091755046
AK1351	0.0172503913748043	NA	NA	NA	0.19799710100145	0.00995239502380249	0.012132993933503	0.000986599506700247	0.0428334785832607	0.000714999642500179	NA	0.0188299905850047	0.00338519830740085	0.012156893921553	0.000277999861000069	NA	0.0555887722056139	0.0250323874838063	0.00211499894250053	0.00941579529210235	NA	0.00615039692480154	NA	2.86999856500072e-05	0.000685999657000171	NA	NA	NA	NA	0.000172799913600043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000270499864750068	0.417328791335604	0.000705699647150176	NA	0.00349549825225087	0.0770270614864693	0.0227932886033557	NA	NA	0.00669119665440167	NA	NA	NA	NA	0.0105246947376526	0.00192889903555048	0.0223872888063556	NA	9.91999504000248e-05	0.0210399894800053
AK1371	0.00388089961191004	0.00218409978159002	0.0668891933110807	NA	0.0333389966661003	0.0115900988409901	0.0108099989190001	0.00773529922647008	0.0203598979640102	0.000864999913500009	NA	0.0265304973469503	0.00094889990511001	0.0169331983066802	0.000599199940080006	0.00460649953935005	0.0162960983703902	0.0114848988515101	0.00157379984262002	0.0283465971653403	0.0195966980403302	NA	0.000194099980590002	0.00183459981654002	7.28999927100007e-05	0.000546099945390005	0.0098050990194901	NA	NA	0.000369799963020004	0.00607789939221006	NA	NA	0.00139629986037001	0.00161419983858002	0.00352889964711004	NA	0.00316869968313003	NA	NA	NA	NA	0.00503379949662005	NA	0.00708639929136007	NA	0.000309299969070003	0.000661299933870007	0.00176949982305002	0.282800571719943	0.0125708987429101	0.0160843983915602	0.00301249969875003	0.176932782306722	0.0252696974730303	0.000877299912270009	0.00283839971616003	0.0486690951330905	0.0212023978797602	NA	0.000408799959120004	3.69999963000004e-06	0.00287059971294003	0.000475799952420005	0.00399029960097004	0.000458999954100005	NA	0.0734949926505007
AK2351	0.011868394065803	NA	NA	NA	0.215981292009354	0.0112313943843028	0.00950809524595238	0.00185439907280046	0.0485842757078622	0.00292849853575073	7.69999615000193e-05	0.0123147938426031	0.00260169869915065	0.0113127943436028	0.000167899916050042	NA	0.0272655863672068	0.0171239914380043	0.00135229932385034	0.0108715945642027	NA	0.00648739675630162	NA	8.4099957950021e-05	0.00111679944160028	NA	NA	NA	NA	0.0133068933465533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00250269874865063	0.396714201642899	0.000408899795550102	NA	0.00567139716430142	0.134629132685434	0.0133542933228533	NA	NA	0.00482119758940121	NA	NA	NA	2.20999889500055e-05	0.000522899738550131	0.00145279927360036	0.0208417895791052	7.76999611500194e-05	6.82999658500171e-05	0.0128733935633032
AK2371	0.00391889686488251	0.00264249788600169	0.0379860696111443	NA	0.0318481745214604	0.0155270875783299	0.00793749365000508	0.00888049289560568	0.0325694739444208	0.00166419866864107	NA	0.0307711753830597	0.00175359859712112	0.0263265789387368	2.39999808000154e-06	0.00367339706128235	0.0184265852587318	0.00753279397376482	0.00231839814528148	0.0264648788280969	0.0184668852264918	NA	0.000646999482400414	0.00387959689632248	0.000766899386480491	0.000457199634240293	0.0104591916326467	NA	NA	0.00207869833704133	0.0018784984972012	NA	NA	0.00247369802104158	0.0034365972507222	0.00806989354408517	NA	0.00174499860400112	NA	NA	NA	1.97999841600127e-05	0.00356249715000228	NA	0.0115532907573674	NA	0.000363299709360233	0.00107609913912069	0.00466549626760299	0.230518115585507	0.0229204816636147	0.0294555764355389	0.00273819780944175	0.177911457670834	0.0273637781089775	0.00243879804896156	0.00158829872936102	0.0668590465127628	0.00384959692032246	NA	0.000514699588240329	NA	0.00220819823344141	0.000284399772480182	0.00550819559344353	6.27999497600402e-05	NA	0.0899345280523776
AM1310	0.00659559868088026	0.000556699888660022	0.0156198968760206	NA	0.146969570606086	NA	0.0185855962828807	0.00594159881168024	0.0597733880453224	0.00192589961482008	1.71999965600007e-05	0.0176940964611807	0.000552299889540022	0.0131936973612605	0.00221179955764009	0.00476379904724019	0.00401999919600016	0.0155788968842206	0.00215559956888009	0.0310566937886612	0.00439899912020018	NA	0.00050779989844002	0.00198869960226008	NA	NA	NA	NA	NA	0.00209869958026008	0.00135559972888005	0.00423409915318017	0.00049059990188002	0.00301649939670012	0.00415759916848017	NA	NA	0.00194239961152008	NA	NA	0.00139209972158006	NA	0.000127499974500005	NA	NA	NA	0.00515659896868021	0.000145999970800006	0.00267719946456011	0.226457054708589	0.0144416971116606	0.00383249923350015	0.00305229938954012	0.214604857079029	0.0107606978478604	NA	NA	0.075743184851363	0.024970295005941	NA	NA	NA	0.0154357969128406	0.000972999805400039	0.00972319805536039	0.000605999878800024	2.09999958000008e-06	0.0184945963010807
AM1314	0.0080525	3.29e-05	NA	1.46e-05	0.0826984	0.0021519	0.000154	0.0036928	0.05527	0.0024112	NA	0.0193079	0.0048387	0.0475118	0.0002155	NA	0.0171584	0.000926	0.0160012	0.0166383	NA	NA	0.005083	0.0001416	NA	NA	NA	NA	NA	NA	NA	NA	0.0037205	NA	NA	NA	NA	0.0013831	NA	NA	0.0002811	NA	NA	NA	NA	NA	NA	NA	NA	0.5128087	0.0066519	NA	0.0027838	0.1264272	0.0002553	5.76e-05	NA	0.0292336	NA	NA	NA	5.09e-05	0.0086084	8.79e-05	0.0074231	NA	NA	0.0179262
