feature	Acidaminococcaceae	Aeromonadaceae	Akkermansiaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Clostridia_unclassified	Clostridiaceae	Clostridiales_unclassified	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales_Family_XIII_Incertae_Sedis	Eubacteriales_unclassified	FGB10477	FGB12107	FGB1227	FGB1249	FGB1292	FGB13104	FGB1354	FGB1473	FGB14936	FGB1670	FGB2982	FGB2992	FGB3048	FGB3068	FGB3069	FGB31455	FGB3529	FGB38642	FGB4405	FGB4806	FGB4881	FGB72924	FGB75721	FGB76185	FGB76352	FGB76465	FGB76763	FGB76783	Firmicutes_unclassified	Lachnospiraceae	Lactobacillaceae	Methanobacteriaceae	Odoribacteraceae	Oscillospiraceae	Peptostreptococcaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	Sanguibacteraceae	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Turicibacteraceae	Veillonellaceae	Other
AE1332	NA	-15.0198766989128	-6.34658229889047	NA	-3.19187731493613	-6.40494678453728	-2.38704147874967	-9.11178834894666	-6.64842203586326	-9.95801440197713	NA	-4.07623014385636	-10.3718088168025	-8.02512859783567	NA	-15.5740162761671	-5.91768734285011	-19.0835713742302	-8.7038320175309	-8.13301547718268	NA	-8.66407929990389	-13.9315682807851	NA	-10.5941693782584	-13.7656563418494	NA	NA	NA	NA	NA	NA	NA	-10.0945711718655	-13.5740162761671	NA	NA	-17.9315682807851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.35284769560093	-13.1126666048995	NA	-7.94967996004071	-4.68869563421112	-9.08185043432545	-4.54817110662859	NA	-4.84038912451395	NA	-8.40492233435822	NA	-14.6060379492176	-8.92741805449426	-8.77979062605308	-6.08474592044901	NA	-5.71234681002955	-5.89800762407456
AK1371	-8.00939316956828	-8.83874551672083	-3.90208304342031	NA	-4.90664550256565	-6.4309633199965	-6.53148981097166	-7.01432718378354	-5.61812585857651	-10.1750123910696	NA	-5.23620446885367	-10.0414564672425	-5.88400169761613	-10.7046749000223	-7.76211341589664	-5.93932959559259	-6.44411803894198	-9.31153221549489	-5.14068063088022	-5.67324560289095	NA	-12.3309124057674	-9.09031888407687	-13.7437218041541	-10.8385473670068	-6.6722520847183	NA	NA	-11.4009672990768	-7.36221149061151	NA	NA	-9.48417548594153	-9.27496508877166	-8.14656588052213	NA	-8.301893351414	NA	NA	NA	NA	-7.63413653161031	NA	-7.14073152659572	NA	-11.6587056903918	-10.5624076222445	-9.14244266716844	-1.82214305813223	-6.3137683923959	-5.95819421422823	-8.37482318758898	-2.49872671791811	-5.30644779722815	-10.1546422552623	-8.46070651417997	-4.36085023782399	-5.55962875453291	NA	-11.2563173275434	-18.0440434428521	-8.44443211483392	-11.0373572520559	-7.96928721325036	-11.0892183701799	NA	-3.76621022995334
AM1310	-7.24428066616536	-10.8108125848847	-6.00047126106722	NA	-2.76641061247925	NA	-5.74967121475477	-7.39493308977815	-4.06435287057395	-9.02025177824894	-15.8272321980484	-5.82058809651993	-10.8222605406795	-6.24400727209428	-8.82056363611544	-7.71367172781285	-7.95858907179686	-6.00426310759513	-8.85769508136077	-5.0089519372738	-7.82860897195303	NA	-10.943452273103	-8.97395891450337	NA	NA	NA	NA	NA	-8.89628861878864	-9.52685303126652	-7.88372923021352	-10.9931654341929	-8.37290899083665	-7.91003360908261	NA	NA	-9.00794424649483	NA	NA	-9.48852172385189	NA	-12.9372154210043	NA	NA	NA	-7.59936443388808	-12.7417442989831	-8.54505965378522	-2.14269061120893	-6.11361589971664	-8.02749878131701	-8.35588780655879	-2.2202453663953	-6.53808454784662	NA	NA	-3.72274010479922	-5.32364332401144	NA	NA	NA	-6.01757622204524	-10.005272863082	-6.68435337620546	-10.6883948743902	-18.8611795299718	-5.75675238002843
AP1348	NA	NA	-10.2092734727914	-9.22308830470798	-4.10834081340648	-9.11019332122113	-2.61964482556752	-12.1358537070919	-5.17874905274451	-11.4044827347862	NA	-5.05120555509415	-8.21406364215654	-7.06347926499181	-18.6685343077599	NA	-6.04902118480927	-6.4972793088971	-11.8806317483684	-4.98089435857771	NA	-5.9852837941928	NA	NA	NA	NA	NA	NA	NA	-11.0443480981253	NA	NA	-12.2971206512314	-9.94786252093432	NA	NA	-8.72260282728711	NA	NA	NA	NA	NA	NA	NA	-12.3087847474375	NA	NA	-10.8261839643461	-6.25557861192087	-1.23744483707727	-10.6638456619662	NA	-11.5015343950202	-3.04846128554564	-11.849952130279	NA	NA	-9.09299506092535	-6.52111736208968	NA	-10.5753368509383	NA	-4.90407302449329	-11.0854515402569	-7.49522153439333	NA	-6.49238713654114	-8.00464269669291
AT1302	NA	-10.8259214838379	-6.05310524829751	NA	-3.60875271897416	-8.18274634190089	-4.88651242133097	-6.41286581007003	-5.08896734695223	-8.51366289251141	-14.2173226188495	-7.72944431268514	-7.913333177624	-6.66672972914517	-8.00682984752651	-9.43791279755194	-5.52480508509907	-7.19899789810627	-9.79662849302262	-4.70491135058041	-7.19176643486376	-7.17286604651203	-9.35744770150585	-15.5053033818135	-8.49824350979967	-8.83940563531326	NA	NA	-6.43101253437619	-8.10708666181518	-7.81776086836848	-8.38790793317262	-10.2563167504653	-9.14922510246607	-9.44192084302716	-8.50341736870911	NA	-6.45171210267787	-5.82138664318689	NA	-12.0026056956796	-15.9497154832259	-7.65596738494911	-6.17460533147303	-11.2833903407908	-10.9105881976114	-18.044042865774	-11.4750083701806	-7.10808147301489	-1.95056507509955	-6.57576282785566	-5.75768023224245	-10.140079619917	-2.32470824925024	-15.7377963931189	NA	NA	-4.18070939479235	-6.23681850238447	NA	-9.72540845735542	NA	-5.77406329658948	-9.62847237452255	-6.09611968761801	NA	-12.4017471899869	-5.02334441552634
EH1307	-4.81234878439905	-12.1653719819095	-6.15831702233329	NA	-3.21678476186607	-5.85521324638223	-10.1034330950162	-8.57720998794983	-4.47339689738087	-10.3069568702046	NA	-7.86743311623026	-7.77217123135731	-9.46855616576066	-5.71766037318458	-12.8115909695555	-6.3439795598011	-8.69107635533355	-12.3533856111203	-5.62340833691802	NA	-11.2715736867804	-13.6836420657668	NA	NA	-8.35882198990757	-10.5377501312664	NA	-7.25958630711848	NA	-9.75502240036195	-11.0337241232048	-10.7368127247881	-9.3888278742574	-10.2810563075342	NA	-12.2249008970306	-6.50924195523579	NA	NA	-15.6912552498766	-13.5375356838426	-11.7576426472105	NA	NA	-12.3662770586293	NA	NA	-10.5485133492047	-2.72288559204527	-6.28229094397491	-9.00431013253863	-7.14252506631482	-3.22963505343909	NA	-2.58565847990107	-8.02392777554482	-3.92372760897173	-11.0711033206932	-11.3368717518865	-9.96983050660621	NA	-10.0112167237953	-7.6265623768851	-4.94423005859755	NA	NA	-2.97598891144573
EP1341	-11.6675949259817	-7.63405012088932	-5.18206020074901	NA	-2.77954592541178	-5.39119198243349	-4.13835871842142	-7.00946708715354	-5.0193057700733	-9.63121572045692	-9.17334506605841	-6.60868246418054	-8.60070740899988	-8.64732253095547	-16.8272316209704	-7.42746933096376	-10.7759910583028	-7.16113150427683	-8.70479485733698	-6.42949481173509	NA	NA	-12.4936081924507	-10.3687534720928	-11.7466929378769	NA	NA	-9.25622866999607	NA	NA	-6.04241609797934	-6.99983352256455	-8.62533566605112	-9.95400213666314	-8.74526829847463	NA	-9.44674538652299	-7.46350431994547	NA	NA	NA	NA	-7.65684070799784	-3.9749697826642	-8.43636281269231	-10.4375127490198	-7.84307815035339	NA	-11.4664100511209	-2.94195647052159	-3.6502177658041	NA	-7.65433900813684	-3.16172010861992	-5.45668359458241	NA	-9.14227918112274	-4.00358435313973	-3.76646500762781	NA	-10.7116737542483	NA	-11.3877631048207	-7.72299859274949	NA	NA	-5.02644926734458	-5.8227906558555
HP1337	-6.06506221282846	NA	NA	NA	-1.68434274254402	-4.96908356687674	-4.87959907426238	-8.37023274093644	-4.98645841513187	-7.3918037704737	NA	-6.39915161756629	-8.82454755886688	-8.20224508745695	NA	NA	-7.49524727529999	-7.37904341213604	-9.05313427549537	-7.55178395100228	NA	NA	NA	-16.3586787566341	-14.0270843271532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.73582713180821	NA	NA	NA	NA	NA	NA	-7.39330672945184	-2.29888981746533	NA	NA	NA	-2.25450055999102	-10.326088906993	NA	NA	-4.39675490142602	NA	NA	NA	NA	-13.8188682923053	-9.27130506143011	-5.03367098608418	NA	-5.49789822936407	-7.05165976342228
JE1361	NA	-7.79560354824418	-7.01503666525864	-3.91527677857578	-4.15668702210351	-7.92517307797186	-2.56684896755527	-6.42929687550814	-5.07217524768565	-8.10248084666663	NA	-5.15944032410577	-7.54250266489845	-9.06297820286616	-9.31355093310019	-7.74254782494738	-10.2906013802216	-6.39348951082622	-7.84576491039343	-7.06866077531831	-6.96067250793867	-8.96910702639306	-8.15049650525958	-7.52703971955575	NA	NA	-11.311349465164	NA	NA	-9.5816246521056	-7.73733569272631	-15.8697930930848	-12.0538250407225	-11.1584300839518	-9.30832792143592	NA	-9.19060801031313	-11.6259635010861	NA	NA	-11.051679768891	-12.5221783545338	NA	NA	NA	-9.46957834008594	NA	-8.04640678276185	-12.0974143092702	-3.12508889513987	-7.09615045019603	-5.02810163918448	-9.38563952158605	-2.65305630938493	-5.59967964949766	NA	NA	-4.29541201317048	-4.04727712086031	-6.7219788511559	-12.8795447301887	-12.7114328432754	-8.65445628001385	-9.53058315012236	-7.23703728057967	-12.0373578291337	NA	-3.63714956823083
JH1373	NA	-9.04434809812529	-8.96693904687308	-14.8147049559028	-6.38534946952996	NA	-3.48042683990352	-7.00523565107086	-4.09645339448498	-9.8819923964377	-11.7581414162451	-6.59070328170467	-9.34388494267898	-6.09264057588137	NA	-7.08151864929568	-6.61445292303226	-6.54752700384351	-7.70133807535691	-4.4177455249929	NA	NA	-9.81821722183695	-9.98553972407819	NA	-6.11651570625347	NA	NA	NA	-9.0388741221787	NA	NA	NA	NA	-10.6496386866382	NA	NA	-8.76283392544814	NA	NA	-9.67547799350667	-17.8272320537789	NA	NA	-12.2091026891226	-10.9735960926783	NA	-8.31281616005694	NA	-2.48537307335982	NA	-8.41193246075046	NA	-2.22234351480841	-5.11790775197301	-12.8860820572342	NA	-2.44093481510355	-5.24171266074276	-8.09122350607024	-12.3131832113351	NA	-7.80538050307157	-9.56765299705495	-7.25116523294826	NA	-6.13244901979411	-5.14451300683386
