"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"Tannerellaceae"	"diet"	"oat"	"dietoat"	13.9334443564458	0.106097920435523	0	0	0	0	"prevalence"	138	120
"Firmicutes_unclassified"	"intervention"	"oat"	"interventionoat"	11.5843521481846	0.89495074194205	2.5364443695188e-38	4.6416931962194e-36	5.07288873903763e-38	5.17434651381838e-36	"prevalence"	138	122
"Tannerellaceae"	"diet"	"oat:interventionoat"	"dietoat:interventionoat"	-13.853072538079	2.3097979180283	2.00346579685378e-09	2.44422827216161e-07	4.00693158969367e-09	2.7247134809917e-07	"prevalence"	138	120
"FGB4405"	"intervention"	"oat"	"interventionoat"	4.59255878938864	1.06115508373492	0.000819834534321629	0.0710129905193086	0.000819834534321629	0.0418115612504031	"abundance"	138	17
"Firmicutes_unclassified"	"diet"	"oat:interventionoat"	"dietoat:interventionoat"	-10.6523462650722	3.22891226689405	0.000970122821302031	0.0710129905193086	0.00193930450431565	0.0791236237760785	"prevalence"	138	122
"Eubacteriaceae"	"intervention"	"oat"	"interventionoat"	1.82708301811876	0.586315376264609	0.00286235558217011	0.160099003118339	0.00286235558217011	0.0973200897937838	"abundance"	138	135
"Firmicutes_unclassified"	"intervention"	"oat"	"interventionoat"	1.44279721287317	0.702477638031621	0.0445853646340535	0.679926810669316	5.07288873903763e-38	5.17434651381838e-36	"abundance"	138	122
"Firmicutes_unclassified"	"diet"	"oat:interventionoat"	"dietoat:interventionoat"	-1.54799737914979	0.983349217000952	0.120973799140326	0.790650187238562	0.00193930450431565	0.0791236237760785	"abundance"	138	122
"Tannerellaceae"	"diet"	"oat"	"dietoat"	0.0705327739858787	0.540579955751029	0.896657326120613	0.991125752211059	0	0	"abundance"	138	120
"Tannerellaceae"	"diet"	"oat:interventionoat"	"dietoat:interventionoat"	0.151405786421883	0.777594610727799	0.846324319595202	0.991125752211059	4.00693158969367e-09	2.7247134809917e-07	"abundance"	138	120
"FGB4405"	"intervention"	"oat"	"interventionoat"	2.68372530165854	3.17695129263354	0.3982511928106	0.934358567747947	0.000819834534321629	0.0418115612504031	"prevalence"	138	17
"Eubacteriaceae"	"intervention"	"oat"	"interventionoat"	6.34338516145422	0.18390139472071	1.0072818818027e-260	NA	0.00286235558217011	0.0973200897937838	"prevalence"	138	135
