feature	Adlercreutzia	Agathobaculum	Akkermansia	Alistipes	Anaerobutyricum	Anaerostipes	Anaerotignum	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Candidatus_Cibionibacter	Candidatus_Woodwardibium	Citrobacter	Clostridiaceae_unclassified	Clostridium	Collinsella	Coprococcus	Desulfovibrio	Dialister	Dorea	Dysosmobacter	Eggerthella	Ellagibacter	Enterocloster	Enterococcus	Erysipelatoclostridium	Eubacteriaceae_unclassified	Eubacteriales_Family_XIII_Incertae_Sedis_unclassified	Eubacteriales_unclassified	Eubacterium	Evtepia	Faecalibacillus	Faecalibacterium	Faecalicatena	Faecalitalea	Firmicutes_unclassified	Flavonifractor	Fusicatenibacter	Gemmiger	GGB1266	GGB14025	GGB1550	GGB27106	GGB2982	GGB3005	GGB3033	GGB3109	GGB3175	GGB3256	GGB3277	GGB3278	GGB3304	GGB33469	GGB33512	GGB3363	GGB34797	GGB3570	GGB3612	GGB3619	GGB3653	GGB3730	GGB3746	GGB4456	GGB4567	GGB4569	GGB4571	GGB4684	GGB4699	GGB47687	GGB51647	GGB6612	GGB79734	GGB79890	GGB79973	GGB80011	GGB80140	GGB9342	GGB9345	GGB9453	GGB9524	GGB9559	GGB9602	GGB9608	GGB9634	GGB9635	GGB9642	GGB9677	GGB9699	GGB9708	GGB9713	GGB9719	GGB9747	GGB9758	GGB9760	GGB9765	GGB9767	GGB9781	Gordonibacter	Holdemanella	Intestinibacter	Intestinimonas	Lachnoclostridium	Lachnospira	Lachnospiraceae_unclassified	Lacrimispora	Lactococcus	Lawsonibacter	Mediterraneibacter	Methanobrevibacter	Mogibacterium	Monoglobus	Odoribacter	Oscillibacter	Oscillospiraceae_unclassified	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Phocaeicola	Prevotella	Pseudoruminococcus	Romboutsia	Roseburia	Ruminococcus	Ruthenibacterium	Sanguibacter	Senegalimassilia	Slackia	Staphylococcus	Streptococcus	Sutterella	Turicibacter	Vescimonas	Waltera	Other
AE1332	-8.53812419255209	-8.10680838183103	-6.34658229889047	-4.84038912451395	-5.56106476393577	-5.43007937465218	NA	-4.30780393450218	-6.40494678453728	-2.38704147874967	-10.3718088168025	-4.23731378896217	NA	NA	NA	NA	NA	-7.54975498479682	-7.92731269573565	-4.07623014385636	-10.1193909752707	NA	-5.71234681002955	-4.54305986291824	-9.85555440369986	-11.2005887473592	NA	-11.4421216821626	NA	-12.0073496010366	NA	-10.0510664096571	-11.4249631652169	NA	NA	-5.9577543413954	-5.14904094872793	-13.9961085329798	NA	NA	-9.42060636150776	-4.74553144112231	-8.29186581309368	NA	NA	NA	NA	-11.3994071958019	NA	NA	-10.5941693782584	-11.3409812308701	NA	NA	NA	NA	NA	-15.5740162761671	NA	-8.66407929990389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.7656563418494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.4389139097662	NA	NA	-10.0945711718655	-17.9315682807851	NA	-15.0198766989128	-11.0343278552103	NA	-13.1177870895681	-16.9867098349776	-12.9704080226485	-7.47644658723367	-2.45450414948526	NA	-12.0612035612017	-9.95801440197713	-5.57167462284647	NA	-9.89045674541599	NA	-7.94967996004071	NA	-11.9669386140645	-6.08474592044901	NA	-8.77979062605308	NA	-4.08457702056899	-4.54817110662859	-11.7808055364297	-9.17259559244243	-9.99390021318408	NA	-11.5336797726544	-8.40492233435822	NA	NA	NA	-9.15053648976238	NA	NA	-12.4550245745709	-8.93976302540868	-5.43162276350674
AE2332	-7.28541549171237	-7.19776996431058	NA	-5.66285902666233	-5.40621963080811	-5.52294086553204	NA	-4.59077671809466	-7.45537987961353	-3.5454995349669	-8.18459303522461	-2.74250037073319	NA	NA	NA	NA	NA	-5.34983306804622	-7.53515167087434	-4.30545232030471	-8.21453539691118	NA	-5.16436749587407	-3.77634573178321	-11.217323628736	-13.3739139916767	NA	-11.3808223610188	NA	-10.1798577310062	NA	-10.7331241049497	-6.28884050263308	NA	NA	-5.80601845205288	-3.81336817986513	NA	NA	NA	-10.27086010762	-3.84121684899665	-5.70879688014002	NA	NA	NA	NA	-10.733615318792	NA	NA	-11.1521780868662	-10.7160361466564	NA	NA	NA	NA	NA	NA	NA	-6.52947641452532	NA	NA	NA	NA	NA	NA	-13.5170953099711	NA	NA	NA	NA	NA	NA	NA	-17.7299352852324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.22472782076602	NA	NA	NA	-11.3231294938505	NA	-9.66454842097476	-16.6241406212098	-11.1813646371222	-9.29060123595218	-4.64717155714993	NA	-7.42350204488882	-10.4235763474171	-4.52250643419992	NA	-10.2063733291754	NA	-9.23312491740496	NA	-11.6069385311349	-6.54059414024654	NA	-7.69382141284089	NA	-5.0450294776152	-5.77935561657505	NA	-13.1502094328774	-6.8962373515098	NA	-11.2063733291754	-8.92826206728811	NA	NA	NA	-4.56625484816474	NA	-9.9887614401593	-11.6998679473731	-7.3802213632843	-5.49082323588085
AH1343	-9.37947589655256	-6.54555791728061	-5.38358960277716	-5.2934720996804	-5.26472877815286	-4.06427293519843	NA	-4.07436023699185	NA	NA	NA	-2.96649453593026	NA	-11.3000277019827	-4.48182343921267	NA	NA	-5.03999369234299	-5.37217952809284	-4.94673181809013	-5.83664966683913	NA	-5.05737965399001	-4.73668862330671	-8.5431745098509	-14.071102310807	NA	-11.6033424505364	NA	-10.0189785784715	-8.06452154442737	-11.7056381581531	-7.09522228693796	NA	-7.73229498357763	NA	-4.33743352987749	NA	NA	-8.80196355817167	-9.04229277815255	-4.2511870670772	NA	NA	-10.2394761938966	NA	NA	-9.2006739227825	-12.7172494485234	NA	-10.8860819129647	NA	NA	NA	NA	NA	NA	NA	-6.19529349250199	-6.77496401700007	NA	NA	NA	-14.8314318980387	NA	-6.91204733662087	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.05317273886716	NA	NA	NA	NA	NA	NA	-11.962901776129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.1795224995448	NA	NA	NA	NA	NA	NA	-9.69579365017377	NA	NA	-10.0860785183798	-10.4459404873526	NA	-3.238382476909	-4.53445550962943	-9.27568012361751	-8.80247878340491	-5.8120356848969	NA	-10.7196802747782	NA	-9.34126222668523	-6.62162333053265	-10.4080066132672	-7.14282984821022	-7.39699818561805	-7.78090100943174	NA	-5.60610148072324	NA	NA	NA	-7.03676974909019	NA	-9.9756281180347	NA	NA	NA	NA	-15.5600097067122	NA	NA	NA	NA	-4.34036474008836
AH2343	-8.4087901784519	-6.96000633229687	-4.85281242949451	-5.53394000445116	-5.69085848945248	-5.24769049800015	NA	-5.14038460551536	NA	NA	NA	-2.46677085396322	NA	-13.0948862546494	-4.73657635927164	NA	NA	-6.01114055201336	-5.38827618229459	-4.57340431207305	-6.14543097725372	NA	-4.04667949953115	-4.4955786148266	-8.35711623204848	-13.1242129259189	NA	-10.9358006970987	NA	-8.13727383601564	-7.95257145188754	-10.4459397660049	-6.69395453882507	-13.3095160285201	-8.15546385990331	NA	-4.33025841975134	NA	NA	-7.57547356960492	-9.56000898536451	-3.09055886782049	NA	NA	-9.83248308708461	NA	NA	-10.3831312232804	-10.9256626461135	NA	-10.8627895699911	NA	NA	NA	NA	NA	NA	NA	-7.23297169123144	-6.54791754959067	NA	NA	NA	-13.6989070911862	NA	-10.6760671148281	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.48333536743649	NA	NA	NA	NA	NA	NA	-10.9078134946771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.2623284367238	NA	NA	NA	NA	NA	NA	-9.35442229939463	NA	NA	-12.6573061867194	-11.5221769118388	NA	-3.76428300077925	-4.95711292493949	NA	-9.19651960668562	-5.61356883455224	NA	-9.33584415387485	NA	-11.4115385437643	-7.04989940537252	-9.7397683469114	-9.64062744557279	-9.02257485472594	-7.93283639921526	NA	-6.57966240649953	NA	NA	NA	-7.8495851786508	NA	-9.78347264528869	NA	NA	NA	NA	-9.09141937248952	NA	NA	NA	NA	-4.55977419082564
AK1351	-6.57309665219496	-5.95314482523066	NA	-7.2235200389693	-4.84519252592217	-5.36628272102938	-7.04995819838556	-2.88267909913655	-7.2436031767332	-6.36619345952339	-8.20654393425215	-2.58573007398383	NA	-10.4998627667055	NA	NA	NA	-5.76722799121084	-5.39033349585302	-5.73082391116992	-9.55761663530132	NA	NA	-5.52870378160255	-8.05011114371351	-10.153327854429	NA	-12.2549069558135	NA	-14.5426909518595	NA	-9.88621915619915	-7.57398979593727	-5.32010063774323	-8.02257629742098	-4.35310519535077	-4.39773769584778	-10.7722024809278	NA	-11.8520845068447	-7.43821416917661	-5.15454519513565	NA	NA	NA	NA	NA	-10.175680264663	NA	NA	-10.5095045244987	NA	NA	NA	NA	NA	NA	NA	NA	-7.34510476478513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.4986098833954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-16.6685348848377	NA	NA	NA	NA	NA	NA	-10.331470546153	-7.38877922911661	NA	-11.6002044401761	-16.5392518678928	-7.50030675725371	-5.77803309196337	-11.7255317444249	-8.88546844564271	-10.4497698590058	-5.42919741273846	NA	-9.93820627853514	NA	-8.47783566907047	NA	-11.1894283051734	-5.48117636736631	NA	NA	-5.85722709582107	-4.00214211508244	NA	NA	-10.8462296213141	-3.57834663743834	NA	-10.7838555683194	NA	NA	NA	NA	-6.89364489689912	-9.01800665435062	NA	-10.4359140968813	NA	-4.24495933991959
AK1371	-6.99677212141527	-8.5778153777792	-3.90208304342031	-4.48491830914259	-5.83921623139409	-5.0167818505448	NA	-5.65795521076609	-6.4309633199965	-6.53148981097166	-10.1926320319175	-4.38753100780698	NA	NA	-5.55962875453291	-8.53325255019347	NA	-8.24467430039827	-5.95001926927671	-5.23620446885368	-4.39019072753213	NA	NA	-6.75327734363711	-8.45092995799453	-12.5687481880594	NA	-13.9203414581704	-8.0822809096939	-13.7676674997791	-10.6477858110701	-10.0264826148319	-8.26738812560638	-6.52557635391783	-6.89664941683954	-8.0713740723306	-5.76814703159586	-7.50007110933562	NA	-9.76264593174074	-15.5323976197738	-5.52616793975403	-6.05481197727645	NA	NA	NA	-14.9406138531967	-8.24117780975133	-13.4493657872977	-9.09031888407687	-13.7437218041541	-11.3201749877481	NA	NA	NA	-6.6722520847183	-9.10240096795123	-10.0911054797241	NA	NA	NA	NA	NA	-9.94786252093432	NA	-16.0835718070387	-10.21423501414	-7.33305090298105	NA	-7.14073152659572	-9.31805547754984	-8.14656588052213	-11.4009672990768	NA	-10.8385473670068	-11.2563173275434	NA	-11.6587056903918	NA	NA	-7.36221149061151	-5.67324560289095	-12.5582685169853	-7.63413653161031	NA	NA	-12.1326109656932	-10.4633519815312	-5.6511749025843	NA	NA	-8.5237167655251	-12.382361624238	-8.99898484430438	-9.95973779881317	-8.46070651417997	-8.63717771150417	-9.48417548594153	-10.5715995816948	-11.9715667815256	-9.50918852380537	-7.73724276247871	-6.41273117616517	-11.5057234079542	-9.23773332111115	-15.5461376764001	-8.12401253673475	-5.28475127752926	-11.7085323756918	-9.9802839986267	-10.1750123910696	-5.21909007605985	-5.95819421422823	-12.2145778191887	-8.74359812160947	-8.37482318758899	-6.37117616641829	-9.14309506446219	-7.96928721325036	NA	NA	-8.00939316956828	-6.20732134028402	-10.1546422552623	NA	-8.61279997091094	-8.31176140752055	-3.27320658599181	-10.5957317732157	NA	NA	-8.94615367259608	NA	-11.820433043359	-11.0413044365726	-11.0892183701799	-12.2626837293274	NA	-2.63399413347729
AK2351	-6.73949228006012	-6.97700944367168	NA	-7.69639272706902	-5.31511234122301	-5.54208583119857	-8.78391915818343	-2.98912924036075	-6.99186153237275	-6.71662792932296	-8.58633039040442	-3.33651728199937	NA	-9.96592928272747	NA	NA	NA	-5.42755105714093	-5.34243314993707	-6.34346371335837	-11.4493663643756	NA	NA	-5.99049416624951	-7.64735246444855	-11.322760047996	NA	-11.1352051525319	NA	-14.1293760737297	NA	-11.0745213741844	-7.28386354056933	-5.86970029546677	-8.13079069868527	-5.51444199666001	-3.18180328316557	-11.6123487881476	NA	-8.64229964125235	-7.43806405263302	-5.12701472154604	NA	NA	NA	NA	NA	-9.2973027564681	NA	NA	-9.80641415934922	NA	NA	NA	NA	NA	NA	NA	NA	-7.26814461078415	NA	NA	NA	-7.93037223783201	NA	NA	NA	NA	NA	NA	NA	NA	-6.23168239363111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.3723834248838	NA	NA	NA	NA	NA	NA	-9.32072899301796	-7.88833689914009	-10.58527718667	-10.1391043306916	-14.2173237730054	-6.36537251269117	-6.45881499860877	-10.7922737579455	NA	-8.415623111562	-5.02339248979846	NA	-10.6862542802794	NA	-7.74189913806776	-12.9949313516689	-10.1418726385216	-5.58437702991006	NA	NA	-6.39673145530419	-3.47335654940267	NA	NA	-11.870873358984	-2.81693426141202	NA	-10.9349545758562	NA	NA	NA	NA	-12.875202529647	-9.42694889826796	-13.6517265971512	-9.92006247027483	NA	-4.72487540154844
AK2371	-6.54584211006134	-9.20765285350822	-4.71838574457501	-4.08898612000784	-5.98968763542844	-6.10349275763548	NA	-5.38334384437068	-6.00906894152642	-6.97710075204549	-9.33426203233876	-3.86592850083148	NA	NA	-8.02107689119103	-8.67406401835977	NA	-6.63552822922889	-5.60902185371223	-5.02295662440925	-5.08426274695378	NA	NA	-6.91347388993273	-8.54516829983897	-13.1050212361888	NA	NA	-9.01315367173569	NA	-11.5011171718142	-9.86118039558835	-8.04187564409766	-7.12326914787176	-7.0071654475182	-8.33347068551904	-5.76162124086392	-8.3485339807015	NA	-8.2705042436728	-14.6722972364421	-5.40524166170621	-6.21193491234539	NA	NA	NA	NA	-8.0122594392437	-12.2726442119874	-8.00987752551987	-10.3486750640729	-11.4048748779378	NA	NA	NA	-6.57908483653004	-8.45173894580274	-9.17201438027343	NA	NA	NA	-15.6241411982875	NA	-8.70805063668901	NA	-11.8926507341874	-9.52313382804243	-5.90812722557821	NA	-6.43555235258015	-7.65620176791859	-6.95323464268734	-8.91010387674568	NA	-11.0948881301526	-10.9239817511606	NA	-11.4265521679516	NA	NA	-9.05620432283797	-5.75891563949344	-11.3146533609009	-8.13289542465292	NA	NA	-12.3205449261724	-6.90857780241839	-6.26529023347282	NA	NA	-8.66753770465108	-10.4853134935902	-8.7714461893332	-10.0233272348713	-9.29830200263717	-9.41222832945301	-8.65911489192125	-11.8162659173276	-12.6563763895775	-9.3691364792014	-7.34484719443137	-6.09839301798209	-11.5801887428054	-9.50289550040795	-12.9125350541154	-7.74375373633317	-6.59153883845949	-13.035540120503	-11.8351180990022	-9.23095661491228	-5.88146600289845	-5.08531540345027	-11.7373053404877	-8.37640544333969	-8.51255761294121	-7.20371306875179	-9.36237866721439	-7.50420449485499	NA	NA	-7.99533667918316	-6.98574185358655	-8.67961398771064	NA	-8.98130545672247	-7.09319304458955	-3.21020347288089	-10.2508585804077	NA	NA	-8.30285079894212	NA	-10.4617244375084	-11.7797920687477	-13.9588770694755	-14.0008323859169	NA	-2.53428867029919
AM1310	-6.5603639606875	-8.72016722044468	-6.00047126106722	-4.09579969000225	-6.6143823895711	-6.30785880092469	NA	-3.00644562200884	NA	-5.74967121475477	NA	-3.85930224273109	NA	NA	-5.32364332401144	-9.9147605701766	NA	-5.15769303426053	-5.08235436946154	-6.17863423915197	-4.68727564278766	-10.8222605406795	NA	-6.24433535119718	-8.02171326665515	-9.03175880347815	NA	-14.6874429145794	NA	NA	-12.1197125435706	-9.34529199962463	-10.8984212060815	-6.02522313279247	-8.02115098050579	-8.12695379203819	-4.11174402957469	-6.07846402371274	NA	-8.54505965378522	-11.1355292490334	-6.45101845281267	-5.26075772648692	NA	-9.48852172385189	NA	NA	-9.33491319018849	-11.5251512380395	-9.14881630465311	NA	NA	NA	NA	-6.03731949499892	NA	-9.355651496745	-7.71655163187766	NA	NA	NA	NA	NA	-9.34435390541062	NA	-9.56066353774975	-12.2387790228905	-6.11768748296906	NA	NA	NA	NA	-8.89628861878864	NA	NA	NA	-7.88372923021352	-7.59936443388808	NA	NA	-9.52685303126652	-7.82860897195303	-9.20330818515408	-12.9372154210043	-10.9931654341929	NA	-10.9855398683477	-8.27094894309909	NA	NA	NA	-9.79470587714238	-8.31433099311705	-8.44654462453978	-10.0986788436984	NA	-9.4875893152619	-8.37290899083665	-10.8298557576747	-8.80583252846814	-11.0410005675566	-13.3617132495322	NA	-7.3518993618839	-11.9727261826199	-11.959450639479	-8.38592862185038	-8.91420365257042	-13.1037498332458	-11.6429334488255	-9.02025177824894	-9.78042543844306	-8.02749878131701	-12.1833760082737	-11.1101137387607	-8.35588780655879	-6.16363272445207	-8.83940635666082	-6.68435337620546	NA	NA	-7.24428066616536	-5.47221408937498	NA	NA	-7.82739603082445	-4.65559716528735	-3.20978875900673	-8.81113656032807	NA	NA	NA	NA	-6.07565894750802	-10.3867975698685	-10.6883948743902	-7.39214344428232	-10.9321325207111	-4.4334676138683
AM1314	NA	-11.9826173688828	NA	-5.09622868761186	-8.32192809488736	-2.95356649509169	-7.14955323431998	-4.4164601206942	-8.90138425120553	-12.6647820286293	-11.0195774556246	-2.84837286415669	NA	-9.44453248929227	NA	-10.7226026830176	NA	-5.23974873063831	-5.89524039058221	-5.69466492990556	-6.63668939900527	-7.84244917140901	NA	-4.09696419867216	-8.77630759556422	-4.54402912125545	NA	-9.57258777279168	NA	-7.71258160748057	NA	-8.28500985916963	-10.2982100186871	-10.1314775816992	-6.06259172386501	-7.30401188643732	-5.30583119222541	-10.6266468997425	-8.02881662447401	NA	-10.0457196992835	-7.19159814374367	NA	NA	-11.7966289258312	NA	NA	-9.71252108540228	-7.62010405387573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.346606068603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.07028776573546	NA	NA	NA	-8.95521925520634	NA	NA	-9.19957078268043	NA	-7.24445537702505	-4.58121981498142	NA	NA	NA	-9.49787881560063	NA	-14.8915528904763	NA	NA	-14.1686882764072	-10.1461161011656	-12.0410002790176	-13.6722960822866	-9.86925254196846	-12.2527923952003	-11.2224847567738	-8.69603296261371	-3.63389816944456	NA	-10.939196662314	NA	-9.53432178188346	-13.9315685693242	-6.3336091492646	-7.07376248047977	NA	NA	-6.956347529054	-4.80109453260959	-14.0835716627692	-7.36639507218506	-12.2805168781452	-8.85028487210456	-15.4017476227955	-6.19101830569041	NA	NA	NA	NA	-6.93193844822741	-13.4737773090681	NA	NA	NA	-2.79038244162406
