feature	Adlercreutzia	Agathobaculum	Akkermansia	Alistipes	Anaerobutyricum	Anaerostipes	Anaerotignum	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Candidatus_Cibionibacter	Candidatus_Woodwardibium	Citrobacter	Clostridiaceae_unclassified	Clostridium	Collinsella	Coprococcus	Desulfovibrio	Dialister	Dorea	Dysosmobacter	Eggerthella	Ellagibacter	Enterocloster	Enterococcus	Erysipelatoclostridium	Eubacteriaceae_unclassified	Eubacteriales_Family_XIII_Incertae_Sedis_unclassified	Eubacteriales_unclassified	Eubacterium	Evtepia	Faecalibacillus	Faecalibacterium	Faecalicatena	Faecalitalea	Firmicutes_unclassified	Flavonifractor	Fusicatenibacter	Gemmiger	GGB1266	GGB14025	GGB1550	GGB27106	GGB2982	GGB3005	GGB3033	GGB3109	GGB3175	GGB3256	GGB3277	GGB3278	GGB3304	GGB33469	GGB33512	GGB3363	GGB34797	GGB3570	GGB3612	GGB3619	GGB3653	GGB3730	GGB3746	GGB4456	GGB4567	GGB4569	GGB4571	GGB4684	GGB4699	GGB47687	GGB51647	GGB6612	GGB79734	GGB79890	GGB79973	GGB80011	GGB80140	GGB9342	GGB9345	GGB9453	GGB9524	GGB9559	GGB9602	GGB9608	GGB9634	GGB9635	GGB9642	GGB9677	GGB9699	GGB9708	GGB9713	GGB9719	GGB9747	GGB9758	GGB9760	GGB9765	GGB9767	GGB9781	Gordonibacter	Holdemanella	Intestinibacter	Intestinimonas	Lachnoclostridium	Lachnospira	Lachnospiraceae_unclassified	Lacrimispora	Lactococcus	Lawsonibacter	Mediterraneibacter	Methanobrevibacter	Mogibacterium	Monoglobus	Odoribacter	Oscillibacter	Oscillospiraceae_unclassified	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Phocaeicola	Prevotella	Pseudoruminococcus	Romboutsia	Roseburia	Ruminococcus	Ruthenibacterium	Sanguibacter	Senegalimassilia	Slackia	Staphylococcus	Streptococcus	Sutterella	Turicibacter	Vescimonas	Waltera	Other
AE1332	0.00269010053802011	0.00362750072550015	0.0122882024576405	0.0349058069811614	0.0211813042362608	0.0231944046388809	NA	0.050491910098382	0.0118010023602005	0.191174038234808	0.00075470015094003	0.0530202106040421	NA	NA	NA	NA	NA	0.00533700106740021	0.00410810082162017	0.0592833118566624	0.000899000179800036	NA	0.0190727038145408	0.0428946085789217	0.00107940021588004	0.000424900084980017	NA	0.000359400071880014	NA	0.00024290004858001	NA	0.000942600188520038	0.000363700072740015	NA	NA	0.0160893032178606	0.0281828056365611	6.12000122400025e-05	NA	NA	0.00145920029184006	0.0372780074556015	0.00319080063816013	NA	NA	NA	NA	0.000370200074040015	NA	NA	0.000646900129380026	0.000385500077100015	NA	NA	NA	NA	NA	2.05000041000008e-05	NA	0.0024652004930401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.18000143600029e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000180100036020007	NA	NA	0.000914600182920037	4.00000080000016e-06	NA	3.01000060200012e-05	0.000476800095360019	NA	0.000112500022500005	7.70000154000031e-06	0.000124600024920005	0.00561520112304022	0.182440236488047	NA	0.000234000046800009	0.00100540020108004	0.0210261042052208	NA	0.00105360021072004	NA	0.00404490080898016	NA	0.00024980004996001	0.0147336029467206	NA	0.00227520045504009	NA	0.0589413117882624	0.0427429085485817	0.000284200056840011	0.00173290034658007	0.000980700196140039	NA	0.000337300067460014	0.00295030059006012	NA	NA	NA	0.00175960035192007	NA	NA	0.000178100035620007	0.00203640040728008	0.0231696046339209
AE2332	0.00641019743592103	0.00681169727532109	NA	0.0197382921046832	0.0235811905675238	0.0217484913006035	NA	0.0414990834003666	0.00569779772088091	0.0856442657422937	0.00343709862516055	0.149425640229744	NA	NA	NA	NA	NA	0.0245210901915639	0.00539129784348086	0.0505742797702881	0.00336649865340054	NA	0.0278849888460045	0.0729804708078117	0.000419999832000067	9.41999623200151e-05	NA	0.00037499985000006	NA	0.000862099655160138	NA	0.000587499765000094	0.012789994884002	NA	NA	0.0178736928505229	0.0711314715474114	NA	NA	NA	0.000809399676240129	0.0697715720913712	0.0191196923521231	NA	NA	NA	NA	0.000587299765080094	NA	NA	0.00043939982424007	0.000594499762200095	NA	NA	NA	NA	NA	NA	NA	0.0108250956699617	NA	NA	NA	NA	NA	NA	8.52999658800136e-05	NA	NA	NA	NA	NA	NA	NA	4.59999816000074e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00167139933144027	NA	NA	NA	0.000390299843880062	NA	0.0012321995071202	9.89999604000158e-06	0.000430599827760069	0.00159679936128026	0.0399081840367264	NA	0.00582509766996093	0.000728099708760117	0.043510082595967	NA	0.000846399661440135	NA	0.00166169933532027	NA	0.000320599871760051	0.0107419957032017	NA	0.00482979806808077	NA	0.0302896878841248	0.0182070927171629	NA	0.000109999956000018	0.00839509664196134	NA	0.000423199830720068	0.00205269917892033	NA	NA	NA	0.0422104831158068	NA	0.000984199606320158	0.000300599879760048	0.00600249759900096	0.0222380911047636
AH1343	0.0015014	0.0107051	0.023954	0.025498	0.0260111	0.0597767	NA	0.0593602	NA	NA	NA	0.127937	NA	0.0003966	0.0447545	NA	NA	0.0303956	0.0241442	0.0324254	0.0174982	NA	0.0300315	0.0375072	0.0026807	5.81e-05	NA	0.0003214	NA	0.0009638	0.0037354	0.0002994	0.0073135	NA	0.0047027	NA	0.0494655	NA	NA	0.0022405	0.0018967	0.0525128	NA	NA	0.0008272	NA	NA	0.0016995	0.0001485	NA	0.0005284	NA	NA	NA	NA	NA	NA	NA	0.0136468	0.0091313	NA	NA	NA	3.43e-05	NA	0.0083036	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0037649	NA	NA	NA	NA	NA	NA	0.0002505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0008623	NA	NA	NA	NA	NA	NA	0.0012058	NA	NA	0.00092	0.0007169	NA	0.1059619	0.0431512	0.0016134	0.0022397	0.0177993	NA	0.000593	NA	0.0015417	0.0101553	0.000736	0.0070761	0.0059331	0.0045469	NA	0.0205303	NA	NA	NA	0.0076159	NA	0.0009932	NA	NA	NA	NA	2.07e-05	NA	NA	NA	NA	0.0493651
AH2343	0.00294240147120074	0.00803210401605201	0.0346065173032587	0.0215833107916554	0.0193589096794548	0.0263201131600566	NA	0.0283524141762071	NA	NA	NA	0.180895590447795	NA	0.000114300057150029	0.0375101187550594	NA	NA	0.0155048077524039	0.023876311938156	0.0420018210009105	0.0141267070633535	NA	0.0605101302550651	0.0443298221649111	0.00304970152485076	0.000112000056000028	NA	0.000510500255250128	NA	0.00355170177585089	0.00403680201840101	0.000716900358450179	0.00965870482935241	9.85000492500246e-05	0.00350720175360088	NA	0.0497121248560624	NA	NA	0.00524270262135131	0.00132480066240033	0.117394858697429	NA	NA	0.00109680054840027	NA	NA	0.000748800374400187	0.000514100257050129	NA	0.000537000268500134	NA	NA	NA	NA	NA	NA	NA	0.00664750332375166	0.0106876053438027	NA	NA	NA	7.52000376000188e-05	NA	0.000611200305600153	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111769055884528	NA	NA	NA	NA	NA	NA	0.00052050026025013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000407100203550102	NA	NA	NA	NA	NA	NA	0.00152770076385038	NA	NA	0.000154800077400039	0.000340000170000085	NA	0.0735932367966184	0.0321929160964581	NA	0.00170440085220043	0.0204243102121551	NA	0.00154750077375039	NA	0.000367100183550092	0.00754690377345189	0.00116960058480029	0.00125280062640031	0.00192280096140048	0.00409240204620102	NA	0.0104550052275026	NA	NA	NA	0.00433550216775108	NA	0.00113470056735028	NA	NA	NA	NA	0.00183320091660046	NA	NA	NA	NA	0.0424005212002606
AK1351	0.0105026947486526	0.016140791929604	NA	0.00669119665440167	0.0347897826051087	0.0242430878784561	0.00754659622670189	0.135589832205084	0.00659869670065165	0.012122293938853	0.00338519830740085	0.166578016710992	NA	0.000690599654700173	NA	NA	NA	0.0183607908196046	0.023842288078856	0.0188299905850047	0.00132699933650033	NA	NA	0.0216617891691054	0.00377289811355094	0.000878099560950219	NA	0.000204599897700051	NA	4.18999790500105e-05	NA	0.00105669947165026	0.00524809737595131	0.0250316874841563	0.00384559807720096	0.0489310755344622	0.0474404762797619	0.000571799714100143	NA	0.000270499864750068	0.00576599711700144	0.028075485962257	NA	NA	NA	NA	NA	0.000864599567700216	NA	NA	0.000685999657000171	NA	NA	NA	NA	NA	NA	NA	NA	0.00615039692480154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000172799913600043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.5999952000024e-06	NA	NA	NA	NA	NA	NA	0.000776099611950194	0.00596699701650149	NA	0.000322099838950081	1.04999947500026e-05	0.00552309723845138	0.0182237908881046	0.000295299852350074	0.00211449894275053	0.000714999642500179	0.0232085883957058	NA	0.00101929949035025	NA	0.0028048985975507	NA	0.000428199785900107	0.0223872888063556	NA	NA	0.0172503913748043	0.0624072687963656	NA	NA	0.000543199728400136	0.0837163581418209	NA	0.000567199716400142	NA	NA	NA	NA	0.0084101957949021	0.00192889903555048	NA	0.000721899639050181	NA	0.0527399736300132
AK1371	0.00782999921700008	0.00261709973829003	0.0668891933110807	0.0446585955341404	0.0174670982532902	0.0308885969111403	NA	0.0198054980194502	0.0115900988409901	0.0108099989190001	0.000854499914550009	0.0477772952222705	NA	NA	0.0212023978797602	0.00269919973008003	NA	0.00329689967031003	0.0161757983824202	0.0265304973469503	0.0476892952310705	NA	NA	0.00926959907304009	0.00285769971423003	0.000164599983540002	NA	6.44999935500006e-05	0.00368969963103004	7.16999928300007e-05	0.000623299937670006	0.00095879990412001	0.00324539967546003	0.0108543989145601	0.00839269916073008	0.00371769962823004	0.0183490981650902	0.00552399944760005	NA	0.00115119988488001	2.10999978900002e-05	0.0216998978300102	0.0150424984957502	NA	NA	NA	3.17999968200003e-05	0.00330489966951003	8.93999910600009e-05	0.00183459981654002	7.28999927100007e-05	0.000391099960890004	NA	NA	NA	0.0098050990194901	0.00181929981807002	0.000916799908320009	NA	NA	NA	NA	NA	0.00101249989875001	NA	1.43999985600001e-05	0.000841799915820008	0.00620199937980006	NA	0.00708639929136007	0.00156669984333002	0.00352889964711004	0.000369799963020004	NA	0.000546099945390005	0.000408799959120004	NA	0.000309299969070003	NA	NA	0.00607789939221006	0.0195966980403302	0.000165799983420002	0.00503379949662005	NA	NA	0.000222699977730002	0.000708299929170007	0.0198987980101202	NA	NA	0.00271709972829003	0.000187299981270002	0.00195449980455002	0.00100419989958001	0.00283839971616003	0.00251159974884002	0.00139629986037001	0.000657099934290007	0.000248999975100002	0.00137229986277001	0.00468659953134005	0.0117374988262501	0.000343899965610003	0.00165639983436002	2.08999979100002e-05	0.00358449964155004	0.0256525974347403	0.000298799970120003	0.00098999990100001	0.000864999913500009	0.0268470973152903	0.0160843983915602	0.000210399978960002	0.00233299976670002	0.00301249969875003	0.0120804987919501	0.00176869982313002	0.00399029960097004	NA	NA	0.00388089961191004	0.0135334986466501	0.000877299912270009	NA	0.00255439974456003	0.00314709968529003	0.103434789656521	0.000646199935380006	NA	NA	0.00202739979726002	NA	0.000276499972350003	0.000474499952550005	0.000458999954100005	0.000203499979650002	NA	0.161097483890252
AK2351	0.00935859532070234	0.00793799603100198	NA	0.00482119758940121	0.0251183874408063	0.0214617892691054	0.00226869886565057	0.125945437027281	0.00785669607165196	0.00950809524595238	0.00260169869915065	0.0989938505030747	NA	0.00099989950005025	NA	NA	NA	0.0232350883824558	0.0246471876764062	0.0123147938426031	0.000357599821200089	NA	NA	0.0157282921358539	0.00498789750605125	0.000390399804800098	NA	0.000444599777700111	NA	5.57999721000139e-05	NA	0.000463699768150116	0.0064170967914516	0.0171018914490543	0.00356769821615089	0.0218769890615055	0.110200044899978	0.00031939984030008	NA	0.00250269874865063	0.00576659711670144	0.0286163856918072	NA	NA	NA	NA	NA	0.0015893992053004	NA	NA	0.00111679944160028	NA	NA	NA	NA	NA	NA	NA	NA	0.00648739675630162	NA	NA	NA	0.00409939795030102	NA	NA	NA	NA	NA	NA	NA	NA	0.0133068933465533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000188599905700047	NA	NA	NA	NA	NA	NA	0.00156379921810039	0.00422059788970105	0.000650899674550163	0.000886799556600222	5.24999737500131e-05	0.012129193935403	0.0113684943157528	0.000563899718050141	NA	0.00292849853575073	0.0307473846263077	NA	0.000606899696550152	NA	0.00467149766425117	0.000122499938750031	0.000885099557450221	0.0208417895791052	NA	NA	0.011868394065803	0.0900358549820725	NA	NA	0.000266999866500067	0.141911729044135	NA	0.000510799744600128	NA	NA	NA	NA	0.000133099933450033	0.00145279927360036	7.76999611500194e-05	0.00103219948390026	NA	0.0378155810922095
AK2371	0.0107029914376069	0.00169129864696108	0.0379860696111443	0.0587614529908376	0.0157370874103301	0.0145433883652893	NA	0.0239580808335353	0.0155270875783299	0.00793749365000508	0.00154919876064099	0.0685866451306839	NA	NA	0.00384959692032246	0.00244819804144157	NA	0.0100578919536864	0.0204887836089731	0.0307566753946597	0.0294770764183389	NA	NA	0.00829539336368531	0.00267699785840171	0.000113499909200073	NA	NA	0.00193539845168124	NA	0.000344999724000221	0.00107519913984069	0.00379449696440243	0.00717269426184459	0.00777379378096498	0.00310009751992198	0.0184322852541718	0.00306789754568196	NA	0.00323839740928207	3.82999693600245e-05	0.0235971811222551	0.0134902892077686	NA	NA	NA	NA	0.00387319690144248	0.000202099838320129	0.00387959689632248	0.000766899386480491	0.000368799704960236	NA	NA	NA	0.0104591916326467	0.00285609771512183	0.00173359861312111	NA	NA	NA	1.97999841600127e-05	NA	0.00239119808704153	NA	0.000262999789600168	0.00135909891272087	0.0166523866780907	NA	0.0115532907573674	0.00495739603408317	0.00806989354408517	0.00207869833704133	NA	0.000457199634240293	0.00051469958824033	NA	0.000363299709360233	NA	NA	0.0018784984972012	0.0184668852264918	0.000392599685920251	0.00356249715000228	NA	NA	0.000195499843600125	0.00832359334112533	0.0130004895996083	NA	NA	0.00245929803256157	0.000697599441920447	0.00228839816928146	0.000960899231280615	0.00158829872936102	0.00146769882584094	0.00247369802104158	0.000277299778160178	0.000154899876080099	0.00151219879024097	0.00615149507880394	0.0145948883240893	0.000326599738720209	0.00137829889736088	0.000129699896240083	0.00466549626760299	0.0103692917045666	0.000119099904720076	0.000273699781040175	0.00166419866864107	0.0169629864296109	0.0294555764355389	0.000292899765680187	0.00300919759264193	0.00273819780944175	0.00678369457304434	0.00151929878456097	0.00550819559344353	NA	NA	0.00391889686488251	0.00789009368792505	0.00243879804896156	NA	0.00197859841712127	0.00732379414096469	0.108051913558469	0.000820699343440525	NA	NA	0.00316659746672203	NA	0.000709099432720454	0.000284399772480182	6.27999497600402e-05	6.09999512000391e-05	NA	0.17262476190019
AM1310	0.0105957978808404	0.00237119952576009	0.0156198968760206	0.0584845883030823	0.0102063979587204	0.0126224974755005	NA	0.124442775111445	NA	0.0185855962828807	NA	0.0689023862195227	NA	NA	0.024970295005941	0.00103599979280004	NA	0.0280142943971411	0.0295160940967812	0.0138052972389406	0.0388140922371815	0.000552299889540022	NA	0.0131906973618605	0.00384789923042015	0.00191059961788008	NA	3.78999924200015e-05	NA	NA	0.000224699955060009	0.00153739969252006	0.000523899895220021	0.0153541969291606	0.00384939923012015	0.00357719928456014	0.0578417884316423	0.0147978970404206	NA	0.00267719946456011	0.000444499911100018	0.0114300977139805	0.026082794783441	NA	0.00139209972158006	NA	NA	0.00154849969030006	0.000339299932140014	0.00176169964766007	NA	NA	NA	NA	0.0152259969548006	NA	0.00152639969472006	0.00475429904914019	NA	NA	NA	NA	NA	0.00153839969232006	NA	0.00132419973516005	0.000206899958620008	0.0144009971198006	NA	NA	NA	NA	0.00209869958026008	NA	NA	NA	0.00423409915318017	0.00515659896868021	NA	NA	0.00135559972888005	0.00439899912020018	0.00169639966072007	0.000127499974500005	0.00049059990188002	NA	0.00049319990136002	0.00323739935252013	NA	NA	NA	0.00112589977482005	0.00314149937170013	0.00286639942672011	0.000911999817600036	NA	0.00139299972140006	0.00301649939670012	0.000549399890120022	0.00223449955310009	0.000474599905080019	9.49999810000038e-05	NA	0.00612149877570024	0.00024879995024001	0.00025109994978001	0.00298939940212012	0.00207279958544008	0.000113599977280005	0.000312699937460012	0.00192589961482008	0.00113709977258005	0.00383249923350015	0.000214999957000009	0.000452399909520018	0.00305229938954012	0.0139495972100806	0.00218309956338009	0.00972319805536039	NA	NA	0.00659559868088026	0.0225267954946409	NA	NA	0.00440269911946018	0.0396757920648416	0.108082978383404	0.00222629955474009	NA	NA	NA	NA	0.0148266970346606	0.00074689985062003	0.000605999878800024	0.00595309880938024	0.00051179989764002	0.0462799907440019
AM1314	NA	0.0002471	NA	0.0292336	0.003125	0.1290886	0.0070432	0.0468288	0.0020913	0.000154	0.0004817	0.1388527	NA	0.0014352	NA	0.0005918	NA	0.0264654	0.0168018	0.0193079	0.0100498	0.004357	NA	0.0584374	0.0022807	0.0428658	NA	0.0013133	NA	0.0047674	NA	0.003206	0.0007942	0.0008915	0.0149616	0.0063281	0.0252805	0.0006325	0.003829	NA	0.0009461	0.0068409	NA	NA	0.0002811	NA	NA	0.0011919	0.005083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0037205	NA	NA	NA	0.0020147	NA	NA	0.0017008	NA	0.0065948	0.0417749	NA	NA	NA	0.0013831	NA	3.29e-05	NA	NA	5.43e-05	0.0008825	0.0002373	7.66e-05	0.0010692	0.0002049	0.0004185	0.0024112	0.0805541	NA	0.0005093	NA	0.0013486	6.4e-05	0.0123992	0.0074231	NA	NA	0.0080525	0.0358696	5.76e-05	0.0060603	0.000201	0.0021667	2.31e-05	0.0136873	NA	NA	NA	NA	0.0081899	8.79e-05	NA	NA	NA	0.1445477
