"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Lactobacillus_delbrueckii"	"time"	"time"	"time"	5.80809699015263	2.7094505121052	0.0320614325649821	0.448860055909749	0.0320614325649821	0.352675758214803	NA	"prevalence"	138	7
"Lactobacillus_acidophilus"	"diet"	"rice:time"	"dietrice:time"	-1.41231731277143	0.935252443150951	0.131019928615985	0.493498802609937	0.244873635537432	0.673402497727938	NA	"prevalence"	138	41
"Lactobacillus_delbrueckii"	"diet"	"rice"	"dietrice"	9.7712468068335	6.63772091500289	0.140999657888553	0.493498802609937	0.140999657888553	0.516998745591363	NA	"prevalence"	138	7
"Lactobacillus_delbrueckii"	"diet"	"rice:time"	"dietrice:time"	-5.8081121384425	3.5177014045937	0.0987161057555391	0.493498802609937	0.0987161057555391	0.516998745591363	NA	"prevalence"	138	7
"Lactobacillus_acidophilus"	"diet"	"rice:time"	"dietrice:time"	-0.193097649439356	0.15633494257344	0.224559357304461	0.62876620045249	0.244873635537432	0.673402497727938	NA	"abundance"	138	41
"Lactobacillus_acidophilus"	"diet"	"rice"	"dietrice"	0.205638232738548	0.24191796611146	0.400773961512681	0.691429122490773	0.519404416835454	0.939114708193287	NA	"abundance"	138	41
"Lactobacillus_acidophilus"	"time"	"time"	"time"	0.0793078135780215	0.102610451991919	0.44449015017264	0.691429122490773	0.597618450668455	0.939114708193287	NA	"abundance"	138	41
"Lactobacillus_acidophilus"	"diet"	"rice"	"dietrice"	1.50731758299062	1.47477617287022	0.306749985095892	0.691429122490773	0.519404416835454	0.939114708193287	NA	"prevalence"	138	41
"Lactobacillus_acidophilus"	"time"	"time"	"time"	0.563051965118142	0.622415287962841	0.365664482051064	0.691429122490773	0.597618450668455	0.939114708193287	NA	"prevalence"	138	41
"Lactobacillus_gasseri"	"time"	"time"	"time"	-0.724167629593625	1.24964745295978	0.562253503473606	0.787154904863048	0.562253503473606	0.939114708193287	NA	"prevalence"	138	5
"Lactobacillus_gasseri"	"diet"	"rice"	"dietrice"	9.36767539188266	108.03842454081	0.930904502565977	0.993984120026925	0.930904502565977	0.993984120026925	NA	"prevalence"	138	5
"Lactobacillus_gasseri"	"diet"	"rice:time"	"dietrice:time"	-9.39865076849533	108.023678389263	0.930667165203743	0.993984120026925	0.930667165203743	0.993984120026925	NA	"prevalence"	138	5
"Lactobacillus_iners"	"diet"	"rice"	"dietrice"	7.47686798024368	991.645615855177	0.993984120026925	0.993984120026925	0.993984120026925	0.993984120026925	NA	"prevalence"	138	2
"Lactobacillus_iners"	"diet"	"rice:time"	"dietrice:time"	-7.5067209441001	991.645263819899	0.993960098677927	0.993984120026925	0.993960098677927	0.993984120026925	NA	"prevalence"	138	2
"Lactobacillus_delbrueckii"	"diet"	"rice"	"dietrice"	-2.29795178004514	11.5129011297489	0.850803644869514	NA	0.140999657888553	0.516998745591363	"Model may not have converged with 1 eigenvalue close to zero: 8.6e-11"	"abundance"	138	7
"Lactobacillus_delbrueckii"	"diet"	"rice:time"	"dietrice:time"	2.32931569855484	6.82644409447519	0.749518176046934	NA	0.0987161057555391	0.516998745591363	"Model may not have converged with 1 eigenvalue close to zero: 8.6e-11"	"abundance"	138	7
"Lactobacillus_delbrueckii"	"time"	"time"	"time"	-1.54615017832238	3.66769194464074	0.680255660413594	NA	0.0320614325649821	0.352675758214803	"Model may not have converged with 1 eigenvalue close to zero: 8.6e-11"	"abundance"	138	7
"Lactobacillus_gasseri"	"diet"	"rice"	"dietrice"	NA	NA	NA	NA	0.930904502565977	0.993984120026925	"number of levels of each grouping factor must be < number of observations (problems: id)"	"abundance"	138	5
"Lactobacillus_gasseri"	"diet"	"rice:time"	"dietrice:time"	NA	NA	NA	NA	0.930667165203743	0.993984120026925	"number of levels of each grouping factor must be < number of observations (problems: id)"	"abundance"	138	5
"Lactobacillus_gasseri"	"time"	"time"	"time"	NA	NA	NA	NA	0.562253503473606	0.939114708193287	"number of levels of each grouping factor must be < number of observations (problems: id)"	"abundance"	138	5
"Lactobacillus_iners"	"diet"	"rice"	"dietrice"	NA	NA	NA	NA	0.993984120026925	0.993984120026925	"number of levels of each grouping factor must be < number of observations (problems: id)"	"abundance"	138	2
"Lactobacillus_iners"	"diet"	"rice:time"	"dietrice:time"	NA	NA	NA	NA	0.993960098677927	0.993984120026925	"number of levels of each grouping factor must be < number of observations (problems: id)"	"abundance"	138	2
"Lactobacillus_iners"	"time"	"time"	"time"	NA	NA	NA	NA	NA	NA	"number of levels of each grouping factor must be < number of observations (problems: id)"	"abundance"	138	2
"Lactobacillus_iners"	"time"	"time"	"time"	-20.7585672860703	313.586138223391	0.947220716852779	NA	NA	NA	"A large coefficient (>15 in absolute value) or small 
                p-value (< 10^-10) was obtained from a feature present 
                in <5% of samples. Check this is intended."	"prevalence"	138	2
