feature	Lactobacillus_acidophilus	Lactobacillus_delbrueckii	Lactobacillus_gasseri	Lactobacillus_iners
AE1332	NA	NA	NA	NA
AK1371	NA	NA	NA	NA
AM1310	0.651105651105651	0.348894348894349	NA	NA
AP1348	NA	NA	NA	NA
AT1302	NA	NA	NA	NA
EH1307	NA	NA	NA	NA
EP1341	1	NA	NA	NA
HP1337	NA	NA	NA	NA
JE1361	NA	NA	NA	NA
JH1373	NA	NA	NA	NA
JL1316	NA	NA	NA	NA
JM1360	NA	NA	NA	NA
JP1303	1	NA	NA	NA
JS1364	NA	NA	NA	NA
JV1357	NA	NA	NA	NA
KH1326	NA	NA	NA	NA
KK1376	NA	NA	0.0743731406714832	0.849553761155971
KL1367	1	NA	NA	NA
LK1306	NA	NA	NA	NA
MK1353	NA	NA	NA	NA
ML1319	NA	NA	NA	NA
ML1375	0.865176151761518	NA	0.134823848238482	NA
MM1317	1	NA	NA	NA
MM1328	1	NA	NA	NA
MR1334	NA	NA	NA	NA
MS1330	1	NA	NA	NA
MV1301	1	NA	NA	NA
PH1308	NA	NA	NA	NA
PK1324	NA	NA	NA	NA
RA1309	NA	NA	NA	NA
RS1345	NA	NA	NA	NA
SO1346	1	NA	NA	NA
TJ1356	NA	NA	NA	NA
TK1342	NA	NA	NA	NA
TL1338	1	NA	NA	NA
AE2332	NA	NA	NA	NA
AK2371	0.399586776859504	0.600413223140496	NA	NA
AM2310	1	NA	NA	NA
AP2348	NA	NA	NA	NA
AT2302	NA	NA	NA	NA
EH2307	NA	NA	NA	NA
EP2341	1	NA	NA	NA
HP2337	NA	NA	NA	NA
JE2361	NA	NA	NA	NA
JH2373	NA	NA	NA	NA
JL2316	NA	NA	NA	NA
JM2360	NA	NA	NA	NA
JP2303	NA	NA	NA	NA
JS2364	NA	NA	NA	NA
JV2357	NA	NA	NA	NA
KH2326	NA	NA	NA	NA
KK2376	NA	NA	NA	NA
KL2367	NA	NA	NA	NA
LK2306	NA	NA	NA	NA
MK2353	NA	NA	NA	NA
ML2319	NA	NA	NA	NA
ML2375	NA	NA	NA	NA
MM2317	1	NA	NA	NA
MM2328	1	NA	NA	NA
MR2334	NA	NA	NA	NA
MS2330	NA	NA	NA	NA
MV2301	1	NA	NA	NA
PH2308	NA	NA	NA	NA
PK2324	NA	NA	NA	NA
RA2309	NA	NA	NA	NA
RS2345	NA	NA	NA	NA
SO2346	NA	NA	NA	NA
TJ2356	NA	NA	NA	NA
TK2342	NA	NA	NA	NA
TL2338	1	NA	NA	NA
AH1343	NA	NA	NA	NA
AK1351	NA	NA	NA	NA
AM1314	1	NA	NA	NA
AN1355	1	NA	NA	NA
AS1315	NA	NA	NA	NA
EK1349	NA	NA	NA	NA
ET1331	NA	NA	NA	NA
HL1333	1	NA	NA	NA
HN1327	NA	NA	NA	NA
HT1321	NA	NA	NA	NA
IM1354	1	NA	NA	NA
JA1369	NA	NA	NA	NA
JK1312	NA	NA	NA	NA
KK1350	NA	NA	NA	NA
KM1329	0.691639522258415	NA	0.308360477741585	NA
LT1311	NA	NA	NA	NA
MK1305	NA	NA	NA	1
MO1363	0.786654135338346	NA	0.213345864661654	NA
MR1322	1	NA	NA	NA
MS1370	NA	NA	NA	NA
NK1335	NA	NA	NA	NA
PH1339	1	NA	NA	NA
PH1359	NA	NA	NA	NA
PK1313	1	NA	NA	NA
PT1325	NA	NA	NA	NA
RK1372	NA	NA	NA	NA
RS1366	1	NA	NA	NA
SH1365	NA	NA	NA	NA
SK1377	NA	NA	NA	NA
SN1320	NA	NA	NA	NA
SS1323	NA	1	NA	NA
SV1318	NA	NA	NA	NA
TS1358	NA	NA	NA	NA
VK1336	NA	NA	NA	NA
AH2343	NA	NA	NA	NA
AK2351	NA	NA	NA	NA
AM2314	1	NA	NA	NA
AN2355	NA	NA	NA	NA
AS2315	1	NA	NA	NA
EK2349	0.997381712842606	0.00261828715739434	NA	NA
ET2331	1	NA	NA	NA
HL2333	1	NA	NA	NA
HN2327	1	NA	NA	NA
HT2321	1	NA	NA	NA
IM2354	NA	NA	NA	NA
JA2369	NA	NA	NA	NA
JK2312	NA	NA	NA	NA
KK2350	NA	NA	NA	NA
KM2329	1	NA	NA	NA
LT2311	NA	NA	NA	NA
MK2305	NA	NA	NA	NA
MO2363	NA	NA	NA	NA
MR2322	0.928674928091005	0.0713250719089946	NA	NA
MS2370	1	NA	NA	NA
NK2335	NA	NA	NA	NA
PH2339	NA	1	NA	NA
PH2359	1	NA	NA	NA
PK2313	1	NA	NA	NA
PT2325	NA	NA	NA	NA
RK2372	NA	NA	NA	NA
RS2366	NA	NA	NA	NA
SH2365	NA	NA	NA	NA
SK2377	NA	NA	NA	NA
SN2320	NA	NA	NA	NA
SS2323	NA	1	NA	NA
SV2318	NA	NA	1	NA
TS2358	1	NA	NA	NA
VK2336	NA	NA	NA	NA
