"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Actinobacteria"	"diet"	"oat"	"dietoat"	-0.167233081679712	0.239232386629924	0.486425139786583	0.920206347055957	0.486425139786583	0.93352168539445	NA	"abundance"	138	138
"Actinobacteria"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	0.074498163207661	0.167899305066306	0.658683802742395	0.920206347055957	0.658683802742395	0.93352168539445	NA	"abundance"	138	138
"Actinobacteria"	"timepoint"	"after"	"timepointafter"	-0.112211407497603	0.117859287621056	0.344478822656672	0.920206347055957	0.344478822656672	0.93352168539445	NA	"abundance"	138	138
"Bacteria_unclassified"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-0.559586975443188	0.404934786317051	0.175642228738038	0.920206347055957	0.320434264960011	0.93352168539445	NA	"abundance"	138	79
"Bacteria_unclassified"	"timepoint"	"after"	"timepointafter"	0.191851866078653	0.262967362997476	0.470463765156911	0.920206347055957	0.719591375988205	0.93352168539445	NA	"abundance"	138	79
"Bacteroidetes"	"diet"	"oat"	"dietoat"	0.312505280536139	0.223191895984149	0.164222697346749	0.920206347055957	0.164222697346749	0.93352168539445	NA	"abundance"	138	138
"Bacteroidetes"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-0.209180838242751	0.236107287525804	0.378809715167828	0.920206347055957	0.378809715167828	0.93352168539445	NA	"abundance"	138	138
"Bacteroidetes"	"timepoint"	"after"	"timepointafter"	0.194028212928073	0.165738843879917	0.245871891838687	0.920206347055957	0.245871891838687	0.93352168539445	NA	"abundance"	138	138
"Candidatus_Melainabacteria"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	0.472298684466922	1.11180845889534	0.674240090983974	0.920206347055957	0.89388048167787	0.93352168539445	NA	"abundance"	138	57
"Candidatus_Melainabacteria"	"timepoint"	"after"	"timepointafter"	0.315429930629642	0.776121647900601	0.687596888429871	0.920206347055957	0.902404295881301	0.93352168539445	NA	"abundance"	138	57
"Euryarchaeota"	"diet"	"oat"	"dietoat"	1.23952641199342	0.940897846527961	0.195328893554799	0.920206347055957	0.226444805750227	0.93352168539445	NA	"abundance"	138	48
"Euryarchaeota"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-0.571138125438606	1.07787262569607	0.601505654972616	0.920206347055957	0.841202256981197	0.93352168539445	NA	"abundance"	138	48
"Euryarchaeota"	"timepoint"	"after"	"timepointafter"	0.294604820786495	0.622310050597753	0.640587897640378	0.920206347055957	0.870822940677436	0.93352168539445	NA	"abundance"	138	48
"Firmicutes"	"diet"	"oat"	"dietoat"	0.0243938456370461	0.0612395479454413	0.691212761529773	0.920206347055957	0.691212761529773	0.93352168539445	NA	"abundance"	138	138
"Firmicutes"	"timepoint"	"after"	"timepointafter"	-0.0177756137871857	0.0405276995749297	0.662359531144723	0.920206347055957	0.662359531144723	0.93352168539445	NA	"abundance"	138	138
"Other"	"diet"	"oat"	"dietoat"	0.445217915890995	0.636021540464616	0.485854245754947	0.920206347055957	0.735654143391785	0.93352168539445	NA	"abundance"	138	110
"Other"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-0.513038350080617	0.589151955280772	0.387969970179829	0.920206347055957	0.595143802309281	0.93352168539445	NA	"abundance"	138	110
"Proteobacteria"	"diet"	"oat"	"dietoat"	-0.198889306256953	0.364730333518791	0.586878422689977	0.920206347055957	0.586878422689977	0.93352168539445	NA	"abundance"	138	138
"Proteobacteria"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-0.107873204354007	0.28816093795555	0.709325725855633	0.920206347055957	0.709325725855633	0.93352168539445	NA	"abundance"	138	138
"Proteobacteria"	"timepoint"	"after"	"timepointafter"	0.151209781304169	0.202278638701001	0.457358077608187	0.920206347055957	0.457358077608187	0.93352168539445	NA	"abundance"	138	138
"Tenericutes"	"diet"	"oat"	"dietoat"	-1.27143800570335	1.00612981895745	0.212559040578699	0.920206347055957	0.379936735425661	0.93352168539445	NA	"abundance"	138	58
"Tenericutes"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	0.910596134715409	1.11198827825644	0.420300178412356	0.920206347055957	0.663948116851254	0.93352168539445	NA	"abundance"	138	58
"Tenericutes"	"timepoint"	"after"	"timepointafter"	-0.397465086164351	0.740517663356135	0.595757619544928	0.920206347055957	0.836588097844017	0.93352168539445	NA	"abundance"	138	58
