feature	Actinobacteria	Bacteria_unclassified	Bacteroidetes	Candidatus_Melainabacteria	Euryarchaeota	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
AE1332	-1.94365813224237	NA	-2.19984222319582	NA	NA	-0.981284930946616	-8.31879191255578	NA	-6.34658229889047	-11.1710146478094
AE2332	-2.66799000238543	NA	-2.96763788559713	NA	NA	-0.503480756046861	-6.74678676364337	NA	NA	-13.2255912447196
AH1343	-4.49528971842037	NA	-3.05485978776908	-6.698742952798	NA	-0.361152112580775	-5.44465186437874	NA	-5.38358960277716	-12.020476237737
AH2343	-4.11530165202861	NA	-3.96470870516959	-7.06831077604351	NA	-0.278686822050267	-6.39956509011945	NA	-4.85281242949451	-16.7457013026651
AK1351	-4.33771718608197	NA	-2.05471425207492	NA	NA	-0.530689020731656	-5.82632369696208	NA	NA	NA
AK1371	-4.10647825561285	-11.6587056903918	-3.28877803188783	-10.5762176171689	-5.95819421422824	-0.477262390644402	-4.75761056017268	-11.3700898220927	-3.90208304342031	NA
AK2351	-4.65519040014995	NA	-1.87909622975746	NA	NA	-0.552748237667383	-7.24100378454269	NA	NA	-12.9293168389401
AK2371	-3.89073421415303	-11.4265521679516	-2.97546132826655	-10.7501689617404	-5.08531540345027	-0.554394574468394	-4.15806731248159	-13.348110813349	-4.71838574457501	NA
AM1310	-4.33465409201058	-6.73455187017949	-2.07297949979842	-11.5487287133879	-8.02749878131701	-0.562668346908532	-7.55601349457505	-13.6912545285294	-6.00047126106722	-9.75689279817491
AM1314	-3.89664712383667	NA	-3.00754015047622	-7.67253152823421	NA	-0.326144213930969	-7.5901887407359	NA	NA	-10.3744878502189
AM2310	-2.74903203012627	-5.73661111931439	-3.03012359938102	-14.9225792090188	-7.83663260021583	-0.533859312591177	-7.31018000182591	-15.9961082444408	-6.95966524620057	-10.6650156743036
AM2314	-4.41627234926611	NA	-3.05185864027403	-9.12188096010492	NA	-0.27958630411113	-7.51047693792488	NA	NA	-9.40790875169165
AN1355	-4.10477900030035	NA	-1.03571731284984	NA	NA	-1.3104482691075	-5.69682568018941	NA	-5.05712477913052	-9.29349444360442
AN2355	-4.98569441088578	NA	-1.75766057397759	NA	NA	-0.713618574987666	-6.49017996289936	NA	-4.29640538470522	-10.1080415231239
AP1348	-2.19572978419382	NA	-3.87874384993166	NA	NA	-0.497164051298494	-7.83015106264378	NA	-10.2092734727914	NA
AP2348	-3.37271533636483	-13.4688612415759	-2.56474720536229	NA	NA	-0.459057017256569	-7.71542843582091	NA	-8.87303502204443	NA
