feature	Actinobacteria	Bacteria_unclassified	Bacteroidetes	Candidatus_Melainabacteria	Euryarchaeota	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
AE1332	0.259956451991291	NA	0.217661443532289	NA	NA	0.50652840130568	0.00313180062636013	NA	0.0122882024576405	0.000433700086740018
AK1371	0.0580532941946706	0.000309299969070003	0.102324389767561	0.000654999934500007	0.0160843983915602	0.718339428166057	0.0369671963032804	0.000377799962220004	0.0668891933110807	NA
AM1310	0.049560890087822	0.00939069812186038	0.23766815246637	0.000333799933240013	0.00383249923350015	0.677048764590247	0.00531389893722021	7.5599984880003e-05	0.0156198968760206	0.00115579976884005
AP1348	0.218282778171722	NA	0.0679800932019907	NA	NA	0.708498129150187	0.00439429956057004	NA	0.000844699915530008	NA
AT1302	0.055487816646345	0.00298900089670027	0.191212857363857	NA	0.0184827055448117	0.696360708908212	0.0131854039556212	0.00626580187974057	0.0150603045180914	0.000955400286620087
EH1307	0.00760239467832373	0.000476999666100234	0.497844651508744	NA	0.00194729863689095	0.441042991269906	0.0368195742262981	NA	0.0140010901992369	0.00026499981450013
EP1341	0.0705852141170428	0.0121685024337005	0.300368160073632	0.000643900128780026	NA	0.570498714099743	0.0165700033140007	0.000887600177520035	0.0275451055090211	0.000732800146560029
HP1337	0.0501902050190205	NA	0.421073442107344	NA	NA	0.524626352462635	0.00382400038240004	NA	NA	0.000286000028600003
JE1361	0.276397061801469	1.66999916500042e-05	0.139313830343085	0.00048299975850012	0.0306471846764076	0.504529647735176	0.0391621804189098	0.0015901992049004	0.00773149613425193	0.000128699935650032
JH1373	0.119711688028831	NA	0.204799879520012	0.000146199985380001	0.00293599970640003	0.638668536133146	0.0198677980132202	0.0118714988128501	0.00199839980016002	NA
JL1316	0.0720628423497261	NA	0.287317370146104	NA	NA	0.620246503802797	0.00637739489808408	0.000413399669280264	0.0120512903589677	0.00153119877504098
JM1360	0.203518676129456	0.000136899849410166	0.129996557003787	NA	0.0286844684470847	0.542393603367036	0.0476983475318177	NA	0.0332952633752103	0.0142761842961973
JP1303	0.0295544118217647	0.0068820027528011	0.109052843621137	NA	NA	0.845569438227775	0.00784590313836125	NA	0.00109540043816017	NA
JS1364	0.146018270796346	NA	0.0898068820386236	NA	NA	0.74607275078545	0.00199629960074008	NA	0.0161057967788407	NA
JV1357	0.0589452941054706	0.000309799969020003	0.185724181427582	0.0166365983363402	0.000554399944560006	0.730106226989377	0.00471329952867005	NA	4.04999959500004e-05	0.00296969970303003
