"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"Ruminococcus_bicirculans"	"duration"	"Week 6"	"durationWeek 6"	-7.18867315157801	1.27712100713112	1.81455780069536e-08	8.09292779110131e-06	3.62911556846451e-08	8.23809234041445e-06	"prevalence"	70	61
"Candidatus_Cibionibacter_quicibialis"	"duration"	"Week 6"	"durationWeek 6"	-1.72545286341003	0.288386656905733	4.75070339900413e-07	0.000105940685797792	9.50140454108998e-07	0.000107840941541371	"abundance"	70	62
"Eubacterium_rectale"	"duration"	"Week 6"	"durationWeek 6"	-1.25117919350652	0.294856174290904	7.15740364570115e-05	0.0106406734199424	0.000143142950071328	0.00853625394023301	"abundance"	70	59
"Bifidobacterium_longum"	"duration"	"Week 6"	"durationWeek 6"	-1.20853516804365	0.312978102775124	0.000150418571634062	0.0167716707371979	0.000150418571634062	0.00853625394023301	"abundance"	70	68
"Clostridiaceae_bacterium"	"duration"	"Week 6"	"durationWeek 6"	0.912166128943256	0.217028976620939	0.00225043979867018	0.175407545614219	0.00225043979867018	0.102169966859626	"abundance"	70	69
"Eubacterium_rectale"	"duration"	"Week 6"	"durationWeek 6"	6.77074783098663	2.22665593932314	0.00235974276611057	0.175407545614219	0.000143142950071328	0.00853625394023301	"prevalence"	70	59
"Ruminococcus_bicirculans"	"duration"	"Week 6"	"durationWeek 6"	0.157700794690364	0.569853147816838	0.993399922110882	1	3.62911556846451e-08	8.23809234041445e-06	"abundance"	70	61
"Candidatus_Cibionibacter_quicibialis"	"duration"	"Week 6"	"durationWeek 6"	1.12543263782152e-06	2.43560652652667	0.999999631317573	1	9.50140454108998e-07	0.000107840941541371	"prevalence"	70	62
"Bifidobacterium_longum"	"duration"	"Week 6"	"durationWeek 6"	-7.9287929667807e-07	4.18089785304947	0.999999848686533	1	0.000150418571634062	0.00853625394023301	"prevalence"	70	68
"Clostridiaceae_bacterium"	"duration"	"Week 6"	"durationWeek 6"	-21.1441237850118	1182.41362403302	0.98573285143443	NA	0.00225043979867018	0.102169966859626	"prevalence"	70	69
