feature	Ruminococcus_gnavus
AE1332	1
AK1371	NA
AM1310	NA
AP1348	NA
AT1302	1
EH1307	1
EP1341	NA
HP1337	1
JE1361	NA
JH1373	1
JL1316	NA
JM1360	NA
JP1303	NA
JS1364	1
JV1357	NA
KH1326	1
KK1376	1
KL1367	NA
LK1306	1
MK1353	1
ML1319	NA
ML1375	NA
MM1317	NA
MM1328	NA
MR1334	NA
MS1330	NA
MV1301	1
PH1308	1
PK1324	NA
RA1309	1
RS1345	1
SO1346	1
TJ1356	1
TK1342	NA
TL1338	1
AE2332	1
AK2371	1
AM2310	NA
AP2348	NA
AT2302	1
EH2307	1
EP2341	NA
HP2337	1
JE2361	NA
JH2373	1
JL2316	NA
JM2360	NA
JP2303	1
JS2364	1
JV2357	NA
KH2326	1
KK2376	1
KL2367	1
LK2306	1
MK2353	1
ML2319	NA
ML2375	1
MM2317	NA
MM2328	NA
MR2334	NA
MS2330	NA
MV2301	1
PH2308	1
PK2324	1
RA2309	1
RS2345	1
SO2346	1
TJ2356	NA
TK2342	NA
TL2338	1
AH1343	1
AK1351	1
AM1314	1
AN1355	1
AS1315	1
EK1349	NA
ET1331	1
HL1333	1
HN1327	1
HT1321	1
IM1354	1
JA1369	1
JK1312	1
KK1350	1
KM1329	1
LT1311	1
MK1305	NA
MO1363	NA
MR1322	1
MS1370	1
NK1335	1
PH1339	NA
PH1359	NA
PK1313	1
PT1325	NA
RK1372	NA
RS1366	1
SH1365	1
SK1377	NA
SN1320	NA
SS1323	1
SV1318	NA
TS1358	NA
VK1336	1
AH2343	1
AK2351	1
AM2314	1
AN2355	1
AS2315	1
EK2349	NA
ET2331	1
HL2333	NA
HN2327	NA
HT2321	1
IM2354	1
JA2369	1
JK2312	1
KK2350	1
KM2329	NA
LT2311	1
MK2305	NA
MO2363	NA
MR2322	1
MS2370	1
NK2335	1
PH2339	NA
PH2359	NA
PK2313	1
PT2325	NA
RK2372	NA
RS2366	1
SH2365	1
SK2377	NA
SN2320	NA
SS2323	1
SV2318	1
TS2358	NA
VK2336	NA
