"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Candidatus_Cibionibacter_quicibialis"	"timepoint"	"after"	"timepointafter"	-1.72545286341003	0.250639495612701	4.58616804058431e-09	5.81067490742032e-06	4.58616804058431e-09	2.95807838617688e-06	NA	"abundance"	138	120
"Bifidobacterium_longum"	"timepoint"	"after"	"timepointafter"	-1.20853516804366	0.269215928924818	3.55926765120597e-05	0.0225479605703898	3.55926765120597e-05	0.0114786381751393	NA	"abundance"	138	119
"Evtepia_gabavorous"	"diet"	"oat"	"dietoat"	-16.6153576506622	4.14908056371181	6.21256986182772e-05	0.0262377533831191	0.000124247537634126	0.026713220591337	NA	"prevalence"	138	67
"Clostridiaceae_bacterium"	"timepoint"	"after"	"timepointafter"	0.913054034499209	0.236619488919559	0.000258663856976043	0.0507626255834179	0.00051726080696118	0.045217268180884	NA	"abundance"	138	137
"Clostridiales_bacterium_KLE1615"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-1.75611114922685	0.437129570633042	0.000168923901153553	0.0507626255834179	0.000168923901153553	0.0272389790610105	NA	"abundance"	138	122
"GGB33469_SGB15236"	"diet"	"oat"	"dietoat"	-16.3870884383647	4.43543028670884	0.000220243427942847	0.0507626255834179	0.000440438348718142	0.045217268180884	NA	"prevalence"	138	74
"Phascolarctobacterium_faecium"	"diet"	"oat"	"dietoat"	16.9184337018839	4.65724431522833	0.00028045649493601	0.0507626255834179	0.000560834334026469	0.045217268180884	NA	"prevalence"	138	58
"GGB34797_SGB14322"	"timepoint"	"after"	"timepointafter"	1.18175014615374	0.29621197947946	0.000346591412342439	0.0548914149297338	0.000346591412342439	0.0447102921921746	NA	"abundance"	138	70
"GGB34797_SGB14322"	"diet"	"oat"	"dietoat"	-15.9789681133525	4.63856182508022	0.000571459128460122	0.0804487461954417	0.00114259169138474	0.0818857378825734	NA	"prevalence"	138	70
"Clostridiaceae_bacterium"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-1.20136694382128	0.335196936296374	0.000638268889498959	0.0808686682995181	0.00127613039182262	0.0823104102725587	NA	"abundance"	138	137
"GGB34797_SGB14322"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-1.70506034741336	0.468352262691075	0.000921462362218756	0.106135710266469	0.00184207563155253	0.108012616577398	NA	"abundance"	138	70
"Eubacterium_rectale"	"timepoint"	"after"	"timepointafter"	-1.32141041252888	0.384071670209627	0.00108297123548027	0.114343712946125	0.00216476964426367	0.116356368379172	NA	"abundance"	138	124
"Candidatus_Cibionibacter_quicibialis"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	1.10459429934274	0.360517320147292	0.00331169152818369	0.254113308239369	0.00661241575558955	0.274428008274611	NA	"abundance"	138	120
"Firmicutes_bacterium_AF16_15"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-1.28379896305404	0.411937363503791	0.00282631010804577	0.254113308239369	0.0056446321872647	0.260056268627552	NA	"abundance"	138	122
"GGB34797_SGB14322"	"diet"	"oat"	"dietoat"	1.4489144199675	0.469988078625581	0.00325999491392134	0.254113308239369	0.00114259169138474	0.0818857378825734	NA	"abundance"	138	70
"Lacrimispora_amygdalina"	"timepoint"	"after"	"timepointafter"	1.78355870295848	0.578069468822676	0.00340957082878396	0.254113308239369	0.00680751648433142	0.274428008274611	NA	"abundance"	138	99
"Ruminococcus_sp_BSD2780120874_150323_B10"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-9.01609320361837	1.61439973134175	0.00268042685133013	0.254113308239369	0.00535366901455493	0.260056268627552	NA	"abundance"	138	18
"GGB79973_SGB14341"	"timepoint"	"after"	"timepointafter"	1.23291749249992	0.398357136691518	0.00480037096451069	0.337892778446392	0.00957769836762447	0.363389143948105	NA	"abundance"	138	54
"Blautia_glucerasea"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-1.31703235791475	0.450115275556263	0.00526511562327135	0.351100078667621	0.0105025098040163	0.376339934643917	NA	"abundance"	138	107
"Clostridiales_bacterium"	"diet"	"oat"	"dietoat"	1.92382768586768	0.678220185290346	0.00566016484306937	0.358571442808445	0.011288292220088	0.38320781483983	NA	"abundance"	138	108
"GGB79973_SGB14341"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-1.70813094063238	0.574093735681442	0.00640604975574869	0.368930229115163	0.0127710620380243	0.392254048310745	NA	"abundance"	138	54
"Roseburia_inulinivorans"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-1.9643163493657	0.693389153554747	0.00636241880698545	0.368930229115163	0.0126843572408954	0.392254048310745	NA	"abundance"	138	123
"GGB2982_SGB3964"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-1.56615652464826	0.550406903142855	0.00689268194334722	0.379696870531345	0.0137378548223223	0.402768925472631	NA	"abundance"	138	86
"Bacteroides_cellulosilyticus"	"timepoint"	"after"	"timepointafter"	1.06042679471641	0.38376699589406	0.00906296877584528	0.46173452255937	0.0180438001486586	0.487473832302273	NA	"abundance"	138	74
"Firmicutes_bacterium_AF16_15"	"timepoint"	"after"	"timepointafter"	0.791950656577247	0.293661568760068	0.00911078379162135	0.46173452255937	0.018138561201945	0.487473832302273	NA	"abundance"	138	122
"GGB14025_SGB14906"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-1.80677302763594	0.665880075461514	0.0097789942204355	0.476537910665069	0.0194623597129077	0.502128880593019	NA	"abundance"	138	87
"Alistipes_communis"	"timepoint"	"after"	"timepointafter"	-0.944542204727606	0.352335326061087	0.0107260158462125	0.485352217041117	0.0213369842764919	0.509716846605083	NA	"abundance"	138	87
"GGB33512_SGB15203"	"timepoint"	"after"	"timepointafter"	-1.51551576884983	0.556192716066418	0.0105015974437891	0.485352217041117	0.0208929113387068	0.509716846605083	NA	"abundance"	138	73
"Bifidobacterium_adolescentis"	"timepoint"	"after"	"timepointafter"	-1.19380088136188	0.476416964553873	0.0157387512802052	0.564347601739342	0.0312297942685502	0.554580426503566	NA	"abundance"	138	98
"Bifidobacterium_pseudocatenulatum"	"diet"	"oat"	"dietoat"	-2.90575193647732	1.10169835571838	0.0144081244134918	0.564347601739342	0.0286086547778689	0.554434766652801	NA	"abundance"	138	38
"Clostridiales_bacterium_KLE1615"	"diet"	"oat"	"dietoat"	1.26769553231891	0.504949792062425	0.0139525885270241	0.564347601739342	0.0277105023274438	0.554434766652801	NA	"abundance"	138	122
"GGB14025_SGB14906"	"timepoint"	"after"	"timepointafter"	1.19767026262929	0.46255071531357	0.0134543456845215	0.564347601739342	0.0267276719512444	0.554434766652801	NA	"abundance"	138	87
"GGB79973_SGB14341"	"diet"	"oat"	"dietoat"	2.73895251011889	1.05580924312068	0.0147213687018679	0.564347601739342	0.0292260187072794	0.554434766652801	NA	"abundance"	138	54
"GGB9758_SGB15368"	"diet"	"oat"	"dietoat"	1.98344726203232	0.799441497325479	0.0160351331196656	0.564347601739342	0.0318131407451658	0.554580426503566	NA	"abundance"	138	74
"Lacrimispora_amygdalina"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-1.98990535096085	0.790537757097655	0.0154314676031213	0.564347601739342	0.0306248050138565	0.554580426503566	NA	"abundance"	138	99
"GGB2982_SGB3964"	"diet"	"oat"	"dietoat"	-8.85139237097912	3.61199748848586	0.0142636842619044	0.564347601739342	0.0283239158350856	0.554434766652801	NA	"prevalence"	138	86
"Ruminococcus_bicirculans"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	6.92212986593966	2.89829761816586	0.0169245213803015	0.579550502401135	0.0335626033366507	0.558246421436368	NA	"prevalence"	138	109
"GGB9345_SGB14311"	"timepoint"	"after"	"timepointafter"	-1.56620648147167	0.61698873111369	0.0175897021056855	0.579939152069323	0.0348700065912042	0.558246421436368	NA	"abundance"	138	59
