"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"Candidatus_Cibionibacter_quicibialis"	"duration"	"Week 6"	"durationWeek 6"	-1.71400178158395	0.248974318734798	7.71096454750915e-10	9.78521401078911e-07	7.71096454750915e-10	4.9735721331434e-07	"abundance"	140	122
"Bifidobacterium_longum"	"duration"	"Week 6"	"durationWeek 6"	-1.19638875879623	0.268163572294098	6.49145280552831e-06	0.00411882680510771	6.49145280552831e-06	0.00209349352978288	"abundance"	140	121
"GGB33469_SGB15236"	"diet"	"oat"	"dietoat"	-16.8404813717594	4.20554921978024	6.21888387914874e-05	0.0263058788087992	0.000124373810131304	0.0267403691782305	"prevalence"	140	75
"Evtepia_gabavorous"	"diet"	"oat"	"dietoat"	-16.2925841477813	4.20969439076557	0.000108722272270196	0.0344921408777198	0.000217432724007905	0.0350610267462747	"prevalence"	140	67
"Eubacterium_rectale"	"duration"	"Week 6"	"durationWeek 6"	-1.33123610624495	0.38201992508061	0.000270861268690547	0.0687445899936609	0.000541649171554217	0.069872743130494	"abundance"	140	126
"Candidatus_Cibionibacter_quicibialis"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	1.09609094391534	0.358079264928108	0.000436137362121842	0.0922430520887696	0.000872084508445046	0.0937490846578424	"abundance"	140	122
"Clostridiales_bacterium_KLE1615"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-1.74524572031425	0.434913110176493	0.0018268147454398	0.311275702801944	0.0018268147454398	0.158213418681839	"abundance"	140	124
"GGB34797_SGB14322"	"duration"	"Week 6"	"durationWeek 6"	1.18175014615374	0.295636967819877	0.00196233697589878	0.311275702801944	0.00196233697589878	0.158213418681839	"abundance"	140	71
"Eubacterium_rectale"	"duration"	"Week 6"	"durationWeek 6"	4.6336985055451	2.66436124211108	0.0820100547524226	0.841342253545156	0.000541649171554217	0.069872743130494	"prevalence"	140	126
"Evtepia_gabavorous"	"diet"	"oat"	"dietoat"	-0.118358732508427	0.385511989009881	0.406912791097215	1	0.000217432724007905	0.0350610267462747	"abundance"	140	67
"GGB33469_SGB15236"	"diet"	"oat"	"dietoat"	-0.413033526807598	0.689537100130897	0.372734578771473	1	0.000124373810131304	0.0267403691782305	"abundance"	140	75
"Candidatus_Cibionibacter_quicibialis"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-0.000762015464030148	2.87661581811952	0.999788640400674	1	0.000872084508445046	0.0937490846578424	"prevalence"	140	122
"Bifidobacterium_longum"	"duration"	"Week 6"	"durationWeek 6"	-0.0264833859409755	3.91145084716373	0.994597778640583	1	6.49145280552831e-06	0.00209349352978288	"prevalence"	140	121
"Candidatus_Cibionibacter_quicibialis"	"duration"	"Week 6"	"durationWeek 6"	-0.00685397782687669	2.13999237084527	0.997444535871678	1	7.71096454750915e-10	4.9735721331434e-07	"prevalence"	140	122
"Clostridiales_bacterium_KLE1615"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-0.0021597632220439	3.41650312450527	0.99949561245745	1	0.0018268147454398	0.158213418681839	"prevalence"	140	124
"GGB34797_SGB14322"	"duration"	"Week 6"	"durationWeek 6"	0.0870064696124822	0.940064643498416	0.926258120554989	1	0.00196233697589878	0.158213418681839	"prevalence"	140	71
