"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"UNINTEGRATED"	"diet"	"time"	"diet:time"	0.00179898891490327	0.00462518941126805	0	0	0	0	"abundance"	140	140
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis"	"diet"	"time"	"diet:time"	0.0180775476323517	0.0115096446310244	8.59459725610634e-10	3.11356474796964e-05	8.59459725610634e-10	1.83864219099883e-05	"abundance"	140	140
"PWY.3841..folate.transformations.II..plants."	"diet"	"time"	"diet:time"	0.0125701505506163	0.0114131625219672	6.62054544520174e-09	0.000159894999895549	6.62054544520174e-09	9.44222191394672e-05	"abundance"	140	140
"HISTSYN.PWY..L.histidine.biosynthesis"	"diet"	"time"	"diet:time"	0.0260421656712497	0.0140210587400122	1.32943727138013e-08	0.00024080762015144	1.32943727138013e-08	0.000142203257733176	"abundance"	140	140
"PWY.5686..UMP.biosynthesis.I"	"diet"	"time"	"diet:time"	0.00989555438417287	0.0117802332819172	3.98399180312481e-08	0.000360820177629506	3.98399180312481e-08	0.000213073841610623	"abundance"	140	140
"PWY.7790..UMP.biosynthesis.II"	"diet"	"time"	"diet:time"	0.00989555438417287	0.0117802332819172	3.9290310782647e-08	0.000360820177629506	3.9290310782647e-08	0.000213073841610623	"abundance"	140	140
"PWY.7791..UMP.biosynthesis.III"	"diet"	"time"	"diet:time"	0.00989555438417287	0.0117802332819172	3.86597155399571e-08	0.000360820177629506	3.86597155399571e-08	0.000213073841610623	"abundance"	140	140
"THRESYN.PWY..superpathway.of.L.threonine.biosynthesis"	"diet"	"time"	"diet:time"	0.0260068196572448	0.0145611535646152	3.35674723572765e-08	0.000360820177629506	3.35674723572765e-08	0.000213073841610623	"abundance"	140	140
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing."	"diet"	"time"	"diet:time"	0.0132349802865834	0.0125712828417974	5.39121726150782e-08	0.000434016950516986	5.39121726150782e-08	0.000256298468612082	"abundance"	140	140
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."	"diet"	"time"	"diet:time"	0.0125298601130459	0.0125814029034952	8.37442672985134e-08	0.000520179000693325	8.37442672985134e-08	0.000307179434174298	"abundance"	140	140
